prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=1, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,476,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,975,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1482,ADV,-30,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1984,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2487,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2991,ADV,-29,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3509,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4009,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4501,ADV,-29,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,6021,ADV,-33,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,6528,ADV,-29,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,7535,ADV,-33,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,8036,ADV,-29,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,8546,ADV,-36,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,9050,ADV,-33,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,9554,ADV,-29,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,10066,ADV,-35,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,10571,ADV,-33,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,11074,ADV,-30,e0:5a:1b:15:b2:ee,MF000E
