prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=3, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,489,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,979,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1479,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1983,ADV,-29,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2492,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2990,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3489,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4009,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4507,ADV,-34,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,4998,ADV,-29,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,5505,ADV,-35,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,6008,ADV,-34,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,6511,ADV,-31,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,7021,ADV,-35,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,7521,ADV,-33,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,8021,ADV,-31,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,9534,ADV,-34,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,10033,ADV,-30,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,10539,ADV,-35,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,11058,ADV,-34,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,11543,ADV,-31,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,12052,ADV,-35,e0:5a:1b:15:b2:ee,MF0010
