prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=4, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,481,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,991,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1492,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2002,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2510,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3016,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,5546,ADV,-35,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,6046,ADV,-34,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,6557,ADV,-30,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,7065,ADV,-35,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,7565,ADV,-33,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,8065,ADV,-31,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,8573,ADV,-35,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,9076,ADV,-33,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,9580,ADV,-31,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,10088,ADV,-35,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,10593,ADV,-34,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,11105,ADV,-31,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,11605,ADV,-35,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,12115,ADV,-33,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,12609,ADV,-31,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,13118,ADV,-35,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,13627,ADV,-33,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,14127,ADV,-31,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,15640,ADV,-33,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,16145,ADV,-31,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,16655,ADV,-35,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,17169,ADV,-33,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,17660,ADV,-32,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,18162,ADV,-35,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,18664,ADV,-34,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,19161,ADV,-31,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,19671,ADV,-35,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,20169,ADV,-34,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,20674,ADV,-31,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,21180,ADV,-35,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,21689,ADV,-34,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,22187,ADV,-31,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,23203,ADV,-33,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,23719,ADV,-32,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,24215,ADV,-35,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,24714,ADV,-33,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,25216,ADV,-31,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,26742,ADV,-34,e0:5a:1b:15:b2:ee,MF002D
RX_CCS_E2_20260121,27244,ADV,-31,e0:5a:1b:15:b2:ee,MF002E
