prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=5, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,480,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,978,ADV,-30,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1494,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2002,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2511,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3009,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3510,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4025,ADV,-30,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4515,ADV,-35,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,5023,ADV,-33,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,5521,ADV,-31,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,7550,ADV,-30,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,8054,ADV,-35,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,9067,ADV,-29,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,9577,ADV,-35,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,10080,ADV,-34,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,10587,ADV,-31,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,11095,ADV,-35,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,12097,ADV,-31,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,12608,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,13110,ADV,-34,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,13612,ADV,-31,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,14120,ADV,-35,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,15125,ADV,-31,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,16141,ADV,-35,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,16645,ADV,-33,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,17151,ADV,-31,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,17658,ADV,-34,e0:5a:1b:15:b2:ee,MF001B
