prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=6, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,492,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1482,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2487,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3488,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4494,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6499,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7509,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8523,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,9519,ADV,-31,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,10533,ADV,-34,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,13549,ADV,-35,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,14550,ADV,-31,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,15556,ADV,-34,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,16561,ADV,-35,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,17570,ADV,-29,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,18574,ADV,-34,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,19580,ADV,-35,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,20574,ADV,-31,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,21591,ADV,-34,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,22586,ADV,-35,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,23585,ADV,-31,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,25606,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,26612,ADV,-31,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,27615,ADV,-34,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,28626,ADV,-35,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,29619,ADV,-30,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,30622,ADV,-34,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,31631,ADV,-35,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,32635,ADV,-31,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,36648,ADV,-35,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,37649,ADV,-30,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,38659,ADV,-34,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,39665,ADV,-35,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,40664,ADV,-31,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,42692,ADV,-35,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,43685,ADV,-31,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,44688,ADV,-34,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,45708,ADV,-35,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,46695,ADV,-29,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,47698,ADV,-34,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,48706,ADV,-35,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,50717,ADV,-33,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,51729,ADV,-35,e0:5a:1b:15:b2:ee,MF002B
RX_CCS_E2_20260121,52725,ADV,-31,e0:5a:1b:15:b2:ee,MF002C
RX_CCS_E2_20260121,53733,ADV,-33,e0:5a:1b:15:b2:ee,MF002D
RX_CCS_E2_20260121,55753,ADV,-33,e0:5a:1b:15:b2:ee,MF002F
RX_CCS_E2_20260121,56760,ADV,-36,e0:5a:1b:15:b2:ee,MF0030
RX_CCS_E2_20260121,58773,ADV,-33,e0:5a:1b:15:b2:ee,MF0032
RX_CCS_E2_20260121,59776,ADV,-35,e0:5a:1b:15:b2:ee,MF0033
RX_CCS_E2_20260121,60790,ADV,-30,e0:5a:1b:15:b2:ee,MF0034
RX_CCS_E2_20260121,61789,ADV,-33,e0:5a:1b:15:b2:ee,MF0035
RX_CCS_E2_20260121,62803,ADV,-35,e0:5a:1b:15:b2:ee,MF0036
RX_CCS_E2_20260121,63805,ADV,-31,e0:5a:1b:15:b2:ee,MF0037
RX_CCS_E2_20260121,64809,ADV,-34,e0:5a:1b:15:b2:ee,MF0038
RX_CCS_E2_20260121,65811,ADV,-35,e0:5a:1b:15:b2:ee,MF0039
RX_CCS_E2_20260121,66813,ADV,-31,e0:5a:1b:15:b2:ee,MF003A
RX_CCS_E2_20260121,67814,ADV,-33,e0:5a:1b:15:b2:ee,MF003B
RX_CCS_E2_20260121,68825,ADV,-35,e0:5a:1b:15:b2:ee,MF003C
RX_CCS_E2_20260121,69827,ADV,-29,e0:5a:1b:15:b2:ee,MF003D
RX_CCS_E2_20260121,73865,ADV,-35,e0:5a:1b:15:b2:ee,MF0041
RX_CCS_E2_20260121,74858,ADV,-31,e0:5a:1b:15:b2:ee,MF0042
RX_CCS_E2_20260121,75865,ADV,-34,e0:5a:1b:15:b2:ee,MF0043
RX_CCS_E2_20260121,76867,ADV,-35,e0:5a:1b:15:b2:ee,MF0044
RX_CCS_E2_20260121,77873,ADV,-31,e0:5a:1b:15:b2:ee,MF0045
RX_CCS_E2_20260121,78874,ADV,-34,e0:5a:1b:15:b2:ee,MF0046
RX_CCS_E2_20260121,79886,ADV,-35,e0:5a:1b:15:b2:ee,MF0047
RX_CCS_E2_20260121,80880,ADV,-31,e0:5a:1b:15:b2:ee,MF0048
RX_CCS_E2_20260121,81889,ADV,-34,e0:5a:1b:15:b2:ee,MF0049
RX_CCS_E2_20260121,82902,ADV,-35,e0:5a:1b:15:b2:ee,MF004A
RX_CCS_E2_20260121,83896,ADV,-30,e0:5a:1b:15:b2:ee,MF004B
RX_CCS_E2_20260121,84896,ADV,-33,e0:5a:1b:15:b2:ee,MF004C
RX_CCS_E2_20260121,85905,ADV,-35,e0:5a:1b:15:b2:ee,MF004D
RX_CCS_E2_20260121,86909,ADV,-31,e0:5a:1b:15:b2:ee,MF004E
RX_CCS_E2_20260121,87917,ADV,-33,e0:5a:1b:15:b2:ee,MF004F
RX_CCS_E2_20260121,88922,ADV,-35,e0:5a:1b:15:b2:ee,MF0050
RX_CCS_E2_20260121,89923,ADV,-31,e0:5a:1b:15:b2:ee,MF0051
RX_CCS_E2_20260121,90929,ADV,-33,e0:5a:1b:15:b2:ee,MF0052
RX_CCS_E2_20260121,91933,ADV,-35,e0:5a:1b:15:b2:ee,MF0053
RX_CCS_E2_20260121,92936,ADV,-29,e0:5a:1b:15:b2:ee,MF0054
RX_CCS_E2_20260121,97950,ADV,-31,e0:5a:1b:15:b2:ee,MF0059
RX_CCS_E2_20260121,98955,ADV,-33,e0:5a:1b:15:b2:ee,MF005A
RX_CCS_E2_20260121,99966,ADV,-35,e0:5a:1b:15:b2:ee,MF005B
RX_CCS_E2_20260121,100968,ADV,-31,e0:5a:1b:15:b2:ee,MF005C
RX_CCS_E2_20260121,101979,ADV,-33,e0:5a:1b:15:b2:ee,MF005D
RX_CCS_E2_20260121,102985,ADV,-35,e0:5a:1b:15:b2:ee,MF005E
RX_CCS_E2_20260121,103989,ADV,-31,e0:5a:1b:15:b2:ee,MF005F
RX_CCS_E2_20260121,104989,ADV,-34,e0:5a:1b:15:b2:ee,MF0060
RX_CCS_E2_20260121,106003,ADV,-35,e0:5a:1b:15:b2:ee,MF0061
RX_CCS_E2_20260121,107004,ADV,-30,e0:5a:1b:15:b2:ee,MF0062
RX_CCS_E2_20260121,108014,ADV,-34,e0:5a:1b:15:b2:ee,MF0063
RX_CCS_E2_20260121,111022,ADV,-34,e0:5a:1b:15:b2:ee,MF0066
RX_CCS_E2_20260121,112030,ADV,-35,e0:5a:1b:15:b2:ee,MF0067
RX_CCS_E2_20260121,113033,ADV,-31,e0:5a:1b:15:b2:ee,MF0068
RX_CCS_E2_20260121,114036,ADV,-33,e0:5a:1b:15:b2:ee,MF0069
RX_CCS_E2_20260121,117048,ADV,-35,e0:5a:1b:15:b2:ee,MF006C
