prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=7, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,472,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,1480,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3489,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4486,ADV,-30,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6496,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7501,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8502,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,9512,ADV,-35,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,10514,ADV,-31,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,11521,ADV,-34,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,12527,ADV,-35,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,13526,ADV,-31,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,14534,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,15536,ADV,-35,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,16539,ADV,-31,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,20568,ADV,-35,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,21573,ADV,-31,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,22573,ADV,-33,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,24580,ADV,-31,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,25587,ADV,-33,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,26600,ADV,-35,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,27594,ADV,-31,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,28606,ADV,-34,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,29615,ADV,-35,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,31608,ADV,-33,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,32618,ADV,-35,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,33623,ADV,-31,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,34623,ADV,-33,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,36640,ADV,-31,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,37640,ADV,-33,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,39658,ADV,-34,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,40665,ADV,-35,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,41672,ADV,-31,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,42676,ADV,-33,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,43684,ADV,-35,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,44679,ADV,-31,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,45687,ADV,-33,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,46692,ADV,-35,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,47697,ADV,-29,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,48709,ADV,-34,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,49708,ADV,-35,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,50719,ADV,-31,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,51723,ADV,-33,e0:5a:1b:15:b2:ee,MF002B
