prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=9, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,477,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,2508,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3499,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,4499,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6506,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8528,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,9539,ADV,-32,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,11548,ADV,-35,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,14565,ADV,-31,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,15577,ADV,-34,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,16580,ADV,-35,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,17579,ADV,-31,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,18586,ADV,-33,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,19594,ADV,-35,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,20598,ADV,-31,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,21599,ADV,-33,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,22608,ADV,-35,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,23609,ADV,-31,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,25621,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,26624,ADV,-31,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,27630,ADV,-34,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,28632,ADV,-35,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,29634,ADV,-31,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,30640,ADV,-34,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,31646,ADV,-35,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,33665,ADV,-35,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,34668,ADV,-31,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,35676,ADV,-34,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,36677,ADV,-35,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,37683,ADV,-32,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,38693,ADV,-34,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,40703,ADV,-31,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,41713,ADV,-33,e0:5a:1b:15:b2:ee,MF0021
