prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=11, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,5478,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7486,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,9492,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,11498,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,13496,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,15498,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,17512,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,19515,ADV,-35,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,21517,ADV,-34,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,25532,ADV,-35,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,27538,ADV,-34,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,29537,ADV,-31,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,31550,ADV,-35,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,33550,ADV,-34,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,35554,ADV,-31,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,45592,ADV,-35,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,47583,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,49585,ADV,-31,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,51605,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,55603,ADV,-31,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,57616,ADV,-35,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,61623,ADV,-31,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,63632,ADV,-35,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,65629,ADV,-33,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,67637,ADV,-29,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,69639,ADV,-35,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,71638,ADV,-34,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,73645,ADV,-31,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,75654,ADV,-35,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,77660,ADV,-34,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,81680,ADV,-29,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,83684,ADV,-34,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,85686,ADV,-33,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,87693,ADV,-30,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,89698,ADV,-35,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,91698,ADV,-33,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,93699,ADV,-31,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,95718,ADV,-35,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,97715,ADV,-34,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,99724,ADV,-31,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,103730,ADV,-33,e0:5a:1b:15:b2:ee,MF002B
RX_CCS_E2_20260121,105736,ADV,-30,e0:5a:1b:15:b2:ee,MF002C
RX_CCS_E2_20260121,109745,ADV,-33,e0:5a:1b:15:b2:ee,MF002E
RX_CCS_E2_20260121,111746,ADV,-30,e0:5a:1b:15:b2:ee,MF002F
RX_CCS_E2_20260121,113761,ADV,-35,e0:5a:1b:15:b2:ee,MF0030
RX_CCS_E2_20260121,119773,ADV,-31,e0:5a:1b:15:b2:ee,MF0033
RX_CCS_E2_20260121,121777,ADV,-35,e0:5a:1b:15:b2:ee,MF0034
RX_CCS_E2_20260121,123786,ADV,-33,e0:5a:1b:15:b2:ee,MF0035
RX_CCS_E2_20260121,125787,ADV,-31,e0:5a:1b:15:b2:ee,MF0036
RX_CCS_E2_20260121,127799,ADV,-35,e0:5a:1b:15:b2:ee,MF0037
RX_CCS_E2_20260121,131807,ADV,-30,e0:5a:1b:15:b2:ee,MF0039
RX_CCS_E2_20260121,133815,ADV,-35,e0:5a:1b:15:b2:ee,MF003A
RX_CCS_E2_20260121,135821,ADV,-34,e0:5a:1b:15:b2:ee,MF003B
RX_CCS_E2_20260121,137821,ADV,-30,e0:5a:1b:15:b2:ee,MF003C
RX_CCS_E2_20260121,139830,ADV,-35,e0:5a:1b:15:b2:ee,MF003D
RX_CCS_E2_20260121,141831,ADV,-34,e0:5a:1b:15:b2:ee,MF003E
RX_CCS_E2_20260121,143835,ADV,-31,e0:5a:1b:15:b2:ee,MF003F
RX_CCS_E2_20260121,147840,ADV,-33,e0:5a:1b:15:b2:ee,MF0041
RX_CCS_E2_20260121,149843,ADV,-31,e0:5a:1b:15:b2:ee,MF0042
RX_CCS_E2_20260121,151852,ADV,-35,e0:5a:1b:15:b2:ee,MF0043
RX_CCS_E2_20260121,153859,ADV,-34,e0:5a:1b:15:b2:ee,MF0044
RX_CCS_E2_20260121,155862,ADV,-30,e0:5a:1b:15:b2:ee,MF0045
RX_CCS_E2_20260121,159878,ADV,-35,e0:5a:1b:15:b2:ee,MF0047
RX_CCS_E2_20260121,161885,ADV,-34,e0:5a:1b:15:b2:ee,MF0048
RX_CCS_E2_20260121,163892,ADV,-30,e0:5a:1b:15:b2:ee,MF0049
RX_CCS_E2_20260121,165900,ADV,-35,e0:5a:1b:15:b2:ee,MF004A
RX_CCS_E2_20260121,167905,ADV,-34,e0:5a:1b:15:b2:ee,MF004B
RX_CCS_E2_20260121,169914,ADV,-30,e0:5a:1b:15:b2:ee,MF004C
RX_CCS_E2_20260121,171916,ADV,-35,e0:5a:1b:15:b2:ee,MF004D
RX_CCS_E2_20260121,173924,ADV,-33,e0:5a:1b:15:b2:ee,MF004E
RX_CCS_E2_20260121,175923,ADV,-31,e0:5a:1b:15:b2:ee,MF004F
RX_CCS_E2_20260121,177936,ADV,-35,e0:5a:1b:15:b2:ee,MF0050
RX_CCS_E2_20260121,179935,ADV,-34,e0:5a:1b:15:b2:ee,MF0051
RX_CCS_E2_20260121,181956,ADV,-31,e0:5a:1b:15:b2:ee,MF0052
RX_CCS_E2_20260121,183954,ADV,-35,e0:5a:1b:15:b2:ee,MF0053
RX_CCS_E2_20260121,185961,ADV,-33,e0:5a:1b:15:b2:ee,MF0054
