prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=13, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,1471,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3469,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,5471,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,9486,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,11490,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,13489,ADV,-31,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,17499,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,19509,ADV,-30,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,21514,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,23527,ADV,-34,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,25524,ADV,-31,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,27524,ADV,-35,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,29538,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,31529,ADV,-31,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,33548,ADV,-35,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,35550,ADV,-34,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,37547,ADV,-29,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,39552,ADV,-35,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,41556,ADV,-33,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,43562,ADV,-31,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,45570,ADV,-35,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,47569,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,53604,ADV,-35,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,55592,ADV,-33,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,59608,ADV,-35,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,61616,ADV,-34,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,65617,ADV,-35,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,67634,ADV,-34,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,69625,ADV,-30,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,71636,ADV,-35,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,73643,ADV,-33,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,75638,ADV,-31,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,79646,ADV,-33,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,81650,ADV,-31,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,83662,ADV,-35,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,85666,ADV,-34,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,87668,ADV,-31,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,91684,ADV,-35,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,93688,ADV,-33,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,95697,ADV,-30,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,97700,ADV,-34,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,99703,ADV,-34,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,101702,ADV,-30,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,103709,ADV,-35,e0:5a:1b:15:b2:ee,MF002B
