prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4936,69900,345.0,1
TXSD_CCS_E2_20260121,20,4932,56500,278.7,1
TXSD_CCS_E2_20260121,30,4932,58100,286.5,1
TXSD_CCS_E2_20260121,40,4928,57100,281.4,1
TXSD_CCS_E2_20260121,50,4932,57500,283.6,1
TXSD_CCS_E2_20260121,60,4932,57200,282.1,1
TXSD_CCS_E2_20260121,70,4932,57500,283.6,1
TXSD_CCS_E2_20260121,80,4932,57500,283.6,1
TXSD_CCS_E2_20260121,90,4932,57400,283.1,1
TXSD_CCS_E2_20260121,100,4932,60300,297.4,1
TXSD_CCS_E2_20260121,110,4932,56500,278.7,1
TXSD_CCS_E2_20260121,120,4936,62600,309.0,1
TXSD_CCS_E2_20260121,130,4932,56600,279.2,1
TXSD_CCS_E2_20260121,140,4932,65400,322.6,1
TXSD_CCS_E2_20260121,150,4932,56500,278.7,1
TXSD_CCS_E2_20260121,160,4932,67800,334.4,1
TXSD_CCS_E2_20260121,170,4932,56500,278.7,1
TXSD_CCS_E2_20260121,180,4936,70200,346.5,1
TXSD_CCS_E2_20260121,190,4932,56400,278.2,1
TXSD_CCS_E2_20260121,200,4932,58100,286.5,1
TXSD_CCS_E2_20260121,210,4932,57100,281.6,1
TXSD_CCS_E2_20260121,220,4932,57500,283.6,1
TXSD_CCS_E2_20260121,230,4932,57100,281.6,1
TXSD_CCS_E2_20260121,240,4932,57500,283.6,1
TXSD_CCS_E2_20260121,250,4932,57600,284.1,1
TXSD_CCS_E2_20260121,260,4932,57100,281.6,1
TXSD_CCS_E2_20260121,270,4932,60500,298.4,1
TXSD_CCS_E2_20260121,280,4932,56500,278.7,1
TXSD_CCS_E2_20260121,290,4932,62800,309.7,1
TXSD_CCS_E2_20260121,300,4932,56500,278.7,1
TXSD_CCS_E2_20260121,310,4932,65400,322.6,1
TXSD_CCS_E2_20260121,320,4932,56500,278.7,1
TXSD_CCS_E2_20260121,330,4932,68000,335.4,1
TXSD_CCS_E2_20260121,340,4932,56500,278.7,1
TXSD_CCS_E2_20260121,350,4932,70400,347.2,1
TXSD_CCS_E2_20260121,360,4932,56500,278.7,1
TXSD_CCS_E2_20260121,370,4916,77600,381.5,2
TXSD_CCS_E2_20260121,380,4932,57100,281.6,2
TXSD_CCS_E2_20260121,390,4784,135500,648.2,2
TXSD_CCS_E2_20260121,400,4932,57200,282.1,2
TXSD_CCS_E2_20260121,410,4932,57500,283.6,2
TXSD_CCS_E2_20260121,420,4932,57800,285.1,2
TXSD_CCS_E2_20260121,430,4932,57000,281.1,2
TXSD_CCS_E2_20260121,440,4932,60600,298.9,2
TXSD_CCS_E2_20260121,450,4932,56500,278.7,2
TXSD_CCS_E2_20260121,460,4932,62900,310.2,2
TXSD_CCS_E2_20260121,470,4932,56500,278.7,2
TXSD_CCS_E2_20260121,480,4932,65400,322.6,2
TXSD_CCS_E2_20260121,490,4932,56500,278.7,2
TXSD_CCS_E2_20260121,500,4932,68200,336.4,2
TXSD_CCS_E2_20260121,510,4932,56500,278.7,2
TXSD_CCS_E2_20260121,520,4932,70600,348.2,2
TXSD_CCS_E2_20260121,530,4932,56500,278.7,2
TXSD_CCS_E2_20260121,540,4932,58200,287.0,2
TXSD_CCS_E2_20260121,550,4932,57200,282.1,2
TXSD_CCS_E2_20260121,560,4932,57400,283.1,2
TXSD_CCS_E2_20260121,570,4932,57100,281.6,2
TXSD_CCS_E2_20260121,580,4932,57400,283.1,2
TXSD_CCS_E2_20260121,590,4932,58000,286.1,2
TXSD_CCS_E2_20260121,600,4932,56800,280.1,2
TXSD_CCS_E2_20260121,610,4932,60800,299.9,2
TXSD_CCS_E2_20260121,620,4932,56500,278.7,2
TXSD_CCS_E2_20260121,630,4932,63000,310.7,2
TXSD_CCS_E2_20260121,640,4932,56500,278.7,2
TXSD_CCS_E2_20260121,650,4932,65400,322.6,2
TXSD_CCS_E2_20260121,660,4932,56500,278.7,2
TXSD_CCS_E2_20260121,670,4932,68400,337.3,2
TXSD_CCS_E2_20260121,680,4932,56400,278.2,2
TXSD_CCS_E2_20260121,690,4936,70700,349.0,2
TXSD_CCS_E2_20260121,700,4932,56500,278.7,2
TXSD_CCS_E2_20260121,710,4932,58100,286.5,2
TXSD_CCS_E2_20260121,720,4932,57200,282.1,2
TXSD_CCS_E2_20260121,730,4932,57500,283.6,2
TXSD_CCS_E2_20260121,740,4932,57200,282.1,2
TXSD_CCS_E2_20260121,750,4932,57500,283.6,2
TXSD_CCS_E2_20260121,760,4932,58100,286.5,2
TXSD_CCS_E2_20260121,770,4932,56700,279.6,2
TXSD_CCS_E2_20260121,780,4932,60700,299.4,2
TXSD_CCS_E2_20260121,790,4932,56400,278.2,2
TXSD_CCS_E2_20260121,800,4932,63200,311.7,2
TXSD_CCS_E2_20260121,810,4932,56500,278.7,2
TXSD_CCS_E2_20260121,820,4932,65600,323.5,2
TXSD_CCS_E2_20260121,830,4932,56500,278.7,2
TXSD_CCS_E2_20260121,840,4932,68500,337.8,2
TXSD_CCS_E2_20260121,850,4932,56500,278.7,2
TXSD_CCS_E2_20260121,860,4932,70900,349.7,2
TXSD_CCS_E2_20260121,870,4912,72000,353.7,3
TXSD_CCS_E2_20260121,880,4932,58000,286.1,3
TXSD_CCS_E2_20260121,890,4832,171800,830.1,3
TXSD_CCS_E2_20260121,902,4932,57300,282.6,3
TXSD_CCS_E2_20260121,910,4932,57100,281.6,3
TXSD_CCS_E2_20260121,920,4932,57400,283.1,3
TXSD_CCS_E2_20260121,930,4932,58300,287.5,3
TXSD_CCS_E2_20260121,940,4932,56500,278.7,3
TXSD_CCS_E2_20260121,950,4936,60800,300.1,3
TXSD_CCS_E2_20260121,960,4932,56500,278.7,3
TXSD_CCS_E2_20260121,970,4932,63500,313.2,3
TXSD_CCS_E2_20260121,980,4928,56500,278.4,3
TXSD_CCS_E2_20260121,990,4932,65700,324.0,3
TXSD_CCS_E2_20260121,1000,4932,56500,278.7,3
TXSD_CCS_E2_20260121,1010,4932,68600,338.3,3
TXSD_CCS_E2_20260121,1020,4932,56500,278.7,3
TXSD_CCS_E2_20260121,1030,4932,58100,286.5,3
TXSD_CCS_E2_20260121,1040,4932,56500,278.7,3
TXSD_CCS_E2_20260121,1050,4932,58100,286.5,3
TXSD_CCS_E2_20260121,1060,4932,57100,281.6,3
TXSD_CCS_E2_20260121,1070,4932,57500,283.6,3
TXSD_CCS_E2_20260121,1080,4932,57100,281.6,3
TXSD_CCS_E2_20260121,1090,4932,57500,283.6,3
TXSD_CCS_E2_20260121,1100,4932,58400,288.0,3
TXSD_CCS_E2_20260121,1110,4932,56600,279.2,3
TXSD_CCS_E2_20260121,1120,4932,60700,299.4,3
TXSD_CCS_E2_20260121,1130,4932,56500,278.7,3
TXSD_CCS_E2_20260121,1140,4932,63600,313.7,3
TXSD_CCS_E2_20260121,1150,4932,56500,278.7,3
TXSD_CCS_E2_20260121,1160,4932,65900,325.0,3
TXSD_CCS_E2_20260121,1170,4932,56500,278.7,3
TXSD_CCS_E2_20260121,1180,4932,68800,339.3,3
