prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,21,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,31,4932,56400,278.2,2399
TXSD_CCS_E2_20260121,41,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,51,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,61,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,71,4932,57200,282.1,2399
TXSD_CCS_E2_20260121,81,4936,57400,283.3,2399
TXSD_CCS_E2_20260121,91,4932,57100,281.6,2399
TXSD_CCS_E2_20260121,101,4932,57500,283.6,2399
TXSD_CCS_E2_20260121,111,4932,57200,282.1,2399
TXSD_CCS_E2_20260121,121,4932,57500,283.6,2399
TXSD_CCS_E2_20260121,131,4932,57200,282.1,2399
TXSD_CCS_E2_20260121,141,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,151,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,161,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,171,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,181,4932,56400,278.2,2399
TXSD_CCS_E2_20260121,191,4936,58200,287.3,2399
TXSD_CCS_E2_20260121,201,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,211,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,221,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,231,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,241,4932,57300,282.6,2399
TXSD_CCS_E2_20260121,251,4932,57400,283.1,2399
TXSD_CCS_E2_20260121,261,4932,57300,282.6,2399
TXSD_CCS_E2_20260121,271,4932,57400,283.1,2399
TXSD_CCS_E2_20260121,281,4932,57100,281.6,2399
TXSD_CCS_E2_20260121,291,4932,57400,283.1,2399
TXSD_CCS_E2_20260121,301,4936,57100,281.8,2399
TXSD_CCS_E2_20260121,311,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,321,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,331,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,341,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,351,4932,56500,278.7,2399
TXSD_CCS_E2_20260121,361,4936,58100,286.8,2399
TXSD_CCS_E2_20260121,371,4920,79400,390.6,2400
TXSD_CCS_E2_20260121,381,4932,58100,286.5,2400
TXSD_CCS_E2_20260121,391,4840,132900,643.2,2400
TXSD_CCS_E2_20260121,401,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,411,4932,57200,282.1,2400
TXSD_CCS_E2_20260121,421,4936,57700,284.8,2400
TXSD_CCS_E2_20260121,431,4932,57300,282.6,2400
TXSD_CCS_E2_20260121,441,4932,57400,283.1,2400
TXSD_CCS_E2_20260121,451,4932,57200,282.1,2400
TXSD_CCS_E2_20260121,461,4932,57400,283.1,2400
TXSD_CCS_E2_20260121,471,4932,57200,282.1,2400
TXSD_CCS_E2_20260121,481,4932,56600,279.2,2400
TXSD_CCS_E2_20260121,491,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,501,4932,56400,278.2,2400
TXSD_CCS_E2_20260121,511,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,521,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,531,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,541,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,551,4936,58200,287.3,2400
TXSD_CCS_E2_20260121,561,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,571,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,581,4932,57100,281.6,2400
TXSD_CCS_E2_20260121,591,4936,57800,285.3,2400
TXSD_CCS_E2_20260121,601,4932,57200,282.1,2400
TXSD_CCS_E2_20260121,611,4932,57500,283.6,2400
TXSD_CCS_E2_20260121,621,4936,57100,281.8,2400
TXSD_CCS_E2_20260121,631,4932,57500,283.6,2400
TXSD_CCS_E2_20260121,641,4932,57200,282.1,2400
TXSD_CCS_E2_20260121,651,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,661,4936,58200,287.3,2400
TXSD_CCS_E2_20260121,671,4932,56600,279.2,2400
TXSD_CCS_E2_20260121,681,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,691,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,701,4932,58100,286.5,2400
TXSD_CCS_E2_20260121,711,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,721,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,731,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,741,4932,58100,286.5,2400
TXSD_CCS_E2_20260121,751,4932,56900,280.6,2400
TXSD_CCS_E2_20260121,761,4936,58000,286.3,2400
TXSD_CCS_E2_20260121,771,4936,57100,281.8,2400
TXSD_CCS_E2_20260121,781,4932,57500,283.6,2400
TXSD_CCS_E2_20260121,791,4932,57100,281.6,2400
TXSD_CCS_E2_20260121,801,4936,57500,283.8,2400
TXSD_CCS_E2_20260121,811,4936,57100,281.8,2400
TXSD_CCS_E2_20260121,821,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,831,4936,58100,286.8,2400
TXSD_CCS_E2_20260121,843,4928,67700,333.6,2400
TXSD_CCS_E2_20260121,851,4932,58100,286.5,2400
TXSD_CCS_E2_20260121,861,4932,56500,278.7,2400
TXSD_CCS_E2_20260121,871,4936,65300,322.3,2401
TXSD_CCS_E2_20260121,881,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,891,4828,142500,688.0,2401
TXSD_CCS_E2_20260121,901,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,911,4936,58200,287.3,2401
TXSD_CCS_E2_20260121,921,4932,56700,279.6,2401
TXSD_CCS_E2_20260121,931,4936,58100,286.8,2401
TXSD_CCS_E2_20260121,941,4932,57000,281.1,2401
TXSD_CCS_E2_20260121,951,4932,57500,283.6,2401
TXSD_CCS_E2_20260121,961,4932,57100,281.6,2401
TXSD_CCS_E2_20260121,971,4932,57500,283.6,2401
TXSD_CCS_E2_20260121,981,4932,57100,281.6,2401
TXSD_CCS_E2_20260121,991,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1001,4932,58100,286.5,2401
TXSD_CCS_E2_20260121,1011,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1021,4932,58000,286.1,2401
TXSD_CCS_E2_20260121,1031,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1041,4936,58100,286.8,2401
TXSD_CCS_E2_20260121,1051,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1061,4932,58100,286.5,2401
TXSD_CCS_E2_20260121,1071,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1081,4936,58100,286.8,2401
TXSD_CCS_E2_20260121,1091,4932,56600,279.2,2401
TXSD_CCS_E2_20260121,1101,4936,58100,286.8,2401
TXSD_CCS_E2_20260121,1111,4932,56900,280.6,2401
TXSD_CCS_E2_20260121,1121,4932,57500,283.6,2401
TXSD_CCS_E2_20260121,1131,4932,57200,282.1,2401
TXSD_CCS_E2_20260121,1141,4932,57400,283.1,2401
TXSD_CCS_E2_20260121,1151,4932,57100,281.6,2401
TXSD_CCS_E2_20260121,1161,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1171,4932,58100,286.5,2401
TXSD_CCS_E2_20260121,1181,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1191,4932,58100,286.5,2401
TXSD_CCS_E2_20260121,1201,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1211,4932,58100,286.5,2401
TXSD_CCS_E2_20260121,1221,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1231,4932,58100,286.5,2401
TXSD_CCS_E2_20260121,1241,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1251,4932,58100,286.5,2401
TXSD_CCS_E2_20260121,1261,4932,56500,278.7,2401
TXSD_CCS_E2_20260121,1271,4936,58100,286.8,2401
TXSD_CCS_E2_20260121,1281,4932,56700,279.6,2401
TXSD_CCS_E2_20260121,1291,4936,57500,283.8,2401
TXSD_CCS_E2_20260121,1301,4932,57100,281.6,2401
TXSD_CCS_E2_20260121,1311,4932,57500,283.6,2401
TXSD_CCS_E2_20260121,1321,4932,57100,281.6,2401
TXSD_CCS_E2_20260121,1331,4932,56400,278.2,2401
TXSD_CCS_E2_20260121,1341,4936,58100,286.8,2401
TXSD_CCS_E2_20260121,1351,4936,56500,278.9,2401
TXSD_CCS_E2_20260121,1361,4936,58100,286.8,2401
TXSD_CCS_E2_20260121,1371,4924,85100,419.0,2402
TXSD_CCS_E2_20260121,1381,4932,58100,286.5,2402
TXSD_CCS_E2_20260121,1391,4828,142200,686.5,2402
TXSD_CCS_E2_20260121,1401,4936,58100,286.8,2402
TXSD_CCS_E2_20260121,1411,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1421,4936,58100,286.8,2402
TXSD_CCS_E2_20260121,1431,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1441,4936,58100,286.8,2402
TXSD_CCS_E2_20260121,1451,4932,57200,282.1,2402
TXSD_CCS_E2_20260121,1461,4936,57400,283.3,2402
TXSD_CCS_E2_20260121,1471,4932,57100,281.6,2402
TXSD_CCS_E2_20260121,1481,4936,57500,283.8,2402
TXSD_CCS_E2_20260121,1491,4932,57200,282.1,2402
TXSD_CCS_E2_20260121,1501,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1511,4932,58100,286.5,2402
TXSD_CCS_E2_20260121,1521,4932,56400,278.2,2402
TXSD_CCS_E2_20260121,1531,4932,58100,286.5,2402
TXSD_CCS_E2_20260121,1541,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1551,4936,58100,286.8,2402
TXSD_CCS_E2_20260121,1561,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1571,4932,58100,286.5,2402
TXSD_CCS_E2_20260121,1581,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1591,4932,58100,286.5,2402
TXSD_CCS_E2_20260121,1601,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1611,4936,58200,287.3,2402
TXSD_CCS_E2_20260121,1621,4932,57100,281.6,2402
TXSD_CCS_E2_20260121,1631,4932,57400,283.1,2402
TXSD_CCS_E2_20260121,1641,4932,57100,281.6,2402
TXSD_CCS_E2_20260121,1651,4932,57500,283.6,2402
TXSD_CCS_E2_20260121,1661,4932,57200,282.1,2402
TXSD_CCS_E2_20260121,1671,4936,56600,279.4,2402
TXSD_CCS_E2_20260121,1681,4932,58200,287.0,2402
TXSD_CCS_E2_20260121,1691,4932,56400,278.2,2402
TXSD_CCS_E2_20260121,1701,4932,58100,286.5,2402
TXSD_CCS_E2_20260121,1711,4932,56500,278.7,2402
TXSD_CCS_E2_20260121,1721,4936,58100,286.8,2402
