prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4936,58100,286.8,5995
TXSD_CCS_E2_20260121,20,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,30,4936,58100,286.8,5995
TXSD_CCS_E2_20260121,40,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,50,4936,58200,287.3,5995
TXSD_CCS_E2_20260121,60,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,70,4936,57500,283.8,5995
TXSD_CCS_E2_20260121,80,4932,57100,281.6,5995
TXSD_CCS_E2_20260121,90,4932,57500,283.6,5995
TXSD_CCS_E2_20260121,100,4936,57200,282.3,5995
TXSD_CCS_E2_20260121,110,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,120,4936,58100,286.8,5995
TXSD_CCS_E2_20260121,130,4932,56600,279.2,5995
TXSD_CCS_E2_20260121,140,4936,58200,287.3,5995
TXSD_CCS_E2_20260121,150,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,160,4936,58200,287.3,5995
TXSD_CCS_E2_20260121,170,4932,56600,279.2,5995
TXSD_CCS_E2_20260121,180,4936,58200,287.3,5995
TXSD_CCS_E2_20260121,190,4932,56600,279.2,5995
TXSD_CCS_E2_20260121,200,4936,58100,286.8,5995
TXSD_CCS_E2_20260121,210,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,220,4936,58200,287.3,5995
TXSD_CCS_E2_20260121,230,4932,56600,279.2,5995
TXSD_CCS_E2_20260121,240,4936,57500,283.8,5995
TXSD_CCS_E2_20260121,250,4936,57200,282.3,5995
TXSD_CCS_E2_20260121,260,4936,57500,283.8,5995
TXSD_CCS_E2_20260121,270,4932,57200,282.1,5995
TXSD_CCS_E2_20260121,280,4936,56700,279.9,5995
TXSD_CCS_E2_20260121,290,4932,58300,287.5,5995
TXSD_CCS_E2_20260121,300,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,310,4936,58200,287.3,5995
TXSD_CCS_E2_20260121,320,4932,56600,279.2,5995
TXSD_CCS_E2_20260121,330,4936,58100,286.8,5995
TXSD_CCS_E2_20260121,340,4932,56500,278.7,5995
TXSD_CCS_E2_20260121,350,4936,58200,287.3,5995
TXSD_CCS_E2_20260121,360,4932,56600,279.2,5995
TXSD_CCS_E2_20260121,370,4884,58100,283.8,5996
TXSD_CCS_E2_20260121,380,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,390,4796,137500,659.5,5996
TXSD_CCS_E2_20260121,400,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,410,4932,57500,283.6,5996
TXSD_CCS_E2_20260121,420,4932,57100,281.6,5996
TXSD_CCS_E2_20260121,430,4932,57500,283.6,5996
TXSD_CCS_E2_20260121,440,4932,57200,282.1,5996
TXSD_CCS_E2_20260121,450,4932,56800,280.1,5996
TXSD_CCS_E2_20260121,460,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,470,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,480,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,490,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,500,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,510,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,520,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,530,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,540,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,550,4936,56500,278.9,5996
TXSD_CCS_E2_20260121,560,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,570,4936,56600,279.4,5996
TXSD_CCS_E2_20260121,580,4936,57500,283.8,5996
TXSD_CCS_E2_20260121,590,4932,57200,282.1,5996
TXSD_CCS_E2_20260121,600,4936,57500,283.8,5996
TXSD_CCS_E2_20260121,610,4932,57200,282.1,5996
TXSD_CCS_E2_20260121,620,4936,57000,281.4,5996
TXSD_CCS_E2_20260121,630,4932,58100,286.5,5996
TXSD_CCS_E2_20260121,640,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,650,4932,58100,286.5,5996
TXSD_CCS_E2_20260121,660,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,670,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,680,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,690,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,700,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,710,4932,58100,286.5,5996
TXSD_CCS_E2_20260121,720,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,730,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,740,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,750,4932,57500,283.6,5996
TXSD_CCS_E2_20260121,760,4932,57200,282.1,5996
TXSD_CCS_E2_20260121,770,4936,57500,283.8,5996
TXSD_CCS_E2_20260121,780,4932,57200,282.1,5996
TXSD_CCS_E2_20260121,790,4936,57200,282.3,5996
TXSD_CCS_E2_20260121,800,4932,58100,286.5,5996
TXSD_CCS_E2_20260121,810,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,820,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,830,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,842,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,850,4936,56500,278.9,5996
TXSD_CCS_E2_20260121,860,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,870,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,880,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,890,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,900,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,910,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,920,4932,57600,284.1,5996
TXSD_CCS_E2_20260121,930,4932,57200,282.1,5996
TXSD_CCS_E2_20260121,940,4932,57500,283.6,5996
TXSD_CCS_E2_20260121,950,4932,57100,281.6,5996
TXSD_CCS_E2_20260121,960,4932,57300,282.6,5996
TXSD_CCS_E2_20260121,970,4936,57800,285.3,5996
TXSD_CCS_E2_20260121,980,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,990,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1000,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,1010,4932,58100,286.5,5996
TXSD_CCS_E2_20260121,1020,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1030,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,1040,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1050,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1060,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1070,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,1080,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1090,4932,57500,283.6,5996
TXSD_CCS_E2_20260121,1100,4932,57100,281.6,5996
TXSD_CCS_E2_20260121,1110,4936,57500,283.8,5996
TXSD_CCS_E2_20260121,1120,4936,57200,282.3,5996
TXSD_CCS_E2_20260121,1130,4932,57500,283.6,5996
TXSD_CCS_E2_20260121,1140,4936,57700,284.8,5996
TXSD_CCS_E2_20260121,1150,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1160,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1170,4936,56600,279.4,5996
TXSD_CCS_E2_20260121,1180,4936,58200,287.3,5996
TXSD_CCS_E2_20260121,1190,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1200,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1210,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,1220,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1230,4936,56500,278.9,5996
TXSD_CCS_E2_20260121,1240,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1250,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1260,4936,57400,283.3,5996
TXSD_CCS_E2_20260121,1270,4932,57100,281.6,5996
TXSD_CCS_E2_20260121,1280,4932,57500,283.6,5996
TXSD_CCS_E2_20260121,1290,4932,57200,282.1,5996
TXSD_CCS_E2_20260121,1300,4936,57500,283.8,5996
TXSD_CCS_E2_20260121,1310,4932,57400,283.1,5996
TXSD_CCS_E2_20260121,1320,4936,56500,278.9,5996
TXSD_CCS_E2_20260121,1330,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1340,4932,56500,278.7,5996
TXSD_CCS_E2_20260121,1350,4936,58100,286.8,5996
TXSD_CCS_E2_20260121,1360,4932,56600,279.2,5996
TXSD_CCS_E2_20260121,1370,4872,60500,294.8,5997
TXSD_CCS_E2_20260121,1380,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1390,4824,143700,693.2,5997
TXSD_CCS_E2_20260121,1400,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1410,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1420,4932,56700,279.6,5997
TXSD_CCS_E2_20260121,1430,4936,57400,283.3,5997
TXSD_CCS_E2_20260121,1440,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1450,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,1460,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1470,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,1480,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1490,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1500,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,1510,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1520,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1530,4932,56400,278.2,5997
TXSD_CCS_E2_20260121,1540,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1550,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1560,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1570,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1580,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1590,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1600,4932,57400,283.1,5997
TXSD_CCS_E2_20260121,1610,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1620,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,1630,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1640,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,1650,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1660,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1670,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1681,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1690,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1700,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1710,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,1720,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1730,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,1740,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1750,4932,58100,286.5,5997
TXSD_CCS_E2_20260121,1760,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1770,4936,57600,284.3,5997
TXSD_CCS_E2_20260121,1780,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1790,4932,57500,283.6,5997
TXSD_CCS_E2_20260121,1800,4932,57100,281.6,5997
TXSD_CCS_E2_20260121,1810,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,1820,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1830,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1840,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,1850,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1860,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,1870,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1880,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,1890,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1900,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,1910,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,1920,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,1930,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,1940,4936,57800,285.3,5997
TXSD_CCS_E2_20260121,1950,4932,57300,282.6,5997
TXSD_CCS_E2_20260121,1960,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,1970,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,1980,4932,57500,283.6,5997
TXSD_CCS_E2_20260121,1990,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,2000,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2010,4932,58200,287.0,5997
TXSD_CCS_E2_20260121,2020,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2030,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,2040,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2050,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,2060,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,2070,4932,58200,287.0,5997
TXSD_CCS_E2_20260121,2080,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2090,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,2100,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,2110,4936,58000,286.3,5997
TXSD_CCS_E2_20260121,2120,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,2130,4932,57600,284.1,5997
TXSD_CCS_E2_20260121,2140,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,2150,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,2160,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,2170,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2180,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,2190,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2200,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,2210,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,2220,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,2230,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2240,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,2250,4936,56500,278.9,5997
TXSD_CCS_E2_20260121,2260,4936,58200,287.3,5997
TXSD_CCS_E2_20260121,2270,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2280,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,2290,4932,57100,281.6,5997
TXSD_CCS_E2_20260121,2300,4932,57500,283.6,5997
TXSD_CCS_E2_20260121,2310,4932,57200,282.1,5997
TXSD_CCS_E2_20260121,2320,4936,57500,283.8,5997
TXSD_CCS_E2_20260121,2330,4932,57100,281.6,5997
TXSD_CCS_E2_20260121,2340,4932,56600,279.2,5997
TXSD_CCS_E2_20260121,2350,4936,58100,286.8,5997
TXSD_CCS_E2_20260121,2360,4932,56500,278.7,5997
TXSD_CCS_E2_20260121,2370,4852,65300,316.8,5998
TXSD_CCS_E2_20260121,2380,4932,56600,279.2,5998
TXSD_CCS_E2_20260121,2390,4932,58100,286.5,5998
TXSD_CCS_E2_20260121,2400,4836,210100,1016.0,5998
TXSD_CCS_E2_20260121,2410,4936,58100,286.8,5998
TXSD_CCS_E2_20260121,2420,4932,56600,279.2,5998
