prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4932,57400,283.1,6594
TXSD_CCS_E2_20260121,21,4932,58200,287.0,6594
TXSD_CCS_E2_20260121,31,4932,56600,279.2,6594
TXSD_CCS_E2_20260121,41,4932,58300,287.5,6594
TXSD_CCS_E2_20260121,51,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,61,4932,58300,287.5,6594
TXSD_CCS_E2_20260121,71,4932,56600,279.2,6594
TXSD_CCS_E2_20260121,81,4932,58300,287.5,6594
TXSD_CCS_E2_20260121,91,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,101,4932,58400,288.0,6594
TXSD_CCS_E2_20260121,111,4932,57300,282.6,6594
TXSD_CCS_E2_20260121,121,4932,57600,284.1,6594
TXSD_CCS_E2_20260121,131,4936,57400,283.3,6594
TXSD_CCS_E2_20260121,141,4936,57600,284.3,6594
TXSD_CCS_E2_20260121,151,4932,58200,287.0,6594
TXSD_CCS_E2_20260121,161,4932,57000,281.1,6594
TXSD_CCS_E2_20260121,171,4936,58300,287.8,6594
TXSD_CCS_E2_20260121,181,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,191,4936,58300,287.8,6594
TXSD_CCS_E2_20260121,201,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,211,4936,58300,287.8,6594
TXSD_CCS_E2_20260121,221,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,231,4936,58300,287.8,6594
TXSD_CCS_E2_20260121,241,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,251,4936,58300,287.8,6594
TXSD_CCS_E2_20260121,261,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,271,4936,58300,287.8,6594
TXSD_CCS_E2_20260121,281,4932,57300,282.6,6594
TXSD_CCS_E2_20260121,291,4936,57600,284.3,6594
TXSD_CCS_E2_20260121,301,4932,57300,282.6,6594
TXSD_CCS_E2_20260121,311,4936,57600,284.3,6594
TXSD_CCS_E2_20260121,321,4936,58300,287.8,6594
TXSD_CCS_E2_20260121,331,4932,56600,279.2,6594
TXSD_CCS_E2_20260121,341,4932,58300,287.5,6594
TXSD_CCS_E2_20260121,351,4932,56700,279.6,6594
TXSD_CCS_E2_20260121,361,4932,58300,287.5,6594
TXSD_CCS_E2_20260121,371,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,381,4832,141900,685.7,6595
TXSD_CCS_E2_20260121,391,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,401,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,411,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,421,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,431,4932,57400,283.1,6595
TXSD_CCS_E2_20260121,441,4936,57700,284.8,6595
TXSD_CCS_E2_20260121,451,4936,57300,282.8,6595
TXSD_CCS_E2_20260121,461,4932,57700,284.6,6595
TXSD_CCS_E2_20260121,471,4932,57400,283.1,6595
TXSD_CCS_E2_20260121,481,4932,57700,284.6,6595
TXSD_CCS_E2_20260121,491,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,501,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,511,4936,58200,287.3,6595
TXSD_CCS_E2_20260121,521,4932,56600,279.2,6595
TXSD_CCS_E2_20260121,531,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,541,4936,56700,279.9,6595
TXSD_CCS_E2_20260121,551,4936,58200,287.3,6595
TXSD_CCS_E2_20260121,561,4932,56600,279.2,6595
TXSD_CCS_E2_20260121,571,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,581,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,591,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,601,4932,57300,282.6,6595
TXSD_CCS_E2_20260121,611,4932,57700,284.6,6595
TXSD_CCS_E2_20260121,621,4932,57300,282.6,6595
TXSD_CCS_E2_20260121,631,4936,57700,284.8,6595
TXSD_CCS_E2_20260121,641,4932,57800,285.1,6595
TXSD_CCS_E2_20260121,651,4932,57400,283.1,6595
TXSD_CCS_E2_20260121,661,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,671,4932,56600,279.2,6595
TXSD_CCS_E2_20260121,681,4936,58200,287.3,6595
TXSD_CCS_E2_20260121,691,4932,56600,279.2,6595
TXSD_CCS_E2_20260121,701,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,711,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,721,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,731,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,741,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,751,4932,56600,279.2,6595
TXSD_CCS_E2_20260121,761,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,771,4932,57300,282.6,6595
TXSD_CCS_E2_20260121,781,4936,57700,284.8,6595
TXSD_CCS_E2_20260121,791,4932,57300,282.6,6595
TXSD_CCS_E2_20260121,801,4932,57600,284.1,6595
TXSD_CCS_E2_20260121,811,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,821,4936,56600,279.4,6595
TXSD_CCS_E2_20260121,831,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,843,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,851,4932,58400,288.0,6595
TXSD_CCS_E2_20260121,861,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,871,4936,58200,287.3,6595
TXSD_CCS_E2_20260121,881,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,891,4936,58300,287.8,6595
TXSD_CCS_E2_20260121,901,4932,56700,279.6,6595
TXSD_CCS_E2_20260121,911,4936,58200,287.3,6595
