prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4924,66700,328.4,7792
TXSD_CCS_E2_20260121,21,4920,62800,309.0,7792
TXSD_CCS_E2_20260121,31,4928,58500,288.3,7792
TXSD_CCS_E2_20260121,41,4916,60400,296.9,7792
TXSD_CCS_E2_20260121,51,4932,57900,285.6,7792
TXSD_CCS_E2_20260121,61,4916,57800,284.1,7792
TXSD_CCS_E2_20260121,71,4936,57900,285.8,7792
TXSD_CCS_E2_20260121,81,4912,57300,281.5,7792
TXSD_CCS_E2_20260121,91,4932,56700,279.6,7792
TXSD_CCS_E2_20260121,101,4916,58500,287.6,7792
TXSD_CCS_E2_20260121,111,4932,56700,279.6,7792
TXSD_CCS_E2_20260121,121,4920,58500,287.8,7792
TXSD_CCS_E2_20260121,131,4932,56800,280.1,7792
TXSD_CCS_E2_20260121,141,4920,58600,288.3,7792
TXSD_CCS_E2_20260121,151,4932,67100,330.9,7792
TXSD_CCS_E2_20260121,161,4924,58500,288.1,7792
TXSD_CCS_E2_20260121,171,4932,64900,320.1,7792
TXSD_CCS_E2_20260121,181,4928,58500,288.3,7792
TXSD_CCS_E2_20260121,191,4920,61800,304.1,7792
TXSD_CCS_E2_20260121,201,4932,57800,285.1,7792
TXSD_CCS_E2_20260121,211,4916,60000,295.0,7792
TXSD_CCS_E2_20260121,221,4932,57900,285.6,7792
TXSD_CCS_E2_20260121,231,4912,57300,281.5,7792
TXSD_CCS_E2_20260121,241,4936,57900,285.8,7792
TXSD_CCS_E2_20260121,251,4912,57400,281.9,7792
TXSD_CCS_E2_20260121,261,4932,56700,279.6,7792
TXSD_CCS_E2_20260121,271,4916,58400,287.1,7792
TXSD_CCS_E2_20260121,281,4932,56900,280.6,7792
TXSD_CCS_E2_20260121,291,4916,58500,287.6,7792
TXSD_CCS_E2_20260121,301,4932,69100,340.8,7792
TXSD_CCS_E2_20260121,311,4924,58500,288.1,7792
TXSD_CCS_E2_20260121,321,4932,66200,326.5,7792
TXSD_CCS_E2_20260121,331,4924,58500,288.1,7792
TXSD_CCS_E2_20260121,341,4920,63700,313.4,7792
TXSD_CCS_E2_20260121,351,4928,58500,288.3,7792
TXSD_CCS_E2_20260121,361,4920,102200,502.8,7793
TXSD_CCS_E2_20260121,371,4932,57900,285.6,7793
TXSD_CCS_E2_20260121,381,4720,140300,662.2,7793
TXSD_CCS_E2_20260121,391,4932,57900,285.6,7793
TXSD_CCS_E2_20260121,401,4916,57300,281.7,7793
TXSD_CCS_E2_20260121,411,4932,57300,282.6,7793
TXSD_CCS_E2_20260121,421,4912,58500,287.4,7793
TXSD_CCS_E2_20260121,431,4932,56800,280.1,7793
TXSD_CCS_E2_20260121,441,4916,58500,287.6,7793
TXSD_CCS_E2_20260121,451,4932,56800,280.1,7793
TXSD_CCS_E2_20260121,461,4920,58500,287.8,7793
TXSD_CCS_E2_20260121,471,4932,68000,335.4,7793
TXSD_CCS_E2_20260121,481,4924,58500,288.1,7793
TXSD_CCS_E2_20260121,491,4932,65600,323.5,7793
TXSD_CCS_E2_20260121,501,4928,58500,288.3,7793
TXSD_CCS_E2_20260121,511,4920,62600,308.0,7793
TXSD_CCS_E2_20260121,521,4928,58500,288.3,7793
TXSD_CCS_E2_20260121,531,4920,60500,297.7,7793
TXSD_CCS_E2_20260121,541,4932,57800,285.1,7793
TXSD_CCS_E2_20260121,551,4916,57700,283.7,7793
TXSD_CCS_E2_20260121,561,4932,57900,285.6,7793
TXSD_CCS_E2_20260121,571,4912,57300,281.5,7793
TXSD_CCS_E2_20260121,581,4932,56600,279.2,7793
TXSD_CCS_E2_20260121,591,4916,58500,287.6,7793
TXSD_CCS_E2_20260121,601,4932,56700,279.6,7793
TXSD_CCS_E2_20260121,611,4920,58400,287.3,7793
TXSD_CCS_E2_20260121,621,4936,69900,345.0,7793
TXSD_CCS_E2_20260121,631,4920,58500,287.8,7793
TXSD_CCS_E2_20260121,641,4932,66900,330.0,7793
TXSD_CCS_E2_20260121,651,4924,58400,287.6,7793
TXSD_CCS_E2_20260121,661,4932,64500,318.1,7793
TXSD_CCS_E2_20260121,671,4928,58500,288.3,7793
TXSD_CCS_E2_20260121,681,4920,61800,304.1,7793
TXSD_CCS_E2_20260121,691,4928,57800,284.8,7793
TXSD_CCS_E2_20260121,701,4916,59600,293.0,7793
TXSD_CCS_E2_20260121,711,4936,57900,285.8,7793
TXSD_CCS_E2_20260121,721,4912,57300,281.5,7793
TXSD_CCS_E2_20260121,731,4932,57900,285.6,7793
TXSD_CCS_E2_20260121,741,4912,57700,283.4,7793
TXSD_CCS_E2_20260121,751,4932,56700,279.6,7793
TXSD_CCS_E2_20260121,761,4916,58400,287.1,7793
TXSD_CCS_E2_20260121,771,4936,56800,280.4,7793
TXSD_CCS_E2_20260121,781,4920,58500,287.8,7793
TXSD_CCS_E2_20260121,791,4932,68800,339.3,7793
TXSD_CCS_E2_20260121,801,4920,58400,287.3,7793
TXSD_CCS_E2_20260121,811,4932,66200,326.5,7793
TXSD_CCS_E2_20260121,821,4924,58500,288.1,7793
TXSD_CCS_E2_20260121,831,4924,63500,312.7,7793
TXSD_CCS_E2_20260121,843,4936,57700,284.8,7793
TXSD_CCS_E2_20260121,851,4920,60900,299.6,7793
TXSD_CCS_E2_20260121,861,4932,57800,285.1,7793
TXSD_CCS_E2_20260121,871,4916,58500,287.6,7793
TXSD_CCS_E2_20260121,881,4936,57900,285.8,7793
TXSD_CCS_E2_20260121,891,4912,57300,281.5,7793
TXSD_CCS_E2_20260121,901,4936,57000,281.4,7793
TXSD_CCS_E2_20260121,911,4916,58500,287.6,7793
TXSD_CCS_E2_20260121,921,4932,56700,279.6,7793
TXSD_CCS_E2_20260121,931,4916,58400,287.1,7793
TXSD_CCS_E2_20260121,941,4932,56800,280.1,7793
TXSD_CCS_E2_20260121,951,4920,58500,287.8,7793
TXSD_CCS_E2_20260121,961,4932,67800,334.4,7793
TXSD_CCS_E2_20260121,971,4924,58500,288.1,7793
TXSD_CCS_E2_20260121,981,4932,65200,321.6,7793
TXSD_CCS_E2_20260121,991,4928,58500,288.3,7793
TXSD_CCS_E2_20260121,1001,4920,62300,306.5,7793
TXSD_CCS_E2_20260121,1011,4928,58400,287.8,7793
TXSD_CCS_E2_20260121,1021,4916,60500,297.4,7793
TXSD_CCS_E2_20260121,1031,4932,57900,285.6,7793
TXSD_CCS_E2_20260121,1041,4916,57400,282.2,7793
TXSD_CCS_E2_20260121,1051,4936,57900,285.8,7793
TXSD_CCS_E2_20260121,1061,4912,57200,281.0,7793
TXSD_CCS_E2_20260121,1071,4932,56800,280.1,7793
TXSD_CCS_E2_20260121,1081,4916,58500,287.6,7793
TXSD_CCS_E2_20260121,1091,4932,56800,280.1,7793
TXSD_CCS_E2_20260121,1101,4920,58500,287.8,7793
TXSD_CCS_E2_20260121,1111,4932,69800,344.3,7793
TXSD_CCS_E2_20260121,1121,4920,58400,287.3,7793
TXSD_CCS_E2_20260121,1131,4932,66700,329.0,7793
TXSD_CCS_E2_20260121,1141,4924,58500,288.1,7793
TXSD_CCS_E2_20260121,1151,4924,64300,316.6,7793
TXSD_CCS_E2_20260121,1161,4928,58500,288.3,7793
TXSD_CCS_E2_20260121,1171,4920,61700,303.6,7793
TXSD_CCS_E2_20260121,1181,4932,57700,284.6,7793
TXSD_CCS_E2_20260121,1191,4916,59300,291.5,7793
TXSD_CCS_E2_20260121,1201,4936,57800,285.3,7793
TXSD_CCS_E2_20260121,1211,4912,57200,281.0,7793
TXSD_CCS_E2_20260121,1221,4936,57800,285.3,7793
TXSD_CCS_E2_20260121,1231,4912,57900,284.4,7793
TXSD_CCS_E2_20260121,1241,4932,56700,279.6,7793
TXSD_CCS_E2_20260121,1251,4916,58400,287.1,7793
TXSD_CCS_E2_20260121,1261,4932,56800,280.1,7793
TXSD_CCS_E2_20260121,1271,4920,58500,287.8,7793
TXSD_CCS_E2_20260121,1281,4932,68600,338.3,7793
TXSD_CCS_E2_20260121,1291,4924,58400,287.6,7793
TXSD_CCS_E2_20260121,1301,4932,66100,326.0,7793
TXSD_CCS_E2_20260121,1311,4924,58500,288.1,7793
TXSD_CCS_E2_20260121,1321,4924,63100,310.7,7793
TXSD_CCS_E2_20260121,1331,4928,58400,287.8,7793
TXSD_CCS_E2_20260121,1341,4920,60600,298.2,7793
TXSD_CCS_E2_20260121,1351,4932,57800,285.1,7793
TXSD_CCS_E2_20260121,1361,4916,118700,583.5,7794
TXSD_CCS_E2_20260121,1371,4932,57900,285.6,7794
TXSD_CCS_E2_20260121,1381,4804,147500,708.6,7794
TXSD_CCS_E2_20260121,1391,4932,56800,280.1,7794
TXSD_CCS_E2_20260121,1401,4912,58500,287.4,7794
TXSD_CCS_E2_20260121,1411,4932,56700,279.6,7794
TXSD_CCS_E2_20260121,1421,4916,58400,287.1,7794
