ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_B, trial_index=3, adv_interval_ms=100
425,ADV,-35,e0:5a:1b:15:c4:ca,MF0000
929,ADV,-45,e0:5a:1b:15:c4:ca,MF0000
1427,ADV,-40,e0:5a:1b:15:c4:ca,MF0000
1941,ADV,-44,e0:5a:1b:15:c4:ca,MF0000
2440,ADV,-42,e0:5a:1b:15:c4:ca,MF0000
2947,ADV,-34,e0:5a:1b:15:c4:ca,MF0000
3450,ADV,-43,e0:5a:1b:15:c4:ca,MF0000
3949,ADV,-41,e0:5a:1b:15:c4:ca,MF0000
4456,ADV,-39,e0:5a:1b:15:c4:ca,MF0000
4964,ADV,-45,e0:5a:1b:15:c4:ca,MF0001
5462,ADV,-43,e0:5a:1b:15:c4:ca,MF0002
5969,ADV,-34,e0:5a:1b:15:c4:ca,MF0003
6478,ADV,-43,e0:5a:1b:15:c4:ca,MF0004
7492,ADV,-43,e0:5a:1b:15:c4:ca,MF0006
7988,ADV,-42,e0:5a:1b:15:c4:ca,MF0007
8490,ADV,-38,e0:5a:1b:15:c4:ca,MF0008
8995,ADV,-43,e0:5a:1b:15:c4:ca,MF0009
9495,ADV,-42,e0:5a:1b:15:c4:ca,MF000A
10002,ADV,-34,e0:5a:1b:15:c4:ca,MF000B
10514,ADV,-43,e0:5a:1b:15:c4:ca,MF000C
11011,ADV,-41,e0:5a:1b:15:c4:ca,MF000D
11529,ADV,-38,e0:5a:1b:15:c4:ca,MF000E
12028,ADV,-45,e0:5a:1b:15:c4:ca,MF000F
12529,ADV,-42,e0:5a:1b:15:c4:ca,MF0010
13059,ADV,-45,e0:5a:1b:15:c4:ca,MF0011
13541,ADV,-42,e0:5a:1b:15:c4:ca,MF0012
14057,ADV,-35,e0:5a:1b:15:c4:ca,MF0013
14552,ADV,-45,e0:5a:1b:15:c4:ca,MF0014
15057,ADV,-42,e0:5a:1b:15:c4:ca,MF0015
15566,ADV,-39,e0:5a:1b:15:c4:ca,MF0016
16079,ADV,-46,e0:5a:1b:15:c4:ca,MF0017
16578,ADV,-41,e0:5a:1b:15:c4:ca,MF0018
17092,ADV,-45,e0:5a:1b:15:c4:ca,MF0019
17590,ADV,-43,e0:5a:1b:15:c4:ca,MF001A
18109,ADV,-38,e0:5a:1b:15:c4:ca,MF001B
18605,ADV,-43,e0:5a:1b:15:c4:ca,MF001C
19108,ADV,-43,e0:5a:1b:15:c4:ca,MF001D
19627,ADV,-35,e0:5a:1b:15:c4:ca,MF001E
20125,ADV,-45,e0:5a:1b:15:c4:ca,MF001F
20638,ADV,-38,e0:5a:1b:15:c4:ca,MF0020
21145,ADV,-43,e0:5a:1b:15:c4:ca,MF0021
21638,ADV,-44,e0:5a:1b:15:c4:ca,MF0022
22148,ADV,-35,e0:5a:1b:15:c4:ca,MF0023
22653,ADV,-43,e0:5a:1b:15:c4:ca,MF0024
23155,ADV,-42,e0:5a:1b:15:c4:ca,MF0025
23664,ADV,-39,e0:5a:1b:15:c4:ca,MF0026
24174,ADV,-44,e0:5a:1b:15:c4:ca,MF0027
24679,ADV,-42,e0:5a:1b:15:c4:ca,MF0028
25193,ADV,-44,e0:5a:1b:15:c4:ca,MF0029
26184,ADV,-39,e0:5a:1b:15:c4:ca,MF002B
26700,ADV,-43,e0:5a:1b:15:c4:ca,MF002C
27192,ADV,-43,e0:5a:1b:15:c4:ca,MF002D
27700,ADV,-40,e0:5a:1b:15:c4:ca,MF002E
28200,ADV,-43,e0:5a:1b:15:c4:ca,MF002F
28704,ADV,-42,e0:5a:1b:15:c4:ca,MF0030
29209,ADV,-38,e0:5a:1b:15:c4:ca,MF0031
30218,ADV,-42,e0:5a:1b:15:c4:ca,MF0033
31730,ADV,-41,e0:5a:1b:15:c4:ca,MF0036
32237,ADV,-43,e0:5a:1b:15:c4:ca,MF0037
32735,ADV,-43,e0:5a:1b:15:c4:ca,MF0038
33243,ADV,-35,e0:5a:1b:15:c4:ca,MF0039
33746,ADV,-44,e0:5a:1b:15:c4:ca,MF003A
34251,ADV,-43,e0:5a:1b:15:c4:ca,MF003B
34760,ADV,-35,e0:5a:1b:15:c4:ca,MF003C
35262,ADV,-43,e0:5a:1b:15:c4:ca,MF003D
35766,ADV,-39,e0:5a:1b:15:c4:ca,MF003E
36273,ADV,-34,e0:5a:1b:15:c4:ca,MF003F
37284,ADV,-34,e0:5a:1b:15:c4:ca,MF0041
37791,ADV,-46,e0:5a:1b:15:c4:ca,MF0042
38288,ADV,-40,e0:5a:1b:15:c4:ca,MF0043
38796,ADV,-39,e0:5a:1b:15:c4:ca,MF0044
39805,ADV,-40,e0:5a:1b:15:c4:ca,MF0046
40312,ADV,-34,e0:5a:1b:15:c4:ca,MF0047
40830,ADV,-42,e0:5a:1b:15:c4:ca,MF0048
41323,ADV,-41,e0:5a:1b:15:c4:ca,MF0049
41829,ADV,-34,e0:5a:1b:15:c4:ca,MF004A
42838,ADV,-34,e0:5a:1b:15:c4:ca,MF004C
43341,ADV,-43,e0:5a:1b:15:c4:ca,MF004D
43836,ADV,-39,e0:5a:1b:15:c4:ca,MF004E
44342,ADV,-35,e0:5a:1b:15:c4:ca,MF004F
44866,ADV,-43,e0:5a:1b:15:c4:ca,MF0050
45346,ADV,-40,e0:5a:1b:15:c4:ca,MF0051
45870,ADV,-34,e0:5a:1b:15:c4:ca,MF0052
46363,ADV,-45,e0:5a:1b:15:c4:ca,MF0053
46867,ADV,-40,e0:5a:1b:15:c4:ca,MF0054
47370,ADV,-34,e0:5a:1b:15:c4:ca,MF0055
47875,ADV,-43,e0:5a:1b:15:c4:ca,MF0056
48375,ADV,-39,e0:5a:1b:15:c4:ca,MF0057
48905,ADV,-43,e0:5a:1b:15:c4:ca,MF0059
49405,ADV,-40,e0:5a:1b:15:c4:ca,MF005A
49900,ADV,-35,e0:5a:1b:15:c4:ca,MF005B
50409,ADV,-44,e0:5a:1b:15:c4:ca,MF005C
50913,ADV,-42,e0:5a:1b:15:c4:ca,MF005D
51426,ADV,-39,e0:5a:1b:15:c4:ca,MF005E
52940,ADV,-43,e0:5a:1b:15:c4:ca,MF0061
53441,ADV,-41,e0:5a:1b:15:c4:ca,MF0062
53944,ADV,-35,e0:5a:1b:15:c4:ca,MF0063
54450,ADV,-43,e0:5a:1b:15:c4:ca,MF0064
54955,ADV,-36,e0:5a:1b:15:c4:ca,MF0065
55468,ADV,-34,e0:5a:1b:15:c4:ca,MF0066
55973,ADV,-43,e0:5a:1b:15:c4:ca,MF0067
56473,ADV,-39,e0:5a:1b:15:c4:ca,MF0068
56987,ADV,-43,e0:5a:1b:15:c4:ca,MF0069
57492,ADV,-39,e0:5a:1b:15:c4:ca,MF006A
57996,ADV,-34,e0:5a:1b:15:c4:ca,MF006B
58510,ADV,-43,e0:5a:1b:15:c4:ca,MF006C
59004,ADV,-36,e0:5a:1b:15:c4:ca,MF006D
59503,ADV,-35,e0:5a:1b:15:c4:ca,MF006E
60011,ADV,-43,e0:5a:1b:15:c4:ca,MF006F
60516,ADV,-36,e0:5a:1b:15:c4:ca,MF0070
61028,ADV,-35,e0:5a:1b:15:c4:ca,MF0071
61529,ADV,-43,e0:5a:1b:15:c4:ca,MF0072
62538,ADV,-44,e0:5a:1b:15:c4:ca,MF0074
63046,ADV,-36,e0:5a:1b:15:c4:ca,MF0075
63552,ADV,-35,e0:5a:1b:15:c4:ca,MF0076
64059,ADV,-45,e0:5a:1b:15:c4:ca,MF0077
64555,ADV,-40,e0:5a:1b:15:c4:ca,MF0078
