ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=1, adv_interval_ms=100
17,3328,07 100,0.0
27,3324,056500,187.8
37,3324,07!500,0.0
47,3324,059300,197.1
57,3320,05%900,0.0
67,3324,06!700,0.0
77,3324,05%800,0.0
87,3324,06$200,0.0
97,3324,05%800,0.0
107,3324,068100,226.4
117,3324,05&100,0.0
127,3324,068700,228.4
137,3324,05&500,0.0
147,3324,07!800,0.0
157,3324,05'700,0.0
167,3324,05&100,0.0
177,3324,06 500,0.0
187,3324,05%800,0.0
197,3328,06"900,0.0
207,3324,05%800,0.0
217,3324,06&400,0.0
227,3324,05%900,0.0
237,3324,068500,227.7
247,3324,05&400,0.0
257,3324,07 500,0.0
267,3324,05&600,0.0
277,3324,07!400,0.0
287,3324,059500,197.8
297,3320,05%900,0.0
307,3324,06!800,0.0
317,3324,05%800,0.0
327,3324,06$600,0.0
337,3324,05%900,0.0
347,3328,068400,227.6
357,3324,05&200,0.0
367,3324,069000,229.4
377,3324,05&400,0.0
387,3324,07!900,0.0
397,3324,058100,193.1
407,3320,05%900,0.0
417,3328,06 900,0.0
427,3324,05%900,0.0
437,3324,06#100,0.0
447,3324,05%900,0.0
457,3324,06&800,0.0
467,3324,05%800,0.0
477,3324,068500,227.7
487,3324,05&500,0.0
497,3324,07 900,0.0
507,3324,05&700,0.0
517,3324,05&400,0.0
527,3324,059800,198.8
537,3324,05%900,0.0
547,3324,06"000,0.0
557,3324,05%800,0.0
567,3324,06%000,0.0
577,3324,05%900,0.0
587,3324,068500,227.7
597,3324,05&300,0.0
607,3324,069300,230.4
617,3324,05&500,0.0
627,3324,07!900,0.0
637,3324,058600,194.8
647,3320,05%900,0.0
657,3324,06!200,0.0
667,3324,05%900,0.0
677,3324,06#500,0.0
687,3324,05%900,0.0
697,3324,06'300,0.0
707,3324,05%900,0.0
717,3324,068500,227.7
727,3324,05&400,0.0
737,3324,07!400,0.0
747,3324,05'100,0.0
757,3324,05&200,0.0
767,3328,059900,199.3
777,3324,05%900,0.0
787,3324,06"200,0.0
797,3324,05%800,0.0
807,3324,06%500,0.0
817,3324,05%900,0.0
827,3324,068500,227.7
837,3324,05&400,0.0
847,3324,069700,231.7
857,3324,05&400,0.0
867,3324,07!800,0.0
877,3324,059000,196.1
887,3320,05%800,0.0
897,3324,06!500,0.0
907,3324,05%800,0.0
917,3324,06#800,0.0
927,3324,05%800,0.0
937,3324,06'800,0.0
947,3324,05&000,0.0
957,3324,068600,228.0
967,3324,05&500,0.0
977,3324,07!600,0.0
987,3324,05'400,0.0
997,3324,05&100,0.0
1007,3324,06 200,0.0
1017,3324,05%900,0.0
1027,3328,06"500,0.0
1037,3324,05%900,0.0
1047,3324,06&000,0.0
1057,3324,05%900,0.0
1067,3328,068500,228.0
1077,3324,05&500,0.0
1087,3324,07 200,0.0
1097,3324,05&500,0.0
1107,3324,07!500,0.0
1117,3324,059400,197.4
1127,3320,05%900,0.0
1137,3324,06!700,0.0
1148,3316,08!500,0.0
1157,3324,06$500,0.0
1167,3324,05%800,0.0
1177,3324,068300,227.0
1187,3324,05&200,0.0
1197,3324,069000,229.4
1207,3324,05&500,0.0
1217,3324,07!400,0.0
1227,3324,059800,198.8
1237,3324,05%900,0.0
1247,3328,06"000,0.0
1257,3324,05%800,0.0
1267,3324,06%100,0.0
1277,3324,05%900,0.0
1287,3324,068500,227.7
1297,3324,056300,187.1
1307,3324,069300,230.4
1317,3324,05&500,0.0
1327,3324,07!900,0.0
1337,3324,058600,194.8
1347,3320,05&000,0.0
1357,3324,06!300,0.0
1367,3324,05%900,0.0
1377,3324,06#500,0.0
1387,3324,05%900,0.0
1397,3328,06'300,0.0
1407,3324,05%900,0.0
1417,3324,068500,227.7
1427,3324,05&500,0.0
1437,3324,07!400,0.0
1447,3324,05'100,0.0
1457,3324,05&100,0.0
1467,3324,06 000,0.0
1477,3324,05%900,0.0
1487,3324,06"200,0.0
1497,3324,05%900,0.0
1507,3324,06%500,0.0
1517,3324,05%900,0.0
1527,3324,068500,227.7
1537,3324,05&400,0.0
1547,3324,069800,232.0
1557,3324,05&400,0.0
1567,3324,07!700,0.0
1577,3324,059000,196.1
1587,3324,05%900,0.0
1597,3328,06!500,0.0
1607,3324,05%900,0.0
1617,3324,06#900,0.0
1627,3324,05%900,0.0
1637,3328,06'700,0.0
1647,3324,05&000,0.0
1657,3324,068600,228.0
1667,3324,05&400,0.0
1677,3324,07!700,0.0
1687,3324,05'400,0.0
1697,3320,05&100,0.0
1707,3324,06 300,0.0
1717,3324,05%900,0.0
1727,3328,06"600,0.0
