ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_OFF_v1, trial_index=2, adv_interval_ms=0
29,3228,052400,169.1
30,3224,069100,222.8
30,3220,068700,221.2
30,3220,068700,221.2
31,3216,068700,220.9
31,3220,069900,225.1
31,3220,069900,225.1
31,3216,067400,216.8
32,3252,060200,195.8
32,3216,060200,193.6
32,3236,063500,205.5
40,3252,052700,171.4
50,3248,053000,172.1
60,3252,055500,180.5
70,3248,052200,169.5
80,3252,058400,189.9
90,3248,052200,169.5
100,3252,062800,204.2
110,3248,052400,170.2
120,3248,064500,209.5
130,3248,052700,171.2
140,3248,053000,172.1
150,3252,055600,180.8
160,3248,052200,169.5
170,3256,058500,190.5
180,3248,052200,169.5
190,3252,063000,204.9
200,3248,052500,170.5
210,3252,064700,210.4
220,3252,052800,171.7
230,3248,052900,171.8
240,3252,055700,181.1
250,3248,052100,169.2
260,3252,058600,190.6
270,3252,052100,169.4
280,3252,063000,204.9
290,3248,052400,170.2
300,3252,064900,211.1
310,3252,052800,171.7
320,3248,052800,171.5
330,3252,055800,181.5
340,3248,052100,169.2
350,3252,058900,191.5
360,3248,052200,169.5
370,3252,063200,205.5
380,3248,052500,170.5
390,3252,065200,212.0
400,3252,052800,171.7
410,3248,052700,171.2
420,3252,055900,181.8
430,3248,052100,169.2
440,3252,059000,191.9
450,3252,052200,169.8
460,3252,063200,205.5
470,3252,052500,170.7
480,3252,065300,212.4
490,3252,052900,172.0
500,3248,052600,170.8
510,3252,056100,182.4
520,3252,052100,169.4
530,3252,059200,192.5
540,3248,052100,169.2
550,3252,063200,205.5
560,3252,052600,171.1
570,3252,065500,213.0
580,3252,053000,172.4
590,3248,052500,170.5
600,3252,056300,183.1
610,3248,052200,169.5
620,3252,059300,192.8
630,3248,052100,169.2
640,3252,063100,205.2
650,3252,052600,171.1
660,3252,065700,213.7
670,3252,053000,172.4
680,3248,052600,170.8
690,3252,056400,183.4
700,3252,052100,169.4
710,3252,059500,193.5
720,3252,052100,169.4
730,3252,063300,205.9
740,3252,052600,171.1
750,3252,065900,214.3
760,3252,053200,173.0
770,3244,052500,170.3
780,3252,056600,184.1
790,3248,052200,169.5
800,3252,059700,194.1
810,3248,052100,169.2
820,3256,063200,205.8
830,3252,052600,171.1
840,3252,066000,214.6
850,3252,053300,173.3
860,3244,052400,170.0
870,3252,056800,184.7
880,3248,052200,169.5
890,3252,060000,195.1
900,3252,052200,169.8
910,3252,063300,205.9
920,3248,052600,170.8
930,3252,066300,215.6
940,3252,053500,174.0
950,3248,052400,170.2
960,3252,056900,185.0
970,3252,052100,169.4
980,3252,060200,195.8
990,3248,052200,169.5
1000,3252,063200,205.5
1010,3248,052700,171.2
1020,3252,066300,215.6
1030,3252,053700,174.6
1040,3244,052400,170.0
1050,3252,057100,185.7
1060,3248,052100,169.2
1070,3256,060300,196.3
1080,3248,052100,169.2
1090,3252,063300,205.9
1100,3252,052600,171.1
1110,3252,066400,215.9
1120,3252,053900,175.3
1130,3244,052400,170.0
1140,3252,057200,186.0
1150,3248,052200,169.5
1160,3252,060500,196.7
1170,3252,052100,169.4
1180,3252,063200,205.5
1190,3252,052700,171.4
1200,3252,066400,215.9
1210,3252,053900,175.3
1220,3244,052300,169.7
1230,3252,057300,186.3
1240,3248,052100,169.2
1250,3252,060800,197.7
1260,3248,052100,169.2
1270,3252,063300,205.9
1280,3252,052700,171.4
1290,3252,066500,216.3
1300,3252,054000,175.6
1310,3244,052300,169.7
1320,3256,057400,186.9
1330,3248,052200,169.5
1340,3252,061000,198.4
1350,3248,052100,169.2
1360,3252,063200,205.5
1370,3252,052800,171.7
1380,3252,066400,215.9
1390,3252,054300,176.6
1400,3244,052300,169.7
1410,3252,057500,187.0
1420,3252,052100,169.4
1430,3256,061100,198.9
1440,3252,052100,169.4
1450,3252,063400,206.2
1460,3252,052700,171.4
1470,3252,066600,216.6
1480,3252,054500,177.2
1490,3244,052300,169.7
