ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_B, trial_index=6, adv_interval_ms=100
91,ADV,-55,e0:5a:1b:15:c4:ca,MF00A6
184,ADV,-42,e0:5a:1b:15:c4:ca,MF00A7
285,ADV,-39,e0:5a:1b:15:c4:ca,MF00A8
394,ADV,-54,e0:5a:1b:15:c4:ca,MF00A9
497,ADV,-42,e0:5a:1b:15:c4:ca,MF00AA
613,ADV,-36,e0:5a:1b:15:c4:ca,MF00AB
705,ADV,-51,e0:5a:1b:15:c4:ca,MF00AC
827,ADV,-44,e0:5a:1b:15:c4:ca,MF00AD
914,ADV,-39,e0:5a:1b:15:c4:ca,MF00AF
1025,ADV,-54,e0:5a:1b:15:c4:ca,MF00B0
1118,ADV,-42,e0:5a:1b:15:c4:ca,MF00B1
1226,ADV,-39,e0:5a:1b:15:c4:ca,MF00B2
1434,ADV,-52,e0:5a:1b:15:c4:ca,MF00B4
1542,ADV,-42,e0:5a:1b:15:c4:ca,MF00B5
1640,ADV,-39,e0:5a:1b:15:c4:ca,MF00B6
1755,ADV,-51,e0:5a:1b:15:c4:ca,MF00B7
1857,ADV,-42,e0:5a:1b:15:c4:ca,MF00B8
1967,ADV,-39,e0:5a:1b:15:c4:ca,MF00B9
2077,ADV,-51,e0:5a:1b:15:c4:ca,MF00BA
2177,ADV,-42,e0:5a:1b:15:c4:ca,MF00BB
2283,ADV,-42,e0:5a:1b:15:c4:ca,MF00BC
2389,ADV,-36,e0:5a:1b:15:c4:ca,MF00BD
2503,ADV,-55,e0:5a:1b:15:c4:ca,MF00BE
2614,ADV,-43,e0:5a:1b:15:c4:ca,MF00BF
2709,ADV,-39,e0:5a:1b:15:c4:ca,MF00C0
2821,ADV,-51,e0:5a:1b:15:c4:ca,MF00C2
2924,ADV,-43,e0:5a:1b:15:c4:ca,MF00C3
3035,ADV,-45,e0:5a:1b:15:c4:ca,MF00C4
3156,ADV,-36,e0:5a:1b:15:c4:ca,MF00C5
3247,ADV,-55,e0:5a:1b:15:c4:ca,MF00C6
3453,ADV,-39,e0:5a:1b:15:c4:ca,MF00C8
3557,ADV,-52,e0:5a:1b:15:c4:ca,MF00C9
3664,ADV,-43,e0:5a:1b:15:c4:ca,MF00CA
3777,ADV,-39,e0:5a:1b:15:c4:ca,MF00CB
3987,ADV,-54,e0:5a:1b:15:c4:ca,MF00CD
4100,ADV,-43,e0:5a:1b:15:c4:ca,MF00CE
4196,ADV,-39,e0:5a:1b:15:c4:ca,MF00CF
4308,ADV,-52,e0:5a:1b:15:c4:ca,MF00D0
4410,ADV,-43,e0:5a:1b:15:c4:ca,MF00D1
4525,ADV,-39,e0:5a:1b:15:c4:ca,MF00D3
4627,ADV,-52,e0:5a:1b:15:c4:ca,MF00D4
4727,ADV,-42,e0:5a:1b:15:c4:ca,MF00D5
4838,ADV,-100,e0:5a:1b:15:c4:ca,MF00D6
4939,ADV,-37,e0:5a:1b:15:c4:ca,MF00D7
5046,ADV,-55,e0:5a:1b:15:c4:ca,MF00D8
5149,ADV,-43,e0:5a:1b:15:c4:ca,MF00D9
5249,ADV,-39,e0:5a:1b:15:c4:ca,MF00DA
5360,ADV,-52,e0:5a:1b:15:c4:ca,MF00DB
5458,ADV,-42,e0:5a:1b:15:c4:ca,MF00DC
5571,ADV,-39,e0:5a:1b:15:c4:ca,MF00DD
5675,ADV,-52,e0:5a:1b:15:c4:ca,MF00DE
5771,ADV,-43,e0:5a:1b:15:c4:ca,MF00DF
5875,ADV,-39,e0:5a:1b:15:c4:ca,MF00E0
5989,ADV,-39,e0:5a:1b:15:c4:ca,MF00E1
6096,ADV,-52,e0:5a:1b:15:c4:ca,MF00E2
6203,ADV,-43,e0:5a:1b:15:c4:ca,MF00E3
6313,ADV,-39,e0:5a:1b:15:c4:ca,MF00E4
6427,ADV,-55,e0:5a:1b:15:c4:ca,MF00E6
6564,ADV,-55,e0:5a:1b:15:c4:ca,MF00E7
6634,ADV,-44,e0:5a:1b:15:c4:ca,MF00E8
6736,ADV,-39,e0:5a:1b:15:c4:ca,MF00E9
6841,ADV,-52,e0:5a:1b:15:c4:ca,MF00EA
6942,ADV,-43,e0:5a:1b:15:c4:ca,MF00EB
7049,ADV,-39,e0:5a:1b:15:c4:ca,MF00EC
7164,ADV,-55,e0:5a:1b:15:c4:ca,MF00ED
7263,ADV,-44,e0:5a:1b:15:c4:ca,MF00EE
7374,ADV,-39,e0:5a:1b:15:c4:ca,MF00EF
7587,ADV,-52,e0:5a:1b:15:c4:ca,MF00F1
7690,ADV,-43,e0:5a:1b:15:c4:ca,MF00F2
7801,ADV,-40,e0:5a:1b:15:c4:ca,MF00F3
7921,ADV,-55,e0:5a:1b:15:c4:ca,MF00F4
8003,ADV,-43,e0:5a:1b:15:c4:ca,MF00F5
8104,ADV,-39,e0:5a:1b:15:c4:ca,MF00F6
8213,ADV,-55,e0:5a:1b:15:c4:ca,MF00F7
8315,ADV,-43,e0:5a:1b:15:c4:ca,MF00F8
8422,ADV,-40,e0:5a:1b:15:c4:ca,MF00FA
8527,ADV,-55,e0:5a:1b:15:c4:ca,MF00FB
8627,ADV,-43,e0:5a:1b:15:c4:ca,MF00FC
8745,ADV,-43,e0:5a:1b:15:c4:ca,MF00FD
8837,ADV,-40,e0:5a:1b:15:c4:ca,MF00FE
9048,ADV,-43,e0:5a:1b:15:c4:ca,MF0100
9148,ADV,-39,e0:5a:1b:15:c4:ca,MF0101
9260,ADV,-54,e0:5a:1b:15:c4:ca,MF0102
9354,ADV,-45,e0:5a:1b:15:c4:ca,MF0103
9463,ADV,-40,e0:5a:1b:15:c4:ca,MF0104
9567,ADV,-55,e0:5a:1b:15:c4:ca,MF0105
9675,ADV,-43,e0:5a:1b:15:c4:ca,MF0106
9771,ADV,-39,e0:5a:1b:15:c4:ca,MF0107
9889,ADV,-37,e0:5a:1b:15:c4:ca,MF0108
10105,ADV,-43,e0:5a:1b:15:c4:ca,MF010A
10194,ADV,-39,e0:5a:1b:15:c4:ca,MF010B
10303,ADV,-55,e0:5a:1b:15:c4:ca,MF010C
10418,ADV,-42,e0:5a:1b:15:c4:ca,MF010D
10519,ADV,-37,e0:5a:1b:15:c4:ca,MF010E
10609,ADV,-52,e0:5a:1b:15:c4:ca,MF010F
10727,ADV,-42,e0:5a:1b:15:c4:ca,MF0111
10824,ADV,-38,e0:5a:1b:15:c4:ca,MF0112
11040,ADV,-55,e0:5a:1b:15:c4:ca,MF0114
11149,ADV,-41,e0:5a:1b:15:c4:ca,MF0115
11243,ADV,-39,e0:5a:1b:15:c4:ca,MF0116
11363,ADV,-55,e0:5a:1b:15:c4:ca,MF0117
11444,ADV,-38,e0:5a:1b:15:c4:ca,MF0118
11550,ADV,-39,e0:5a:1b:15:c4:ca,MF0119
11664,ADV,-54,e0:5a:1b:15:c4:ca,MF011A
11758,ADV,-42,e0:5a:1b:15:c4:ca,MF011B
11865,ADV,-37,e0:5a:1b:15:c4:ca,MF011C
11974,ADV,-54,e0:5a:1b:15:c4:ca,MF011D
12294,ADV,-36,e0:5a:1b:15:c4:ca,MF0120
12397,ADV,-55,e0:5a:1b:15:c4:ca,MF0121
12507,ADV,-42,e0:5a:1b:15:c4:ca,MF0122
