ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=2, adv_interval_ms=100
4,3312,059000,195.4
14,3312,055600,184.1
24,3312,060900,201.7
34,3140,137800,432.7
44,3312,064000,212.0
54,3312,055500,183.8
64,3312,066900,221.6
74,3312,055600,184.1
84,3296,068500,225.8
94,3312,056200,186.1
104,3312,069700,230.8
114,3312,056200,186.1
124,3312,056500,187.1
134,3312,058200,192.8
144,3308,055900,184.9
154,3312,060800,201.4
164,3312,055600,184.1
174,3312,062600,207.3
184,3300,077900,257.1
194,3316,065800,218.2
204,3312,055500,183.8
214,3312,066900,221.6
224,3312,056100,185.8
234,3312,068200,225.9
244,3220,146500,471.7
254,3312,056600,187.5
264,3312,058000,192.1
274,3308,055700,184.3
284,3284,060300,198.0
294,3312,055600,184.1
304,3312,061500,203.7
314,3312,055600,184.1
324,3312,064200,212.6
334,3312,055600,184.1
344,3312,067000,221.9
354,3148,138800,436.9
364,3312,067800,224.6
374,3312,056200,186.1
384,3308,076500,253.1
394,3312,056700,187.8
404,3308,056100,185.6
414,3312,059000,195.4
424,3308,055600,183.9
434,3312,060900,201.7
444,3312,055600,184.1
454,3232,204000,659.3
464,3312,055600,184.1
474,3312,066900,221.6
484,3292,070300,231.4
494,3312,066900,221.6
504,3312,056200,186.1
514,3312,069600,230.5
524,3312,056200,186.1
534,3312,056500,187.1
544,3312,058000,192.1
554,3220,150600,484.9
564,3312,060700,201.0
574,3308,055500,183.6
584,3288,062800,206.5
594,3312,055600,184.1
604,3312,065600,217.3
614,3312,055500,183.8
624,3316,067000,222.2
634,3312,056000,185.5
644,3312,068000,225.2
654,3208,139600,447.8
664,3308,056500,186.9
674,3312,057700,191.1
684,3308,086400,285.8
694,3312,059800,198.1
704,3312,055600,184.1
714,3312,061500,203.7
724,3312,055600,184.1
734,3312,064000,212.0
744,3312,055600,184.1
755,3220,152400,490.7
764,3312,056000,185.5
774,3312,067700,224.2
784,3284,063300,207.9
794,3312,070700,234.2
804,3312,056600,187.5
814,3312,056200,186.1
824,3312,058900,195.1
834,3308,055600,183.9
844,3312,060800,201.4
854,3312,055600,184.1
864,3232,199800,645.8
874,3312,055600,184.1
884,3292,067100,220.9
894,3312,055600,184.1
904,3312,066800,221.2
914,3312,056200,186.1
924,3312,069400,229.9
934,3312,056200,186.1
944,3312,056500,187.1
954,3312,057900,191.8
964,3140,142800,448.4
974,3312,060700,201.0
984,3308,082700,273.6
994,3312,062400,206.7
1004,3312,055600,184.1
1014,3312,065400,216.6
1024,3312,055600,184.1
1034,3312,067100,222.2
1044,3312,055900,185.1
1054,3312,067800,224.6
1064,3312,056200,186.1
1074,3228,221400,714.7
1084,3280,060000,196.8
1094,3312,055800,184.8
1104,3312,059600,197.4
1114,3312,055600,184.1
1124,3312,061300,203.0
1134,3312,055600,184.1
1144,3312,063800,211.3
1154,3312,055600,184.1
1164,3312,066900,221.6
1174,3220,148000,476.6
1184,3300,068400,225.7
1194,3312,056200,186.1
1204,3312,070600,233.8
1214,3312,056400,186.8
1224,3312,056300,186.5
1234,3312,058900,195.1
1244,3308,055500,183.6
1254,3312,060800,201.4
1264,3312,055600,184.1
1274,3312,062400,206.7
1284,3176,166800,529.8
1294,3312,066700,220.9
1304,3312,055600,184.1
1314,3312,066900,221.6
1324,3312,056200,186.1
1334,3312,069100,228.9
1344,3312,056200,186.1
1354,3312,070500,233.5
1364,3312,057700,191.1
1374,3308,055700,184.3
1384,3192,165700,528.9
1394,3312,055600,184.1
1404,3312,062200,206.0
1414,3312,055600,184.1
1424,3316,065000,215.5
1434,3312,055500,183.8
1444,3312,067100,222.2
1454,3308,055900,184.9
1464,3312,067500,223.6
1474,3312,056200,186.1
1484,3308,073700,243.8
1494,3312,057400,190.1
1504,3308,055800,184.6
1514,3312,059300,196.4
1524,3312,055600,184.1
1534,3312,061100,202.4
1544,3312,055600,184.1
1554,3312,063500,210.3
1564,3312,055600,184.1
1574,3312,066600,220.6
1584,3292,070200,231.1
1594,3312,066900,221.6
1604,3312,056300,186.5
1614,3312,070300,232.8
1624,3312,056300,186.5
1634,3312,056500,187.1
1644,3312,058700,194.4
1654,3308,055600,183.9
1664,3312,060600,200.7
1674,3312,055600,184.1
1684,3284,062500,205.2
1694,3312,055600,184.1
1705,3216,153900,494.9
1714,3312,055600,184.1
1724,3312,066900,221.6
1734,3312,056100,185.8
1744,3312,068800,227.9
1754,3312,056200,186.1
1764,3312,070500,233.5
1774,3308,057300,189.5
1784,3308,086300,285.5
1794,3312,059500,197.1
1805,3268,157900,516.0
1814,3312,062000,205.3
1824,3312,055600,184.1
1834,3312,064900,214.9
1844,3312,055600,184.1
1854,3312,067200,222.6
1864,3308,055800,184.6
1874,3312,067400,223.2
1884,3288,064000,210.4
1894,3312,070500,233.5
1904,3312,056300,186.5
1914,3308,056200,185.9
1924,3312,059300,196.4
1934,3312,055600,184.1
1944,3312,061100,202.4
1954,3312,055600,184.1
1964,3312,063300,209.6
1974,3312,055500,183.8
1984,3292,066600,219.2
1994,3312,055600,184.1
2004,3312,066800,221.2
2014,3132,137300,430.0
2024,3312,070200,232.5
2034,3312,056200,186.1
2044,3312,056500,187.1
2054,3312,058600,194.1
2064,3308,055600,183.9
2074,3312,060500,200.4
2084,3308,083200,275.2
2094,3312,062200,206.0
2104,3312,055600,184.1
2114,3228,229500,740.8
2124,3312,055600,184.1
2134,3312,066900,221.6
2144,3312,056200,186.1
2154,3312,068700,227.5
2164,3312,056200,186.1
2174,3312,070500,233.5
2184,3280,059900,196.5
2194,3308,055800,184.6
2204,3312,059300,196.4
2214,3312,055600,184.1
2224,3312,062000,205.3
2234,3308,055600,183.9
2244,3312,064800,214.6
2254,3312,055500,183.8
2264,3312,067100,222.2
2274,3312,055800,184.8
2284,3300,067900,224.1
2294,3312,056200,186.1
2304,3312,070400,233.2
2314,3312,056300,186.5
2324,3312,056200,186.1
2334,3312,059100,195.7
2344,3308,055600,183.9
2354,3312,061000,202.0
2364,3312,055500,183.8
2374,3312,063100,209.0
2384,3300,076600,252.8
2394,3312,066500,220.2
2404,3312,055600,184.1
2414,3312,066900,221.6
2424,3220,159200,512.6
2434,3312,070100,232.2
2444,3312,056200,186.1
2454,3312,056500,187.1
2464,3312,058500,193.8
2474,3308,055600,183.9
2484,3284,060900,200.0
2494,3312,055600,184.1
2504,3312,062000,205.3
2514,3308,055600,183.9
2524,3224,151500,488.4
2534,3312,055500,183.8
2544,3312,066900,221.6
2554,3308,056100,185.6
2564,3312,068500,226.9
2574,3312,056200,186.1
2584,3308,074300,245.8
2594,3312,057300,189.8
2604,3308,055800,184.6
2614,3312,059400,196.7
2624,3312,055600,184.1
2634,3232,141300,456.7
2644,3312,055600,184.1
2654,3312,064400,213.3
2664,3312,055600,184.1
2674,3312,067100,222.2
2684,3292,069400,228.5
2694,3312,067300,222.9
2704,3312,056200,186.1
2714,3312,070300,232.8
2724,3312,056300,186.5
