Subject,Group,N_samples,BAcc_12c,BAcc_4c,ECE,Unknown_rate,Temp_T,Tau,Mean_conf,Mean_entropy,Axis0_mean,Axis0_std,Axis0_range,Axis1_mean,Axis1_std,Axis1_range,Axis2_mean,Axis2_std,Axis2_range
1,Normal,694,0.5407518904307501,0.7807313185944605,0.13581418949173912,0.04610951008645533,2.136,0.38000000000000006,0.8560456977363204,0.3817851629925129,7.932811172395304e-07,0.9999995827674866,7.069554805755615,9.498266706486902e-08,0.9999994039535522,22.686351776123047,-1.1257204590719994e-07,0.9999999403953552,7.722160339355469
2,Outlier,704,0.513105807814101,0.5832462041256502,0.11266455446125619,0.3252840909090909,1.4880000000000002,0.6000000000000003,0.8254205481877247,0.4267965806070453,-2.1587717924376193e-07,0.9999996423721313,6.783649444580078,7.802789525612752e-08,0.999999463558197,22.17026138305664,7.282604030933726e-08,0.9999997019767761,6.249116897583008
3,Success,698,0.8978494623655914,0.9939172749391728,0.08544568829560917,0.0071633237822349575,0.516,0.6200000000000003,0.9405101017993807,0.19229302937634976,-2.360958717417816e-07,1.0000001192092896,6.898035049438477,-2.1860728782741035e-09,0.999999463558197,17.77666473388672,2.4352851824005484e-07,1.0000004768371582,5.802984714508057
4,Normal,697,0.7886449307787226,0.7429805502776207,0.11610498470966957,0.13486370157819225,0.8400000000000001,0.7200000000000004,0.8978924807050713,0.2655930761117588,-1.6419069481798942e-07,0.9999997615814209,7.116977691650391,8.537916151851732e-09,0.9999992847442627,16.5478572845459,4.203281989134666e-08,0.9999997615814209,5.752549171447754
5,Success,669,0.9098360655737704,0.9478772593526692,0.042481751214882686,0.03288490284005979,1.056,0.5000000000000002,0.9173229142536364,0.2131637126572337,1.1039243474897376e-07,0.9999998807907104,6.974056243896484,1.0018569440717329e-07,0.9999998211860657,9.71707534790039,1.9387100813617053e-09,0.9999996423721313,10.562366485595703
6,Normal,634,0.8278116531165312,0.9236652236652237,0.11327692601398022,0.0473186119873817,0.732,0.6200000000000003,0.926606682524006,0.20153401983275,1.6750973941270786e-07,0.9999998807907104,6.630328178405762,1.5403193387442116e-08,0.9999995827674866,12.262076377868652,1.9253992178391854e-08,0.9999997019767761,8.576955795288086
7,Normal,670,0.7752239904903839,0.898022683930543,0.3997735252557344,0.11044776119402985,2.7840000000000003,0.3,0.8333874621088885,0.49003295853442835,-7.980119107742212e-07,0.9999999403953552,6.501509666442871,8.409414675725202e-08,1.0,12.531532287597656,-3.917181601309494e-08,0.9999996423721313,6.546187400817871
8,Outlier,659,0.5373098146362371,0.575947239904309,0.29588545203664746,0.16843702579666162,1.3800000000000001,0.5800000000000003,0.8562320952253913,0.3828175692378628,-3.403705477467156e-07,0.9999996423721313,6.621812343597412,-1.514301715133115e-07,0.9999998807907104,14.08969497680664,-1.812415320046057e-07,0.9999997019767761,10.856012344360352
9,Normal,677,0.7974137931034483,0.7836241924639715,0.08461436196701266,0.17872968980797638,1.7040000000000002,0.5400000000000003,0.9006223025508343,0.2140483119566248,-2.3350229128027422e-07,0.9999998211860657,6.752834320068359,5.409319658866707e-09,0.9999996423721313,12.039948463439941,-5.409319570048865e-08,0.9999998211860657,6.273743629455566
10,Success,666,0.8252431290907348,0.9684385476609236,0.08544420127591824,0.0,1.272,0.48000000000000015,0.8671411184812329,0.34722263671114845,1.0781960781969246e-06,0.9999999403953552,7.7250471115112305,-9.783037313582099e-08,0.9999995827674866,10.74808120727539,1.8878742480410438e-07,0.9999998211860657,6.189793109893799
