trial_index,mode_ms,adv_count,rx_count,rx_zero,start_ms_rx,start_ms_txsd,start_ms_delta
1,0,0,0,True,7194,8006,812
2,0,0,0,True,72194,73006,812
3,0,0,0,True,137194,138006,812
4,0,0,0,True,202194,203006,812
5,0,0,0,True,267193,268006,813
6,0,0,0,True,332193,333006,813
7,0,0,0,True,397193,398006,813
8,0,0,0,True,462193,463006,813
9,0,0,0,True,527193,528006,813
10,0,0,0,True,592192,593006,814
11,100,595,566,False,658332,659146,814
12,100,595,570,False,723333,724147,814
13,100,595,565,False,788334,789149,815
14,100,595,560,False,853335,854150,815
15,100,595,574,False,918336,919151,815
16,100,595,564,False,983337,984153,816
17,100,595,564,False,1048338,1049154,816
18,100,595,565,False,1113339,1114155,816
19,100,595,539,False,1178341,1179156,815
20,100,595,484,False,1243342,1244158,816
21,500,120,101,False,1308843,1309659,816
22,500,120,109,False,1373844,1374660,816
23,500,120,111,False,1438845,1439662,817
24,500,120,114,False,1503846,1504663,817
25,500,120,112,False,1568847,1569664,817
26,500,120,112,False,1633848,1634666,818
27,500,120,111,False,1698849,1699667,818
28,500,120,111,False,1763850,1764668,818
29,500,120,113,False,1828851,1829669,818
30,500,120,114,False,1893852,1894671,819
31,1000,61,53,False,1959353,1960172,819
32,1000,61,57,False,2024354,2025173,819
33,1000,61,58,False,2089355,2090175,820
34,1000,61,59,False,2154356,2155176,820
35,1000,61,59,False,2219357,2220177,820
36,1000,61,57,False,2284358,2285178,820
37,1000,61,59,False,2349360,2350180,820
38,1000,61,58,False,2414361,2415181,820
39,1000,61,57,False,2479362,2480182,820
40,1000,61,53,False,2544363,2545184,821
41,2000,31,30,False,2609864,2610685,821
42,2000,31,29,False,2674865,2675686,821
43,2000,31,31,False,2739866,2740688,822
44,2000,31,28,False,2804867,2805689,822
45,2000,31,28,False,2869868,2870690,822
46,2000,31,28,False,2934869,2935691,822
47,2000,31,31,False,2999870,3000693,823
48,2000,31,28,False,3064871,3065694,823
49,2000,31,30,False,3129872,3130695,823
50,2000,31,29,False,3194873,3195697,824
