trial_index,start_ms_rx,start_ms_txsd,start_ms_delta,mode_ms,adv_count,rx_count,pdr,rssi_median,rssi_mean,ms_total,e_total_mj,e_per_adv_uj,rx_zero
1,7194,8006,812,0,0,0,,,,59447,15727.141,0.0,True
2,72194,73006,812,0,0,0,,,,59452,15734.759,0.0,True
3,137194,138006,812,0,0,0,,,,59451,15742.428,0.0,True
4,202194,203006,812,0,0,0,,,,59451,15744.132,0.0,True
5,267193,268006,813,0,0,0,,,,59445,15754.194,0.0,True
6,332193,333006,813,0,0,0,,,,59449,15763.131,0.0,True
7,397193,398006,813,0,0,0,,,,59448,15772.069,0.0,True
8,462193,463006,813,0,0,0,,,,59448,15775.176,0.0,True
9,527193,528006,813,0,0,0,,,,59442,15772.542,0.0,True
10,592192,593006,814,0,0,0,,,,59446,15768.554,0.0,True
11,658332,659146,814,100,595,566,0.9512605042016806,-43.0,-44.840989399293285,59447,20341.337,34187.1,False
12,723333,724147,814,100,595,570,0.957983193277311,-44.0,-45.45789473684211,59447,19821.443,33313.3,False
13,788334,789149,815,100,595,565,0.9495798319327731,-44,-45.62654867256637,59439,20525.772,34497.1,False
14,853335,854150,815,100,595,560,0.9411764705882353,-44.0,-45.62678571428572,59444,17468.927,29359.5,False
15,918336,919151,815,100,595,574,0.9647058823529412,-45.0,-45.53135888501742,59444,18011.13,30270.8,False
16,983337,984153,816,100,595,564,0.9478991596638655,-44.0,-45.219858156028366,59445,17354.114,29166.6,False
17,1048338,1049154,816,100,595,564,0.9478991596638655,-45.0,-46.083333333333336,59412,19899.344,33444.3,False
18,1113339,1114155,816,100,595,565,0.9495798319327731,-44,-44.9929203539823,59422,19429.62,32654.8,False
19,1178341,1179156,815,100,595,539,0.9058823529411765,-43,-44.647495361781075,59416,20513.836,34477.0,False
20,1243342,1244158,816,100,595,484,0.8134453781512605,-43.0,-44.650826446280995,59414,17844.697,29991.1,False
21,1308843,1309659,816,500,120,101,0.8416666666666667,-43,-44.46534653465346,59411,17367.094,144725.8,False
22,1373844,1374660,816,500,120,109,0.9083333333333333,-43,-44.46788990825688,59412,16850.03,140416.9,False
23,1438845,1439662,817,500,120,111,0.925,-45,-46.252252252252255,59412,17325.624,144380.2,False
24,1503846,1504663,817,500,120,114,0.95,-44.0,-44.94736842105263,59412,17347.038,144558.6,False
25,1568847,1569664,817,500,120,112,0.9333333333333333,-43.0,-44.330357142857146,59411,17331.547,144429.6,False
26,1633848,1634666,818,500,120,112,0.9333333333333333,-43.0,-44.32142857142857,59411,17445.053,145375.4,False
27,1698849,1699667,818,500,120,111,0.925,-43,-44.1981981981982,59412,17424.653,145205.4,False
28,1763850,1764668,818,500,120,111,0.925,-43,-44.47747747747748,59412,17292.283,144102.4,False
29,1828851,1829669,818,500,120,113,0.9416666666666667,-43,-44.60176991150443,59402,16811.125,140092.7,False
30,1893852,1894671,819,500,120,114,0.95,-45.0,-45.42982456140351,59405,17508.153,145901.3,False
31,1959353,1960172,819,1000,61,53,0.8688524590163934,-43,-44.39622641509434,59406,16984.297,278431.1,False
32,2024354,2025173,819,1000,61,57,0.9344262295081968,-43,-44.43859649122807,59439,16960.469,278040.5,False
33,2089355,2090175,820,1000,61,58,0.9508196721311475,-43.0,-44.36206896551724,59413,16697.697,273732.7,False
34,2154356,2155176,820,1000,61,59,0.9672131147540983,-43,-44.33898305084746,59402,16958.079,278001.3,False
35,2219357,2220177,820,1000,61,59,0.9672131147540983,-43,-45.016949152542374,59383,16729.288,274250.6,False
36,2284358,2285178,820,1000,61,57,0.9344262295081968,-43,-44.19298245614035,59364,16692.639,273649.8,False
37,2349360,2350180,820,1000,61,59,0.9672131147540983,-43,-44.016949152542374,59339,17005.494,278778.6,False
38,2414361,2415181,820,1000,61,58,0.9508196721311475,-44.0,-44.48275862068966,59343,16754.804,274668.9,False
39,2479362,2480182,820,1000,61,57,0.9344262295081968,-43,-44.75438596491228,59342,16709.626,273928.3,False
40,2544363,2545184,821,1000,61,53,0.8688524590163934,-43,-44.58490566037736,59341,16994.2,278593.4,False
41,2609864,2610685,821,2000,31,30,0.967741935483871,-43.0,-44.766666666666666,59335,16738.188,539941.5,False
42,2674865,2675686,821,2000,31,29,0.9354838709677419,-44,-44.689655172413794,59340,16893.064,544937.6,False
43,2739866,2740688,822,2000,31,31,1.0,-45,-45.096774193548384,59338,16882.235,544588.2,False
44,2804867,2805689,822,2000,31,28,0.9032258064516129,-45.0,-45.035714285714285,59339,16884.771,544670.0,False
45,2869868,2870690,822,2000,31,28,0.9032258064516129,-44.0,-44.5,59333,16703.286,538815.7,False
46,2934869,2935691,822,2000,31,28,0.9032258064516129,-44.0,-44.785714285714285,59337,16817.419,542497.4,False
47,2999870,3000693,823,2000,31,31,1.0,-45,-47.87096774193548,59431,16885.933,544707.5,False
48,3064871,3065694,823,2000,31,28,0.9032258064516129,-43.0,-44.642857142857146,59402,16813.883,542383.3,False
49,3129872,3130695,823,2000,31,30,0.967741935483871,-43.0,-44.6,59377,16872.884,544286.6,False
50,3194873,3195697,824,2000,31,29,0.9354838709677419,-44,-46.758620689655174,59356,16813.757,542379.3,False
