dataset,run,condition,avg_power_mW_mean,avg_power_mW_std,pout_1s_mean,pout_1s_std,tl_mean_s_mean,tl_mean_s_std,pdr_unique_mean,pdr_unique_std,adv_count_mean,adv_count_std,share100_power_mix_mean,rx_tag_share100_time_est_mean,rx_tag_share100_time_est_std,n_trials
uccs_d3_scan70,01,S4_fixed100,209.878,0.538,0.06504,0.028164,1.342335,0.024927,0.304009,0.017062,1796.0,0.0,,1.0,0.0,3
uccs_d3_scan70,01,S4_fixed500,189.54,0.473,0.284553,0.061381,2.928056,1.065527,0.651811,0.00737,359.0,0.0,,0.000569,0.000493,3
uccs_d3_scan70,01,S4_policy,202.117,0.106,0.089431,0.037257,1.399779,0.070647,0.342841,0.016985,1227.0,0.0,0.618399,0.419939,0.017927,3
uccs_d4_scan90,01,S4_ablation_u_shuf,208.108,0.262,0.04878,0.0,1.233508,0.005438,0.788144,0.006908,1715.0,0.0,,0.943487,0.000475,3
uccs_d4_scan90,01,S4_fixed100,208.185,1.254,0.04878,0.0,1.240289,0.007648,0.786748,0.00675,1796.0,0.0,,1.0,0.0,3
uccs_d4_scan90,01,S4_fixed500,187.93,0.766,0.130081,0.014082,1.586594,0.057463,0.81337,0.004825,359.0,0.0,,0.000456,0.000395,3
uccs_d4_scan90,01,S4_policy,200.531,0.771,0.097561,0.02439,1.277996,0.013985,0.789459,0.003852,1227.0,0.0,,0.592897,0.008899,3
uccs_d4b_scan90,01,S4_ablation_ccs_off,200.649,0.173,0.065041,0.014082,1.406545,0.148421,0.433578,0.015908,1227.0,0.0,0.620995,0.428599,0.009422,3
uccs_d4b_scan90,01,S4_fixed100,208.278,0.491,0.081301,0.014082,1.486634,0.114802,0.37732,0.042729,1796.0,0.0,,1.0,0.0,3
uccs_d4b_scan90,01,S4_fixed500,188.149,0.296,0.130081,0.028163,1.209586,0.263265,0.822655,0.015342,359.0,0.0,,0.000453,0.000392,3
uccs_d4b_scan90,01,S4_policy,200.626,0.147,0.04878,0.0,1.317325,0.025072,0.447737,0.00514,1215.0,0.0,0.619852,0.433649,0.005385,3
uccs_d4b_scan70,01_fixed,S4_ablation_ccs_off,202.222,1.192,0.00813,0.014082,0.236951,0.133821,0.355253,0.002268,1323.0,0.0,0.779711,0.533348,0.002311,3
uccs_d4b_scan70,01_fixed,S4_fixed100,206.363,0.465,0.02439,0.02439,0.43098,0.316232,0.332963,0.001951,1800.0,0.0,,1.0,0.0,3
uccs_d4b_scan70,01_fixed,S4_fixed500,187.565,0.369,0.227642,0.037257,1.442544,0.51311,0.612963,0.01283,360.0,0.0,,0.0,0.0,3
uccs_d4b_scan70,01_fixed,S4_policy,201.381,0.979,0.01626,0.014082,0.301016,0.142993,0.367347,0.006719,1323.0,0.0,0.734972,0.514399,0.021397,3
