prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 22 2026 00:56:40
TXSD_CCS_E2_20260121,11,4936,58200,287.3,12003
TXSD_CCS_E2_20260121,21,4932,56600,279.2,12003
TXSD_CCS_E2_20260121,31,4936,58200,287.3,12003
TXSD_CCS_E2_20260121,41,4932,56600,279.2,12003
TXSD_CCS_E2_20260121,51,4936,58200,287.3,12003
TXSD_CCS_E2_20260121,61,4932,56500,278.7,12003
TXSD_CCS_E2_20260121,71,4936,58100,286.8,12004
TXSD_CCS_E2_20260121,81,4932,56600,279.2,12004
TXSD_CCS_E2_20260121,91,4936,58100,286.8,12004
TXSD_CCS_E2_20260121,101,4932,56500,278.7,12004
TXSD_CCS_E2_20260121,111,4792,142700,683.8,12004
TXSD_CCS_E2_20260121,121,4932,57200,282.1,12004
TXSD_CCS_E2_20260121,131,4936,57500,283.8,12004
TXSD_CCS_E2_20260121,141,4932,57300,282.6,12004
TXSD_CCS_E2_20260121,151,4936,57000,281.4,12004
TXSD_CCS_E2_20260121,161,4932,58200,287.0,12004
TXSD_CCS_E2_20260121,171,4932,56600,279.2,12005
TXSD_CCS_E2_20260121,181,4936,58100,286.8,12005
TXSD_CCS_E2_20260121,191,4932,56500,278.7,12005
TXSD_CCS_E2_20260121,201,4936,58100,286.8,12005
TXSD_CCS_E2_20260121,211,4932,56600,279.2,12005
TXSD_CCS_E2_20260121,221,4856,58300,283.1,12005
TXSD_CCS_E2_20260121,231,4932,56600,279.2,12005
TXSD_CCS_E2_20260121,241,4936,58200,287.3,12005
TXSD_CCS_E2_20260121,251,4932,56500,278.7,12005
TXSD_CCS_E2_20260121,261,4936,58100,286.8,12005
TXSD_CCS_E2_20260121,271,4932,56600,279.2,12006
TXSD_CCS_E2_20260121,281,4932,57600,284.1,12006
TXSD_CCS_E2_20260121,291,4932,57200,282.1,12006
TXSD_CCS_E2_20260121,301,4936,57500,283.8,12006
TXSD_CCS_E2_20260121,311,4936,57200,282.3,12006
TXSD_CCS_E2_20260121,321,4728,138700,655.8,12006
TXSD_CCS_E2_20260121,331,4936,58200,287.3,12006
TXSD_CCS_E2_20260121,341,4932,56600,279.2,12006
TXSD_CCS_E2_20260121,351,4936,58100,286.8,12006
