ms,event,rssi,addr,mfd
 firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=4, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
1572,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
5596,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
7594,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
9607,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
11608,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
13619,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
15605,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
17622,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
19616,ADV,-44,e0:5a:1b:15:b2:ee,MF0001
21628,ADV,-34,e0:5a:1b:15:b2:ee,MF0002
23632,ADV,-37,e0:5a:1b:15:b2:ee,MF0003
25631,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
27639,ADV,-33,e0:5a:1b:15:b2:ee,MF0005
29649,ADV,-37,e0:5a:1b:15:b2:ee,MF0006
31656,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
33668,ADV,-33,e0:5a:1b:15:b2:ee,MF0008
35664,ADV,-37,e0:5a:1b:15:b2:ee,MF0009
37666,ADV,-43,e0:5a:1b:15:b2:ee,MF000A
39673,ADV,-34,e0:5a:1b:15:b2:ee,MF000B
43689,ADV,-36,e0:5a:1b:15:b2:ee,MF000D
45698,ADV,-44,e0:5a:1b:15:b2:ee,MF000E
47693,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
51706,ADV,-43,e0:5a:1b:15:b2:ee,MF0011
53715,ADV,-34,e0:5a:1b:15:b2:ee,MF0012
55724,ADV,-37,e0:5a:1b:15:b2:ee,MF0013
57726,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
59729,ADV,-33,e0:5a:1b:15:b2:ee,MF0015
61732,ADV,-37,e0:5a:1b:15:b2:ee,MF0016
63743,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
65739,ADV,-34,e0:5a:1b:15:b2:ee,MF0018
67742,ADV,-37,e0:5a:1b:15:b2:ee,MF0019
69767,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
71752,ADV,-34,e0:5a:1b:15:b2:ee,MF001B
73753,ADV,-37,e0:5a:1b:15:b2:ee,MF001C
75760,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
77766,ADV,-34,e0:5a:1b:15:b2:ee,MF001E
79773,ADV,-37,e0:5a:1b:15:b2:ee,MF001F
81772,ADV,-43,e0:5a:1b:15:b2:ee,MF0020
