prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 22 2026 00:56:40
TXSD_CCS_E2_20260121,11,4952,56500,279.8,7319
TXSD_CCS_E2_20260121,21,4952,58100,287.7,7319
TXSD_CCS_E2_20260121,31,4952,56600,280.3,7319
TXSD_CCS_E2_20260121,41,4956,57400,284.5,7319
TXSD_CCS_E2_20260121,51,4952,57100,282.8,7319
TXSD_CCS_E2_20260121,61,4952,57500,284.7,7319
TXSD_CCS_E2_20260121,71,4952,57200,283.3,7320
TXSD_CCS_E2_20260121,81,4952,57500,284.7,7320
TXSD_CCS_E2_20260121,91,4952,57600,285.2,7320
TXSD_CCS_E2_20260121,101,4952,56500,279.8,7320
TXSD_CCS_E2_20260121,111,4840,145400,703.7,7320
TXSD_CCS_E2_20260121,121,4952,56500,279.8,7320
TXSD_CCS_E2_20260121,131,4952,58100,287.7,7320
TXSD_CCS_E2_20260121,141,4952,56600,280.3,7320
TXSD_CCS_E2_20260121,151,4952,58200,288.2,7320
TXSD_CCS_E2_20260121,161,4952,56500,279.8,7320
TXSD_CCS_E2_20260121,171,4956,72200,357.8,7321
TXSD_CCS_E2_20260121,181,4952,56500,279.8,7321
TXSD_CCS_E2_20260121,191,4956,58100,287.9,7321
TXSD_CCS_E2_20260121,201,4952,56500,279.8,7321
TXSD_CCS_E2_20260121,211,4952,57500,284.7,7321
TXSD_CCS_E2_20260121,221,4952,57100,282.8,7321
TXSD_CCS_E2_20260121,231,4952,57500,284.7,7321
TXSD_CCS_E2_20260121,241,4952,57200,283.3,7321
TXSD_CCS_E2_20260121,251,4952,56900,281.8,7321
TXSD_CCS_E2_20260121,261,4952,58200,288.2,7321
TXSD_CCS_E2_20260121,271,4948,87200,431.5,7322
TXSD_CCS_E2_20260121,281,4952,58100,287.7,7322
TXSD_CCS_E2_20260121,291,4952,56500,279.8,7322
TXSD_CCS_E2_20260121,301,4952,58100,287.7,7322
TXSD_CCS_E2_20260121,311,4952,56500,279.8,7322
TXSD_CCS_E2_20260121,321,4852,139800,678.3,7322
TXSD_CCS_E2_20260121,331,4952,56500,279.8,7322
TXSD_CCS_E2_20260121,341,4956,58200,288.4,7322
TXSD_CCS_E2_20260121,351,4952,56500,279.8,7322
TXSD_CCS_E2_20260121,361,4952,58000,287.2,7322
TXSD_CCS_E2_20260121,371,4924,56500,278.2,7323
TXSD_CCS_E2_20260121,381,4952,57500,284.7,7323
TXSD_CCS_E2_20260121,391,4952,57100,282.8,7323
TXSD_CCS_E2_20260121,401,4952,57400,284.2,7323
TXSD_CCS_E2_20260121,411,4952,57200,283.3,7323
TXSD_CCS_E2_20260121,421,4848,218400,1058.8,7323
TXSD_CCS_E2_20260121,431,4952,58100,287.7,7323
TXSD_CCS_E2_20260121,441,4952,56500,279.8,7323
TXSD_CCS_E2_20260121,451,4952,58100,287.7,7323
TXSD_CCS_E2_20260121,461,4952,56500,279.8,7323
TXSD_CCS_E2_20260121,471,4952,65100,322.4,7324
TXSD_CCS_E2_20260121,481,4952,56500,279.8,7324
TXSD_CCS_E2_20260121,491,4956,58100,287.9,7324
TXSD_CCS_E2_20260121,501,4952,56500,279.8,7324
TXSD_CCS_E2_20260121,511,4956,58100,287.9,7324
TXSD_CCS_E2_20260121,521,4848,156300,757.7,7324
TXSD_CCS_E2_20260121,531,4952,58200,288.2,7324
TXSD_CCS_E2_20260121,541,4948,56900,281.5,7324
TXSD_CCS_E2_20260121,551,4952,57500,284.7,7324
TXSD_CCS_E2_20260121,561,4952,57200,283.3,7324
TXSD_CCS_E2_20260121,571,4952,86900,430.3,7325
TXSD_CCS_E2_20260121,581,4952,57100,282.8,7325
TXSD_CCS_E2_20260121,591,4952,56600,280.3,7325
TXSD_CCS_E2_20260121,601,4956,58200,288.4,7325
TXSD_CCS_E2_20260121,611,4952,56500,279.8,7325
TXSD_CCS_E2_20260121,621,4956,58100,287.9,7325
TXSD_CCS_E2_20260121,631,4840,207600,1004.8,7325
TXSD_CCS_E2_20260121,641,4952,58100,287.7,7325
TXSD_CCS_E2_20260121,651,4952,56600,280.3,7325
TXSD_CCS_E2_20260121,661,4956,58100,287.9,7325
TXSD_CCS_E2_20260121,671,4932,75200,370.9,7326
TXSD_CCS_E2_20260121,681,4952,58100,287.7,7326
TXSD_CCS_E2_20260121,691,4952,56500,279.8,7326
TXSD_CCS_E2_20260121,701,4956,57500,285.0,7326
TXSD_CCS_E2_20260121,711,4952,57200,283.3,7326
TXSD_CCS_E2_20260121,721,4952,57500,284.7,7326
TXSD_CCS_E2_20260121,731,4808,61800,297.1,7326
TXSD_CCS_E2_20260121,741,4952,57500,284.7,7326
TXSD_CCS_E2_20260121,751,4952,57300,283.7,7326
TXSD_CCS_E2_20260121,761,4952,56500,279.8,7326
TXSD_CCS_E2_20260121,771,4952,60400,299.1,7327
TXSD_CCS_E2_20260121,781,4952,56500,279.8,7327
TXSD_CCS_E2_20260121,791,4956,58100,287.9,7327
TXSD_CCS_E2_20260121,801,4952,56500,279.8,7327
TXSD_CCS_E2_20260121,811,4952,58100,287.7,7327
TXSD_CCS_E2_20260121,821,4952,56500,279.8,7327
TXSD_CCS_E2_20260121,831,4952,58100,287.7,7327
TXSD_CCS_E2_20260121,843,4816,145100,698.8,7327
TXSD_CCS_E2_20260121,851,4952,58100,287.7,7327
TXSD_CCS_E2_20260121,861,4952,56600,280.3,7327
TXSD_CCS_E2_20260121,871,4952,81000,401.1,7328
TXSD_CCS_E2_20260121,881,4952,57200,283.3,7328
TXSD_CCS_E2_20260121,891,4952,57500,284.7,7328
TXSD_CCS_E2_20260121,901,4952,57100,282.8,7328
TXSD_CCS_E2_20260121,911,4952,57200,283.3,7328
TXSD_CCS_E2_20260121,921,4952,58000,287.2,7328
TXSD_CCS_E2_20260121,931,4952,56500,279.8,7328
TXSD_CCS_E2_20260121,941,4952,58100,287.7,7328
TXSD_CCS_E2_20260121,951,4748,141000,669.5,7328
TXSD_CCS_E2_20260121,961,4956,58200,288.4,7328
TXSD_CCS_E2_20260121,971,4944,82500,407.9,7329
TXSD_CCS_E2_20260121,981,4952,58200,288.2,7329
TXSD_CCS_E2_20260121,991,4952,56600,280.3,7329
TXSD_CCS_E2_20260121,1001,4952,58100,287.7,7329
TXSD_CCS_E2_20260121,1011,4952,56500,279.8,7329
TXSD_CCS_E2_20260121,1021,4952,58100,287.7,7329
TXSD_CCS_E2_20260121,1031,4952,56500,279.8,7329
TXSD_CCS_E2_20260121,1041,4956,57500,285.0,7329
TXSD_CCS_E2_20260121,1051,4840,142300,688.7,7329
TXSD_CCS_E2_20260121,1061,4956,57500,285.0,7329
TXSD_CCS_E2_20260121,1071,4952,57200,283.3,7330
TXSD_CCS_E2_20260121,1081,4952,56500,279.8,7330
TXSD_CCS_E2_20260121,1091,4952,58200,288.2,7330
TXSD_CCS_E2_20260121,1101,4952,56500,279.8,7330
TXSD_CCS_E2_20260121,1111,4956,58200,288.4,7330
TXSD_CCS_E2_20260121,1121,4952,56500,279.8,7330
TXSD_CCS_E2_20260121,1131,4952,58100,287.7,7330
TXSD_CCS_E2_20260121,1141,4952,56600,280.3,7330
TXSD_CCS_E2_20260121,1151,4956,58100,287.9,7330
TXSD_CCS_E2_20260121,1161,4736,134300,636.0,7330
TXSD_CCS_E2_20260121,1171,4952,74200,367.4,7331
TXSD_CCS_E2_20260121,1181,4952,56600,280.3,7331
TXSD_CCS_E2_20260121,1191,4956,58200,288.4,7331
TXSD_CCS_E2_20260121,1201,4952,56700,280.8,7331
TXSD_CCS_E2_20260121,1211,4952,57500,284.7,7331
TXSD_CCS_E2_20260121,1221,4952,57100,282.8,7331
TXSD_CCS_E2_20260121,1231,4952,57500,284.7,7331
TXSD_CCS_E2_20260121,1241,4952,57100,282.8,7331
TXSD_CCS_E2_20260121,1251,4952,56500,279.8,7331
TXSD_CCS_E2_20260121,1261,4824,141000,680.2,7331
TXSD_CCS_E2_20260121,1271,4948,87300,432.0,7332
TXSD_CCS_E2_20260121,1281,4952,58100,287.7,7332
TXSD_CCS_E2_20260121,1291,4952,56600,280.3,7332
TXSD_CCS_E2_20260121,1301,4952,58100,287.7,7332
TXSD_CCS_E2_20260121,1311,4952,56600,280.3,7332
TXSD_CCS_E2_20260121,1321,4956,58100,287.9,7332
TXSD_CCS_E2_20260121,1331,4952,56600,280.3,7332
TXSD_CCS_E2_20260121,1341,4956,58200,288.4,7332
TXSD_CCS_E2_20260121,1351,4952,56500,279.8,7332
TXSD_CCS_E2_20260121,1361,4952,144800,717.0,7332
TXSD_CCS_E2_20260121,1371,4920,57300,281.9,7333
TXSD_CCS_E2_20260121,1381,4952,57500,284.7,7333
TXSD_CCS_E2_20260121,1391,4952,57200,283.3,7333
TXSD_CCS_E2_20260121,1401,4952,57500,284.7,7333
TXSD_CCS_E2_20260121,1411,4952,57200,283.3,7333
TXSD_CCS_E2_20260121,1421,4952,56500,279.8,7333
TXSD_CCS_E2_20260121,1431,4952,58100,287.7,7333
TXSD_CCS_E2_20260121,1441,4952,56500,279.8,7333
TXSD_CCS_E2_20260121,1451,4956,58100,287.9,7333
TXSD_CCS_E2_20260121,1461,4952,56500,279.8,7333
TXSD_CCS_E2_20260121,1471,4852,158100,767.1,7334
TXSD_CCS_E2_20260121,1481,4952,56600,280.3,7334
TXSD_CCS_E2_20260121,1491,4952,58100,287.7,7334
TXSD_CCS_E2_20260121,1501,4952,56500,279.8,7334
TXSD_CCS_E2_20260121,1511,4952,58200,288.2,7334
TXSD_CCS_E2_20260121,1521,4952,56500,279.8,7334
TXSD_CCS_E2_20260121,1531,4952,57400,284.2,7334
TXSD_CCS_E2_20260121,1541,4956,57100,283.0,7334
TXSD_CCS_E2_20260121,1551,4952,57500,284.7,7334
TXSD_CCS_E2_20260121,1561,4952,57200,283.3,7334
TXSD_CCS_E2_20260121,1571,4844,170100,824.0,7335
TXSD_CCS_E2_20260121,1581,4952,57900,286.7,7335
TXSD_CCS_E2_20260121,1591,4952,56600,280.3,7335
TXSD_CCS_E2_20260121,1601,4956,58100,287.9,7335
TXSD_CCS_E2_20260121,1611,4952,56500,279.8,7335
TXSD_CCS_E2_20260121,1621,4952,58100,287.7,7335
TXSD_CCS_E2_20260121,1631,4952,56500,279.8,7335
TXSD_CCS_E2_20260121,1641,4952,58100,287.7,7335
TXSD_CCS_E2_20260121,1651,4952,56500,279.8,7335
TXSD_CCS_E2_20260121,1661,4956,58200,288.4,7335
TXSD_CCS_E2_20260121,1671,4928,72000,354.8,7336
TXSD_CCS_E2_20260121,1681,4844,135800,657.8,7336
TXSD_CCS_E2_20260121,1691,4952,56600,280.3,7336
TXSD_CCS_E2_20260121,1701,4952,57600,285.2,7336
TXSD_CCS_E2_20260121,1711,4952,57200,283.3,7336
TXSD_CCS_E2_20260121,1721,4952,57500,284.7,7336
TXSD_CCS_E2_20260121,1731,4952,57200,283.3,7336
TXSD_CCS_E2_20260121,1741,4952,56600,280.3,7336
TXSD_CCS_E2_20260121,1751,4952,58200,288.2,7336
TXSD_CCS_E2_20260121,1761,4952,56500,279.8,7336
TXSD_CCS_E2_20260121,1771,4956,61700,305.8,7337
TXSD_CCS_E2_20260121,1781,4832,141900,685.7,7337
TXSD_CCS_E2_20260121,1791,4956,58200,288.4,7337
TXSD_CCS_E2_20260121,1801,4952,56500,279.8,7337
TXSD_CCS_E2_20260121,1811,4952,58100,287.7,7337
TXSD_CCS_E2_20260121,1821,4952,56500,279.8,7337
TXSD_CCS_E2_20260121,1831,4952,58100,287.7,7337
TXSD_CCS_E2_20260121,1841,4952,56500,279.8,7337
TXSD_CCS_E2_20260121,1851,4952,58100,287.7,7337
TXSD_CCS_E2_20260121,1861,4952,56600,280.3,7337
TXSD_CCS_E2_20260121,1871,4956,83100,411.8,7338
TXSD_CCS_E2_20260121,1881,4952,57200,283.3,7338
TXSD_CCS_E2_20260121,1891,4824,195400,942.6,7338
TXSD_CCS_E2_20260121,1901,4952,57200,283.3,7338
TXSD_CCS_E2_20260121,1911,4952,56500,279.8,7338
TXSD_CCS_E2_20260121,1921,4952,58100,287.7,7338
TXSD_CCS_E2_20260121,1931,4952,56500,279.8,7338
TXSD_CCS_E2_20260121,1941,4956,58100,287.9,7338
TXSD_CCS_E2_20260121,1951,4952,56500,279.8,7338
TXSD_CCS_E2_20260121,1961,4952,58200,288.2,7338
TXSD_CCS_E2_20260121,1971,4940,80500,397.7,7339
TXSD_CCS_E2_20260121,1981,4952,58100,287.7,7339
TXSD_CCS_E2_20260121,1991,4868,163100,794.0,7339
TXSD_CCS_E2_20260121,2001,4952,58100,287.7,7339
TXSD_CCS_E2_20260121,2011,4952,56500,279.8,7339
TXSD_CCS_E2_20260121,2021,4952,58100,287.7,7339
TXSD_CCS_E2_20260121,2031,4952,57100,282.8,7339
TXSD_CCS_E2_20260121,2041,4952,57500,284.7,7339
TXSD_CCS_E2_20260121,2051,4952,57200,283.3,7339
TXSD_CCS_E2_20260121,2061,4952,57500,284.7,7339
TXSD_CCS_E2_20260121,2071,4952,57200,283.3,7340
TXSD_CCS_E2_20260121,2081,4952,56500,279.8,7340
TXSD_CCS_E2_20260121,2091,4956,58200,288.4,7340
TXSD_CCS_E2_20260121,2101,4768,153600,732.4,7340
TXSD_CCS_E2_20260121,2111,4952,58200,288.2,7340
TXSD_CCS_E2_20260121,2121,4952,56500,279.8,7340
TXSD_CCS_E2_20260121,2131,4952,58200,288.2,7340
TXSD_CCS_E2_20260121,2141,4952,56500,279.8,7340
TXSD_CCS_E2_20260121,2151,4952,58100,287.7,7340
TXSD_CCS_E2_20260121,2161,4952,56600,280.3,7340
TXSD_CCS_E2_20260121,2171,4956,76100,377.2,7341
TXSD_CCS_E2_20260121,2181,4952,56600,280.3,7341
TXSD_CCS_E2_20260121,2191,4956,57500,285.0,7341
TXSD_CCS_E2_20260121,2201,4840,142300,688.7,7341
TXSD_CCS_E2_20260121,2211,4952,57500,284.7,7341
TXSD_CCS_E2_20260121,2221,4952,57200,283.3,7341
TXSD_CCS_E2_20260121,2231,4952,57500,284.7,7341
TXSD_CCS_E2_20260121,2241,4952,57700,285.7,7341
TXSD_CCS_E2_20260121,2251,4952,56500,279.8,7341
TXSD_CCS_E2_20260121,2261,4956,58200,288.4,7341
TXSD_CCS_E2_20260121,2271,4944,86700,428.6,7342
TXSD_CCS_E2_20260121,2281,4956,58100,287.9,7342
TXSD_CCS_E2_20260121,2291,4952,56500,279.8,7342
TXSD_CCS_E2_20260121,2301,4952,58100,287.7,7342
TXSD_CCS_E2_20260121,2311,4732,134000,634.1,7342
TXSD_CCS_E2_20260121,2321,4952,58200,288.2,7342
TXSD_CCS_E2_20260121,2331,4952,56600,280.3,7342
TXSD_CCS_E2_20260121,2341,4952,58200,288.2,7342
TXSD_CCS_E2_20260121,2351,4952,56500,279.8,7342
TXSD_CCS_E2_20260121,2361,4952,57500,284.7,7342
TXSD_CCS_E2_20260121,2371,4920,57200,281.4,7343
TXSD_CCS_E2_20260121,2381,4952,57500,284.7,7343
TXSD_CCS_E2_20260121,2391,4952,57200,283.3,7343
TXSD_CCS_E2_20260121,2401,4952,56900,281.8,7343
TXSD_CCS_E2_20260121,2411,4952,58300,288.7,7343
TXSD_CCS_E2_20260121,2421,4952,56600,280.3,7343
TXSD_CCS_E2_20260121,2431,4952,58200,288.2,7343
TXSD_CCS_E2_20260121,2441,4952,56600,280.3,7343
TXSD_CCS_E2_20260121,2451,4956,58100,287.9,7343
TXSD_CCS_E2_20260121,2461,4952,56600,280.3,7343
TXSD_CCS_E2_20260121,2471,4956,68700,340.5,7344
TXSD_CCS_E2_20260121,2481,4952,56500,279.8,7344
TXSD_CCS_E2_20260121,2491,4952,58200,288.2,7344
TXSD_CCS_E2_20260121,2501,4952,56500,279.8,7344
TXSD_CCS_E2_20260121,2511,4952,58200,288.2,7344
TXSD_CCS_E2_20260121,2521,4820,142100,684.9,7344
TXSD_CCS_E2_20260121,2531,4952,57500,284.7,7344
TXSD_CCS_E2_20260121,2541,4952,57200,283.3,7344
TXSD_CCS_E2_20260121,2551,4952,57500,284.7,7344
TXSD_CCS_E2_20260121,2561,4952,57200,283.3,7344
TXSD_CCS_E2_20260121,2571,4952,87900,435.3,7345
TXSD_CCS_E2_20260121,2581,4952,58100,287.7,7345
TXSD_CCS_E2_20260121,2591,4952,56500,279.8,7345
TXSD_CCS_E2_20260121,2601,4956,58100,287.9,7345
TXSD_CCS_E2_20260121,2611,4952,56500,279.8,7345
TXSD_CCS_E2_20260121,2621,4952,58100,287.7,7345
TXSD_CCS_E2_20260121,2631,4952,56500,279.8,7345
TXSD_CCS_E2_20260121,2641,4952,58100,287.7,7345
TXSD_CCS_E2_20260121,2651,4952,56500,279.8,7345
TXSD_CCS_E2_20260121,2661,4952,58200,288.2,7345
TXSD_CCS_E2_20260121,2671,4928,56600,278.9,7346
TXSD_CCS_E2_20260121,2681,4952,58100,287.7,7346
TXSD_CCS_E2_20260121,2691,4952,57000,282.3,7346
TXSD_CCS_E2_20260121,2701,4952,57500,284.7,7346
TXSD_CCS_E2_20260121,2711,4952,57200,283.3,7346
TXSD_CCS_E2_20260121,2721,4952,57500,284.7,7346
TXSD_CCS_E2_20260121,2731,4952,57100,282.8,7346
TXSD_CCS_E2_20260121,2741,4952,56600,280.3,7346
TXSD_CCS_E2_20260121,2751,4956,58100,287.9,7346
TXSD_CCS_E2_20260121,2761,4952,56500,279.8,7346
TXSD_CCS_E2_20260121,2771,4952,62800,311.0,7347
TXSD_CCS_E2_20260121,2781,4952,56500,279.8,7347
TXSD_CCS_E2_20260121,2791,4952,58200,288.2,7347
TXSD_CCS_E2_20260121,2801,4952,56500,279.8,7347
