ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=1, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
10,ADV,-39,e0:5a:1b:15:b2:ee,MF0000
84,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
188,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
308,ADV,-39,e0:5a:1b:15:b2:ee,MF0000
399,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
505,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
842,ADV,-48,e0:5a:1b:15:b2:ee,MF0003
937,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
1054,ADV,-44,e0:5a:1b:15:b2:ee,MF0005
1257,ADV,-41,e0:5a:1b:15:b2:ee,MF0007
1361,ADV,-46,e0:5a:1b:15:b2:ee,MF0008
1482,ADV,-43,e0:5a:1b:15:b2:ee,MF000A
1563,ADV,-39,e0:5a:1b:15:b2:ee,MF000B
1673,ADV,-43,e0:5a:1b:15:b2:ee,MF000C
1782,ADV,-42,e0:5a:1b:15:b2:ee,MF000D
1886,ADV,-41,e0:5a:1b:15:b2:ee,MF000E
1988,ADV,-42,e0:5a:1b:15:b2:ee,MF000F
2097,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
2209,ADV,-40,e0:5a:1b:15:b2:ee,MF0011
2307,ADV,-41,e0:5a:1b:15:b2:ee,MF0012
2658,ADV,-46,e0:5a:1b:15:b2:ee,MF0015
2741,ADV,-39,e0:5a:1b:15:b2:ee,MF0016
2852,ADV,-41,e0:5a:1b:15:b2:ee,MF0017
2945,ADV,-45,e0:5a:1b:15:b2:ee,MF0018
3051,ADV,-40,e0:5a:1b:15:b2:ee,MF0019
3159,ADV,-41,e0:5a:1b:15:b2:ee,MF001A
3266,ADV,-45,e0:5a:1b:15:b2:ee,MF001C
3369,ADV,-39,e0:5a:1b:15:b2:ee,MF001D
3477,ADV,-41,e0:5a:1b:15:b2:ee,MF001E
3587,ADV,-46,e0:5a:1b:15:b2:ee,MF001F
3707,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
3790,ADV,-42,e0:5a:1b:15:b2:ee,MF0021
3898,ADV,-49,e0:5a:1b:15:b2:ee,MF0022
4009,ADV,-46,e0:5a:1b:15:b2:ee,MF0023
4107,ADV,-48,e0:5a:1b:15:b2:ee,MF0024
4429,ADV,-54,e0:5a:1b:15:b2:ee,MF0027
6235,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
6329,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
6432,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
6535,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
6744,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
6948,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
7061,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
7161,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
7264,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
7378,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
7480,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
7591,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
7698,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
