ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=3, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
101,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
202,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
318,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
421,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
529,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
625,ADV,-40,e0:5a:1b:15:b2:ee,MF0001
735,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
843,ADV,-42,e0:5a:1b:15:b2:ee,MF0003
941,ADV,-40,e0:5a:1b:15:b2:ee,MF0004
1054,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
1152,ADV,-41,e0:5a:1b:15:b2:ee,MF0006
1255,ADV,-37,e0:5a:1b:15:b2:ee,MF0007
1364,ADV,-42,e0:5a:1b:15:b2:ee,MF0009
1469,ADV,-41,e0:5a:1b:15:b2:ee,MF000A
1593,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
1682,ADV,-41,e0:5a:1b:15:b2:ee,MF000C
1790,ADV,-40,e0:5a:1b:15:b2:ee,MF000D
1892,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
2004,ADV,-40,e0:5a:1b:15:b2:ee,MF000F
2110,ADV,-39,e0:5a:1b:15:b2:ee,MF0010
2217,ADV,-42,e0:5a:1b:15:b2:ee,MF0011
2343,ADV,-40,e0:5a:1b:15:b2:ee,MF0012
2431,ADV,-39,e0:5a:1b:15:b2:ee,MF0013
2544,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
2644,ADV,-40,e0:5a:1b:15:b2:ee,MF0015
2744,ADV,-40,e0:5a:1b:15:b2:ee,MF0016
2850,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
2957,ADV,-40,e0:5a:1b:15:b2:ee,MF0018
3064,ADV,-40,e0:5a:1b:15:b2:ee,MF0019
