ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=4, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
6,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
103,ADV,-39,e0:5a:1b:15:b2:ee,MF0000
216,ADV,-39,e0:5a:1b:15:b2:ee,MF0000
316,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
844,ADV,-36,e0:5a:1b:15:b2:ee,MF0003
945,ADV,-38,e0:5a:1b:15:b2:ee,MF0004
1048,ADV,-39,e0:5a:1b:15:b2:ee,MF0005
1255,ADV,-39,e0:5a:1b:15:b2:ee,MF0007
1374,ADV,-39,e0:5a:1b:15:b2:ee,MF0008
1466,ADV,-39,e0:5a:1b:15:b2:ee,MF000A
1573,ADV,-39,e0:5a:1b:15:b2:ee,MF000B
1680,ADV,-38,e0:5a:1b:15:b2:ee,MF000C
1780,ADV,-39,e0:5a:1b:15:b2:ee,MF000D
2002,ADV,-38,e0:5a:1b:15:b2:ee,MF000F
2093,ADV,-39,e0:5a:1b:15:b2:ee,MF0010
2195,ADV,-39,e0:5a:1b:15:b2:ee,MF0011
2314,ADV,-37,e0:5a:1b:15:b2:ee,MF0012
2403,ADV,-39,e0:5a:1b:15:b2:ee,MF0013
2509,ADV,-38,e0:5a:1b:15:b2:ee,MF0014
2616,ADV,-39,e0:5a:1b:15:b2:ee,MF0015
2713,ADV,-36,e0:5a:1b:15:b2:ee,MF0016
2820,ADV,-39,e0:5a:1b:15:b2:ee,MF0017
3145,ADV,-38,e0:5a:1b:15:b2:ee,MF001A
3243,ADV,-36,e0:5a:1b:15:b2:ee,MF001B
3353,ADV,-38,e0:5a:1b:15:b2:ee,MF001C
3454,ADV,-37,e0:5a:1b:15:b2:ee,MF001D
3570,ADV,-36,e0:5a:1b:15:b2:ee,MF001E
3669,ADV,-39,e0:5a:1b:15:b2:ee,MF0020
3790,ADV,-39,e0:5a:1b:15:b2:ee,MF0021
3878,ADV,-36,e0:5a:1b:15:b2:ee,MF0022
3988,ADV,-39,e0:5a:1b:15:b2:ee,MF0023
4110,ADV,-39,e0:5a:1b:15:b2:ee,MF0024
4205,ADV,-39,e0:5a:1b:15:b2:ee,MF0025
4314,ADV,-39,e0:5a:1b:15:b2:ee,MF0026
4413,ADV,-39,e0:5a:1b:15:b2:ee,MF0027
4525,ADV,-36,e0:5a:1b:15:b2:ee,MF0028
4841,ADV,-39,e0:5a:1b:15:b2:ee,MF002B
4943,ADV,-39,e0:5a:1b:15:b2:ee,MF002C
5145,ADV,-38,e0:5a:1b:15:b2:ee,MF002E
5253,ADV,-39,e0:5a:1b:15:b2:ee,MF002F
5361,ADV,-36,e0:5a:1b:15:b2:ee,MF0030
5569,ADV,-38,e0:5a:1b:15:b2:ee,MF0033
5677,ADV,-36,e0:5a:1b:15:b2:ee,MF0034
5782,ADV,-39,e0:5a:1b:15:b2:ee,MF0035
5879,ADV,-39,e0:5a:1b:15:b2:ee,MF0036
5989,ADV,-36,e0:5a:1b:15:b2:ee,MF0037
6080,ADV,-39,e0:5a:1b:15:b2:ee,MF0038
6187,ADV,-38,e0:5a:1b:15:b2:ee,MF0039
6286,ADV,-39,e0:5a:1b:15:b2:ee,MF003A
6393,ADV,-39,e0:5a:1b:15:b2:ee,MF003B
6498,ADV,-38,e0:5a:1b:15:b2:ee,MF003C
6613,ADV,-36,e0:5a:1b:15:b2:ee,MF003D
6705,ADV,-39,e0:5a:1b:15:b2:ee,MF003E
6914,ADV,-36,e0:5a:1b:15:b2:ee,MF0040
7008,ADV,-39,e0:5a:1b:15:b2:ee,MF0041
7109,ADV,-38,e0:5a:1b:15:b2:ee,MF0042
7208,ADV,-36,e0:5a:1b:15:b2:ee,MF0043
7309,ADV,-39,e0:5a:1b:15:b2:ee,MF0044
7418,ADV,-38,e0:5a:1b:15:b2:ee,MF0045
7839,ADV,-39,e0:5a:1b:15:b2:ee,MF0049
8154,ADV,-39,e0:5a:1b:15:b2:ee,MF004C
8264,ADV,-39,e0:5a:1b:15:b2:ee,MF004D
8380,ADV,-36,e0:5a:1b:15:b2:ee,MF004F
8483,ADV,-39,e0:5a:1b:15:b2:ee,MF0050
8577,ADV,-38,e0:5a:1b:15:b2:ee,MF0051
8679,ADV,-36,e0:5a:1b:15:b2:ee,MF0052
8785,ADV,-39,e0:5a:1b:15:b2:ee,MF0053
8893,ADV,-39,e0:5a:1b:15:b2:ee,MF0054
9006,ADV,-36,e0:5a:1b:15:b2:ee,MF0055
9105,ADV,-36,e0:5a:1b:15:b2:ee,MF0056
9216,ADV,-38,e0:5a:1b:15:b2:ee,MF0057
9321,ADV,-39,e0:5a:1b:15:b2:ee,MF0058
9539,ADV,-39,e0:5a:1b:15:b2:ee,MF005A
9645,ADV,-39,e0:5a:1b:15:b2:ee,MF005B
9748,ADV,-38,e0:5a:1b:15:b2:ee,MF005C
9855,ADV,-39,e0:5a:1b:15:b2:ee,MF005D
9965,ADV,-39,e0:5a:1b:15:b2:ee,MF005F
10167,ADV,-39,e0:5a:1b:15:b2:ee,MF0061
10264,ADV,-39,e0:5a:1b:15:b2:ee,MF0062
10370,ADV,-39,e0:5a:1b:15:b2:ee,MF0063
10471,ADV,-36,e0:5a:1b:15:b2:ee,MF0064
10576,ADV,-39,e0:5a:1b:15:b2:ee,MF0065
10685,ADV,-37,e0:5a:1b:15:b2:ee,MF0066
10790,ADV,-36,e0:5a:1b:15:b2:ee,MF0067
10899,ADV,-40,e0:5a:1b:15:b2:ee,MF0068
11006,ADV,-38,e0:5a:1b:15:b2:ee,MF0069
11110,ADV,-39,e0:5a:1b:15:b2:ee,MF006A
11214,ADV,-39,e0:5a:1b:15:b2:ee,MF006B
11325,ADV,-39,e0:5a:1b:15:b2:ee,MF006C
11418,ADV,-37,e0:5a:1b:15:b2:ee,MF006D
11525,ADV,-39,e0:5a:1b:15:b2:ee,MF006E
11745,ADV,-39,e0:5a:1b:15:b2:ee,MF0070
11848,ADV,-38,e0:5a:1b:15:b2:ee,MF0071
11948,ADV,-36,e0:5a:1b:15:b2:ee,MF0072
12053,ADV,-39,e0:5a:1b:15:b2:ee,MF0073
12179,ADV,-39,e0:5a:1b:15:b2:ee,MF0074
12267,ADV,-39,e0:5a:1b:15:b2:ee,MF0076
12477,ADV,-39,e0:5a:1b:15:b2:ee,MF0078
12583,ADV,-39,e0:5a:1b:15:b2:ee,MF0079
12698,ADV,-39,e0:5a:1b:15:b2:ee,MF007A
12797,ADV,-39,e0:5a:1b:15:b2:ee,MF007B
12898,ADV,-36,e0:5a:1b:15:b2:ee,MF007C
13012,ADV,-36,e0:5a:1b:15:b2:ee,MF007D
13113,ADV,-39,e0:5a:1b:15:b2:ee,MF007E
13225,ADV,-36,e0:5a:1b:15:b2:ee,MF007F
13325,ADV,-36,e0:5a:1b:15:b2:ee,MF0080
13425,ADV,-38,e0:5a:1b:15:b2:ee,MF0081
13641,ADV,-38,e0:5a:1b:15:b2:ee,MF0083
