ms,event,rssi,addr,mfd
68,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
161,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
486,ADV,-42,e0:5a:1b:15:b2:ee,MF0001
586,ADV,-39,e0:5a:1b:15:b2:ee,MF0002
694,ADV,-33,e0:5a:1b:15:b2:ee,MF0003
805,ADV,-42,e0:5a:1b:15:b2:ee,MF0004
906,ADV,-39,e0:5a:1b:15:b2:ee,MF0005
1016,ADV,-33,e0:5a:1b:15:b2:ee,MF0006
1125,ADV,-41,e0:5a:1b:15:b2:ee,MF0008
1239,ADV,-39,e0:5a:1b:15:b2:ee,MF0009
1440,ADV,-41,e0:5a:1b:15:b2:ee,MF000B
1565,ADV,-39,e0:5a:1b:15:b2:ee,MF000C
1672,ADV,-32,e0:5a:1b:15:b2:ee,MF000D
1764,ADV,-41,e0:5a:1b:15:b2:ee,MF000E
1872,ADV,-36,e0:5a:1b:15:b2:ee,MF000F
1968,ADV,-32,e0:5a:1b:15:b2:ee,MF0010
2291,ADV,-41,e0:5a:1b:15:b2:ee,MF0013
2400,ADV,-36,e0:5a:1b:15:b2:ee,MF0014
2500,ADV,-32,e0:5a:1b:15:b2:ee,MF0015
2811,ADV,-32,e0:5a:1b:15:b2:ee,MF0018
2948,ADV,-41,e0:5a:1b:15:b2:ee,MF001A
3040,ADV,-104,e0:5a:1b:15:b2:ee,MF001B
3128,ADV,-32,e0:5a:1b:15:b2:ee,MF001C
3251,ADV,-41,e0:5a:1b:15:b2:ee,MF001D
3341,ADV,-38,e0:5a:1b:15:b2:ee,MF001E
3452,ADV,-33,e0:5a:1b:15:b2:ee,MF001F
3672,ADV,-36,e0:5a:1b:15:b2:ee,MF0021
3769,ADV,-32,e0:5a:1b:15:b2:ee,MF0022
3987,ADV,-33,e0:5a:1b:15:b2:ee,MF0024
4088,ADV,-41,e0:5a:1b:15:b2:ee,MF0025
4189,ADV,-38,e0:5a:1b:15:b2:ee,MF0026
4296,ADV,-33,e0:5a:1b:15:b2:ee,MF0027
4410,ADV,-41,e0:5a:1b:15:b2:ee,MF0028
4509,ADV,-36,e0:5a:1b:15:b2:ee,MF0029
4621,ADV,-32,e0:5a:1b:15:b2:ee,MF002B
4719,ADV,-41,e0:5a:1b:15:b2:ee,MF002C
4822,ADV,-39,e0:5a:1b:15:b2:ee,MF002D
4924,ADV,-33,e0:5a:1b:15:b2:ee,MF002E
5038,ADV,-41,e0:5a:1b:15:b2:ee,MF002F
5136,ADV,-36,e0:5a:1b:15:b2:ee,MF0030
5238,ADV,-33,e0:5a:1b:15:b2:ee,MF0031
5348,ADV,-41,e0:5a:1b:15:b2:ee,MF0032
5450,ADV,-36,e0:5a:1b:15:b2:ee,MF0033
5559,ADV,-33,e0:5a:1b:15:b2:ee,MF0034
5665,ADV,-41,e0:5a:1b:15:b2:ee,MF0035
5764,ADV,-36,e0:5a:1b:15:b2:ee,MF0036
5869,ADV,-33,e0:5a:1b:15:b2:ee,MF0037
6187,ADV,-41,e0:5a:1b:15:b2:ee,MF003A
6289,ADV,-36,e0:5a:1b:15:b2:ee,MF003B
6394,ADV,-32,e0:5a:1b:15:b2:ee,MF003C
6499,ADV,-42,e0:5a:1b:15:b2:ee,MF003D
6599,ADV,-36,e0:5a:1b:15:b2:ee,MF003E
6748,ADV,-33,e0:5a:1b:15:b2:ee,MF003F
6816,ADV,-42,e0:5a:1b:15:b2:ee,MF0040
6915,ADV,-35,e0:5a:1b:15:b2:ee,MF0041
7031,ADV,-33,e0:5a:1b:15:b2:ee,MF0043
7130,ADV,-42,e0:5a:1b:15:b2:ee,MF0044
7234,ADV,-39,e0:5a:1b:15:b2:ee,MF0045
7344,ADV,-32,e0:5a:1b:15:b2:ee,MF0046
7455,ADV,-42,e0:5a:1b:15:b2:ee,MF0047
7559,ADV,-36,e0:5a:1b:15:b2:ee,MF0048
7668,ADV,-33,e0:5a:1b:15:b2:ee,MF0049
7770,ADV,-42,e0:5a:1b:15:b2:ee,MF004A
7870,ADV,-35,e0:5a:1b:15:b2:ee,MF004B
8188,ADV,-33,e0:5a:1b:15:b2:ee,MF004E
8299,ADV,-41,e0:5a:1b:15:b2:ee,MF004F
8389,ADV,-35,e0:5a:1b:15:b2:ee,MF0050
8492,ADV,-33,e0:5a:1b:15:b2:ee,MF0051
8709,ADV,-35,e0:5a:1b:15:b2:ee,MF0053
8803,ADV,-33,e0:5a:1b:15:b2:ee,MF0054
8904,ADV,-42,e0:5a:1b:15:b2:ee,MF0055
9022,ADV,-39,e0:5a:1b:15:b2:ee,MF0056
9120,ADV,-33,e0:5a:1b:15:b2:ee,MF0058
9240,ADV,-43,e0:5a:1b:15:b2:ee,MF0059
