ms,event,rssi,addr,mfd
157,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
257,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
366,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
487,ADV,-35,e0:5a:1b:15:b2:ee,MF0001
580,ADV,-32,e0:5a:1b:15:b2:ee,MF0002
700,ADV,-42,e0:5a:1b:15:b2:ee,MF0003
794,ADV,-35,e0:5a:1b:15:b2:ee,MF0004
893,ADV,-33,e0:5a:1b:15:b2:ee,MF0005
998,ADV,-42,e0:5a:1b:15:b2:ee,MF0006
1220,ADV,-32,e0:5a:1b:15:b2:ee,MF0009
1313,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
1416,ADV,-35,e0:5a:1b:15:b2:ee,MF000B
1525,ADV,-32,e0:5a:1b:15:b2:ee,MF000C
2159,ADV,-42,e0:5a:1b:15:b2:ee,MF0012
2267,ADV,-35,e0:5a:1b:15:b2:ee,MF0013
2370,ADV,-32,e0:5a:1b:15:b2:ee,MF0014
2476,ADV,-42,e0:5a:1b:15:b2:ee,MF0015
2597,ADV,-35,e0:5a:1b:15:b2:ee,MF0016
2689,ADV,-33,e0:5a:1b:15:b2:ee,MF0017
2806,ADV,-42,e0:5a:1b:15:b2:ee,MF0018
2899,ADV,-35,e0:5a:1b:15:b2:ee,MF0019
2999,ADV,-33,e0:5a:1b:15:b2:ee,MF001A
3118,ADV,-42,e0:5a:1b:15:b2:ee,MF001B
3207,ADV,-35,e0:5a:1b:15:b2:ee,MF001D
3309,ADV,-32,e0:5a:1b:15:b2:ee,MF001E
3414,ADV,-42,e0:5a:1b:15:b2:ee,MF001F
3520,ADV,-35,e0:5a:1b:15:b2:ee,MF0020
3622,ADV,-33,e0:5a:1b:15:b2:ee,MF0021
3728,ADV,-42,e0:5a:1b:15:b2:ee,MF0022
3833,ADV,-34,e0:5a:1b:15:b2:ee,MF0023
3935,ADV,-32,e0:5a:1b:15:b2:ee,MF0024
4362,ADV,-96,e0:5a:1b:15:b2:ee,MF0028
4456,ADV,-32,e0:5a:1b:15:b2:ee,MF0029
4564,ADV,-42,e0:5a:1b:15:b2:ee,MF002A
4661,ADV,-35,e0:5a:1b:15:b2:ee,MF002B
4774,ADV,-33,e0:5a:1b:15:b2:ee,MF002C
4879,ADV,-42,e0:5a:1b:15:b2:ee,MF002D
4987,ADV,-35,e0:5a:1b:15:b2:ee,MF002E
5089,ADV,-32,e0:5a:1b:15:b2:ee,MF002F
5196,ADV,-42,e0:5a:1b:15:b2:ee,MF0030
5297,ADV,-35,e0:5a:1b:15:b2:ee,MF0031
5404,ADV,-32,e0:5a:1b:15:b2:ee,MF0032
5506,ADV,-42,e0:5a:1b:15:b2:ee,MF0034
5719,ADV,-32,e0:5a:1b:15:b2:ee,MF0036
5826,ADV,-42,e0:5a:1b:15:b2:ee,MF0037
5927,ADV,-35,e0:5a:1b:15:b2:ee,MF0038
6039,ADV,-33,e0:5a:1b:15:b2:ee,MF0039
6453,ADV,-35,e0:5a:1b:15:b2:ee,MF003D
6564,ADV,-32,e0:5a:1b:15:b2:ee,MF003E
6668,ADV,-41,e0:5a:1b:15:b2:ee,MF003F
6776,ADV,-34,e0:5a:1b:15:b2:ee,MF0040
6987,ADV,-42,e0:5a:1b:15:b2:ee,MF0042
7087,ADV,-35,e0:5a:1b:15:b2:ee,MF0043
7192,ADV,-32,e0:5a:1b:15:b2:ee,MF0044
