prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 23 2026 07:55:09
TXSD_CCS_E2_20260121,11,4908,58300,286.1,2208
TXSD_CCS_E2_20260121,20,4904,56600,277.6,2208
TXSD_CCS_E2_20260121,30,4888,58300,285.0,2208
TXSD_CCS_E2_20260121,40,4904,56600,277.6,2208
TXSD_CCS_E2_20260121,50,4788,131200,628.2,2209
TXSD_CCS_E2_20260121,60,4900,57200,280.3,2209
TXSD_CCS_E2_20260121,70,4904,57800,283.5,2209
TXSD_CCS_E2_20260121,80,4904,57300,281.0,2209
TXSD_CCS_E2_20260121,90,4720,213800,1009.1,2209
TXSD_CCS_E2_20260121,100,4904,58100,284.9,2209
TXSD_CCS_E2_20260121,110,4904,57100,280.0,2209
TXSD_CCS_E2_20260121,120,4908,58300,286.1,2209
TXSD_CCS_E2_20260121,130,4904,56600,277.6,2209
TXSD_CCS_E2_20260121,140,4908,58400,286.6,2209
TXSD_CCS_E2_20260121,150,4688,73400,344.1,2210
TXSD_CCS_E2_20260121,160,4880,58300,284.5,2210
TXSD_CCS_E2_20260121,170,4904,56600,277.6,2210
TXSD_CCS_E2_20260121,180,4888,58400,285.5,2210
TXSD_CCS_E2_20260121,190,4904,56600,277.6,2210
TXSD_CCS_E2_20260121,200,4708,194200,914.3,2210
TXSD_CCS_E2_20260121,210,4904,56700,278.1,2210
TXSD_CCS_E2_20260121,220,4896,58400,285.9,2210
TXSD_CCS_E2_20260121,230,4904,57300,281.0,2210
TXSD_CCS_E2_20260121,240,4904,57800,283.5,2210
TXSD_CCS_E2_20260121,250,4788,59400,284.4,2211
TXSD_CCS_E2_20260121,260,4908,57800,283.7,2211
TXSD_CCS_E2_20260121,270,4904,57100,280.0,2211
TXSD_CCS_E2_20260121,280,4904,56600,277.6,2211
TXSD_CCS_E2_20260121,290,4908,58400,286.6,2211
TXSD_CCS_E2_20260121,300,4720,145900,688.6,2211
TXSD_CCS_E2_20260121,310,4876,58500,285.2,2211
TXSD_CCS_E2_20260121,320,4904,56500,277.1,2211
TXSD_CCS_E2_20260121,330,4884,58400,285.2,2211
TXSD_CCS_E2_20260121,340,4904,56500,277.1,2211
TXSD_CCS_E2_20260121,350,4824,149600,721.7,2212
TXSD_CCS_E2_20260121,360,4904,56600,277.6,2212
TXSD_CCS_E2_20260121,370,4896,58400,285.9,2212
TXSD_CCS_E2_20260121,380,4900,57000,279.3,2212
TXSD_CCS_E2_20260121,390,4900,58200,285.2,2212
TXSD_CCS_E2_20260121,400,4904,57200,280.5,2212
TXSD_CCS_E2_20260121,410,4560,101000,460.6,2212
