prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 23 2026 07:55:09
TXSD_CCS_E2_20260121,11,4904,80200,393.3,4405
TXSD_CCS_E2_20260121,21,4928,69400,342.0,4405
TXSD_CCS_E2_20260121,31,4924,56400,277.7,4405
TXSD_CCS_E2_20260121,41,4924,71800,353.5,4405
TXSD_CCS_E2_20260121,51,4924,56700,279.2,4405
TXSD_CCS_E2_20260121,61,4924,58100,286.1,4405
TXSD_CCS_E2_20260121,71,4924,57000,280.7,4405
TXSD_CCS_E2_20260121,81,4924,57500,283.1,4405
TXSD_CCS_E2_20260121,91,4924,57100,281.2,4405
TXSD_CCS_E2_20260121,101,4924,57600,283.6,4405
TXSD_CCS_E2_20260121,111,4868,62100,302.3,4406
TXSD_CCS_E2_20260121,121,4924,56500,278.2,4406
TXSD_CCS_E2_20260121,131,4928,61300,302.1,4406
TXSD_CCS_E2_20260121,141,4924,56500,278.2,4406
TXSD_CCS_E2_20260121,151,4928,64100,315.9,4406
TXSD_CCS_E2_20260121,161,4924,56500,278.2,4406
TXSD_CCS_E2_20260121,171,4924,66400,327.0,4406
TXSD_CCS_E2_20260121,181,4920,56500,278.0,4406
TXSD_CCS_E2_20260121,191,4748,151800,720.7,4406
TXSD_CCS_E2_20260121,201,4924,56500,278.2,4406
TXSD_CCS_E2_20260121,211,4896,71500,350.1,4407
TXSD_CCS_E2_20260121,221,4924,56500,278.2,4407
TXSD_CCS_E2_20260121,231,4924,58200,286.6,4407
TXSD_CCS_E2_20260121,241,4924,57100,281.2,4407
TXSD_CCS_E2_20260121,251,4924,57500,283.1,4407
TXSD_CCS_E2_20260121,261,4924,57100,281.2,4407
TXSD_CCS_E2_20260121,271,4924,57500,283.1,4407
TXSD_CCS_E2_20260121,281,4924,58800,289.5,4407
TXSD_CCS_E2_20260121,291,4924,56500,278.2,4407
TXSD_CCS_E2_20260121,301,4928,61000,300.6,4407
TXSD_CCS_E2_20260121,311,4920,87500,430.5,4408
TXSD_CCS_E2_20260121,321,4924,63800,314.2,4408
TXSD_CCS_E2_20260121,331,4924,56400,277.7,4408
TXSD_CCS_E2_20260121,341,4924,66200,326.0,4408
