ms,event,rssi,addr,mfd
5,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
109,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
426,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
555,ADV,-43,e0:5a:1b:15:b2:ee,MF0001
650,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
735,ADV,-34,e0:5a:1b:15:b2:ee,MF0003
858,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
951,ADV,-34,e0:5a:1b:15:b2:ee,MF0005
1057,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
1159,ADV,-43,e0:5a:1b:15:b2:ee,MF0008
1265,ADV,-35,e0:5a:1b:15:b2:ee,MF0009
1379,ADV,-34,e0:5a:1b:15:b2:ee,MF000A
1481,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
1586,ADV,-35,e0:5a:1b:15:b2:ee,MF000C
1683,ADV,-34,e0:5a:1b:15:b2:ee,MF000D
1798,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
1892,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
2004,ADV,-34,e0:5a:1b:15:b2:ee,MF0010
2210,ADV,-34,e0:5a:1b:15:b2:ee,MF0012
2528,ADV,-34,e0:5a:1b:15:b2:ee,MF0015
2633,ADV,-43,e0:5a:1b:15:b2:ee,MF0016
2746,ADV,-34,e0:5a:1b:15:b2:ee,MF0017
2844,ADV,-35,e0:5a:1b:15:b2:ee,MF0018
2953,ADV,-43,e0:5a:1b:15:b2:ee,MF0019
3054,ADV,-34,e0:5a:1b:15:b2:ee,MF001A
3172,ADV,-35,e0:5a:1b:15:b2:ee,MF001C
3265,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
3368,ADV,-35,e0:5a:1b:15:b2:ee,MF001E
3481,ADV,-37,e0:5a:1b:15:b2:ee,MF001F
3575,ADV,-43,e0:5a:1b:15:b2:ee,MF0020
3681,ADV,-35,e0:5a:1b:15:b2:ee,MF0021
