ms,event,rssi,addr,mfd
211,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
427,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
531,ADV,-34,e0:5a:1b:15:b2:ee,MF0001
636,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
745,ADV,-43,e0:5a:1b:15:b2:ee,MF0003
844,ADV,-34,e0:5a:1b:15:b2:ee,MF0004
962,ADV,-34,e0:5a:1b:15:b2:ee,MF0005
1062,ADV,-43,e0:5a:1b:15:b2:ee,MF0006
1159,ADV,-34,e0:5a:1b:15:b2:ee,MF0008
1271,ADV,-33,e0:5a:1b:15:b2:ee,MF0009
1383,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
1485,ADV,-34,e0:5a:1b:15:b2:ee,MF000B
1807,ADV,-33,e0:5a:1b:15:b2:ee,MF000E
1923,ADV,-43,e0:5a:1b:15:b2:ee,MF000F
2009,ADV,-34,e0:5a:1b:15:b2:ee,MF0010
2124,ADV,-34,e0:5a:1b:15:b2:ee,MF0011
2232,ADV,-43,e0:5a:1b:15:b2:ee,MF0012
2322,ADV,-35,e0:5a:1b:15:b2:ee,MF0013
2438,ADV,-33,e0:5a:1b:15:b2:ee,MF0014
2534,ADV,-42,e0:5a:1b:15:b2:ee,MF0015
2641,ADV,-35,e0:5a:1b:15:b2:ee,MF0016
2741,ADV,-34,e0:5a:1b:15:b2:ee,MF0017
2851,ADV,-42,e0:5a:1b:15:b2:ee,MF0018
2964,ADV,-36,e0:5a:1b:15:b2:ee,MF001A
3163,ADV,-42,e0:5a:1b:15:b2:ee,MF001C
3265,ADV,-34,e0:5a:1b:15:b2:ee,MF001D
3371,ADV,-33,e0:5a:1b:15:b2:ee,MF001E
3482,ADV,-42,e0:5a:1b:15:b2:ee,MF001F
3585,ADV,-35,e0:5a:1b:15:b2:ee,MF0020
3903,ADV,-34,e0:5a:1b:15:b2:ee,MF0023
4005,ADV,-42,e0:5a:1b:15:b2:ee,MF0024
4119,ADV,-36,e0:5a:1b:15:b2:ee,MF0025
4217,ADV,-34,e0:5a:1b:15:b2:ee,MF0026
4320,ADV,-43,e0:5a:1b:15:b2:ee,MF0027
4418,ADV,-36,e0:5a:1b:15:b2:ee,MF0028
4529,ADV,-34,e0:5a:1b:15:b2:ee,MF0029
4639,ADV,-42,e0:5a:1b:15:b2:ee,MF002A
4734,ADV,-35,e0:5a:1b:15:b2:ee,MF002B
4860,ADV,-34,e0:5a:1b:15:b2:ee,MF002C
4956,ADV,-42,e0:5a:1b:15:b2:ee,MF002D
