ms,event,rssi,addr,mfd
136,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
247,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
342,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
448,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
550,ADV,-33,e0:5a:1b:15:b2:ee,MF0001
669,ADV,-32,e0:5a:1b:15:b2:ee,MF0002
771,ADV,-47,e0:5a:1b:15:b2:ee,MF0003
877,ADV,-33,e0:5a:1b:15:b2:ee,MF0005
984,ADV,-32,e0:5a:1b:15:b2:ee,MF0006
1086,ADV,-48,e0:5a:1b:15:b2:ee,MF0007
1298,ADV,-32,e0:5a:1b:15:b2:ee,MF0009
1410,ADV,-47,e0:5a:1b:15:b2:ee,MF000A
1516,ADV,-32,e0:5a:1b:15:b2:ee,MF000B
1616,ADV,-31,e0:5a:1b:15:b2:ee,MF000C
1831,ADV,-32,e0:5a:1b:15:b2:ee,MF000E
1938,ADV,-45,e0:5a:1b:15:b2:ee,MF000F
2047,ADV,-32,e0:5a:1b:15:b2:ee,MF0010
2150,ADV,-32,e0:5a:1b:15:b2:ee,MF0011
2256,ADV,-45,e0:5a:1b:15:b2:ee,MF0012
2359,ADV,-32,e0:5a:1b:15:b2:ee,MF0013
2468,ADV,-32,e0:5a:1b:15:b2:ee,MF0014
2791,ADV,-32,e0:5a:1b:15:b2:ee,MF0018
3000,ADV,-32,e0:5a:1b:15:b2:ee,MF001A
3112,ADV,-33,e0:5a:1b:15:b2:ee,MF001B
3211,ADV,-45,e0:5a:1b:15:b2:ee,MF001C
3316,ADV,-32,e0:5a:1b:15:b2:ee,MF001D
3736,ADV,-47,e0:5a:1b:15:b2:ee,MF0021
3836,ADV,-33,e0:5a:1b:15:b2:ee,MF0022
3945,ADV,-33,e0:5a:1b:15:b2:ee,MF0023
4070,ADV,-45,e0:5a:1b:15:b2:ee,MF0024
4155,ADV,-32,e0:5a:1b:15:b2:ee,MF0025
4261,ADV,-32,e0:5a:1b:15:b2:ee,MF0026
4367,ADV,-43,e0:5a:1b:15:b2:ee,MF0027
4478,ADV,-33,e0:5a:1b:15:b2:ee,MF0028
4579,ADV,-32,e0:5a:1b:15:b2:ee,MF002A
4683,ADV,-48,e0:5a:1b:15:b2:ee,MF002B
4783,ADV,-33,e0:5a:1b:15:b2:ee,MF002C
4888,ADV,-33,e0:5a:1b:15:b2:ee,MF002D
5016,ADV,-48,e0:5a:1b:15:b2:ee,MF002E
5098,ADV,-33,e0:5a:1b:15:b2:ee,MF002F
5199,ADV,-33,e0:5a:1b:15:b2:ee,MF0030
5311,ADV,-49,e0:5a:1b:15:b2:ee,MF0031
5411,ADV,-33,e0:5a:1b:15:b2:ee,MF0032
5839,ADV,-48,e0:5a:1b:15:b2:ee,MF0036
5940,ADV,-33,e0:5a:1b:15:b2:ee,MF0037
6049,ADV,-33,e0:5a:1b:15:b2:ee,MF0038
6151,ADV,-49,e0:5a:1b:15:b2:ee,MF0039
6252,ADV,-33,e0:5a:1b:15:b2:ee,MF003A
6370,ADV,-33,e0:5a:1b:15:b2:ee,MF003B
6478,ADV,-49,e0:5a:1b:15:b2:ee,MF003C
6568,ADV,-34,e0:5a:1b:15:b2:ee,MF003D
6671,ADV,-33,e0:5a:1b:15:b2:ee,MF003E
6780,ADV,-48,e0:5a:1b:15:b2:ee,MF0040
6884,ADV,-34,e0:5a:1b:15:b2:ee,MF0041
7116,ADV,-48,e0:5a:1b:15:b2:ee,MF0043
7211,ADV,-33,e0:5a:1b:15:b2:ee,MF0044
7316,ADV,-33,e0:5a:1b:15:b2:ee,MF0045
7638,ADV,-48,e0:5a:1b:15:b2:ee,MF0048
7737,ADV,-33,e0:5a:1b:15:b2:ee,MF0049
7854,ADV,-33,e0:5a:1b:15:b2:ee,MF004A
7961,ADV,-48,e0:5a:1b:15:b2:ee,MF004B
8078,ADV,-34,e0:5a:1b:15:b2:ee,MF004C
8179,ADV,-33,e0:5a:1b:15:b2:ee,MF004D
8276,ADV,-48,e0:5a:1b:15:b2:ee,MF004F
8378,ADV,-34,e0:5a:1b:15:b2:ee,MF0050
8479,ADV,-33,e0:5a:1b:15:b2:ee,MF0051
8597,ADV,-48,e0:5a:1b:15:b2:ee,MF0052
8716,ADV,-33,e0:5a:1b:15:b2:ee,MF0053
8784,ADV,-33,e0:5a:1b:15:b2:ee,MF0054
8892,ADV,-45,e0:5a:1b:15:b2:ee,MF0055
8993,ADV,-33,e0:5a:1b:15:b2:ee,MF0056
9101,ADV,-32,e0:5a:1b:15:b2:ee,MF0057
9210,ADV,-45,e0:5a:1b:15:b2:ee,MF0058
9313,ADV,-33,e0:5a:1b:15:b2:ee,MF0059
9531,ADV,-33,e0:5a:1b:15:b2:ee,MF005B
9637,ADV,-33,e0:5a:1b:15:b2:ee,MF005C
9747,ADV,-46,e0:5a:1b:15:b2:ee,MF005D
9843,ADV,-34,e0:5a:1b:15:b2:ee,MF005E
9953,ADV,-33,e0:5a:1b:15:b2:ee,MF005F
10055,ADV,-45,e0:5a:1b:15:b2:ee,MF0060
10169,ADV,-34,e0:5a:1b:15:b2:ee,MF0061
10266,ADV,-33,e0:5a:1b:15:b2:ee,MF0062
10380,ADV,-46,e0:5a:1b:15:b2:ee,MF0063
10476,ADV,-33,e0:5a:1b:15:b2:ee,MF0065
10578,ADV,-32,e0:5a:1b:15:b2:ee,MF0066
10707,ADV,-45,e0:5a:1b:15:b2:ee,MF0067
10787,ADV,-33,e0:5a:1b:15:b2:ee,MF0068
10894,ADV,-33,e0:5a:1b:15:b2:ee,MF0069
11016,ADV,-46,e0:5a:1b:15:b2:ee,MF006A
11112,ADV,-33,e0:5a:1b:15:b2:ee,MF006B
11203,ADV,-33,e0:5a:1b:15:b2:ee,MF006C
11313,ADV,-46,e0:5a:1b:15:b2:ee,MF006D
11416,ADV,-33,e0:5a:1b:15:b2:ee,MF006E
11636,ADV,-33,e0:5a:1b:15:b2:ee,MF0070
11737,ADV,-32,e0:5a:1b:15:b2:ee,MF0071
11845,ADV,-46,e0:5a:1b:15:b2:ee,MF0072
11956,ADV,-33,e0:5a:1b:15:b2:ee,MF0073
12051,ADV,-33,e0:5a:1b:15:b2:ee,MF0074
12180,ADV,-46,e0:5a:1b:15:b2:ee,MF0075
