prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 23 2026 07:55:09
TXSD_CCS_E2_20260121,11,4900,56700,277.8,4406
TXSD_CCS_E2_20260121,20,4904,58300,285.9,4406
TXSD_CCS_E2_20260121,30,4900,56700,277.8,4406
TXSD_CCS_E2_20260121,40,4904,58300,285.9,4406
TXSD_CCS_E2_20260121,50,4900,56600,277.3,4407
TXSD_CCS_E2_20260121,60,4904,58300,285.9,4407
TXSD_CCS_E2_20260121,70,4900,56600,277.3,4407
TXSD_CCS_E2_20260121,80,4904,58300,285.9,4407
TXSD_CCS_E2_20260121,90,4900,57200,280.3,4407
TXSD_CCS_E2_20260121,100,4636,71300,330.5,4407
TXSD_CCS_E2_20260121,110,4900,57200,280.3,4407
TXSD_CCS_E2_20260121,120,4900,57700,282.7,4407
TXSD_CCS_E2_20260121,130,4900,57200,280.3,4407
TXSD_CCS_E2_20260121,140,4904,56800,278.5,4407
TXSD_CCS_E2_20260121,150,4900,58300,285.7,4408
TXSD_CCS_E2_20260121,160,4900,56600,277.3,4408
TXSD_CCS_E2_20260121,170,4904,58300,285.9,4408
TXSD_CCS_E2_20260121,180,4900,56600,277.3,4408
TXSD_CCS_E2_20260121,190,4904,58300,285.9,4408
TXSD_CCS_E2_20260121,200,4900,59100,289.6,4408
TXSD_CCS_E2_20260121,210,4836,58300,281.9,4408
TXSD_CCS_E2_20260121,220,4900,56700,277.8,4408
TXSD_CCS_E2_20260121,230,4904,58300,285.9,4408
TXSD_CCS_E2_20260121,240,4900,56600,277.3,4408
TXSD_CCS_E2_20260121,250,4904,58300,285.9,4409
TXSD_CCS_E2_20260121,260,4900,56800,278.3,4409
TXSD_CCS_E2_20260121,270,4904,57600,282.5,4409
TXSD_CCS_E2_20260121,280,4900,57300,280.8,4409
TXSD_CCS_E2_20260121,290,4904,57700,283.0,4409
TXSD_CCS_E2_20260121,300,4900,57200,280.3,4409
TXSD_CCS_E2_20260121,310,4716,172000,811.2,4409
TXSD_CCS_E2_20260121,320,4904,58300,285.9,4409
TXSD_CCS_E2_20260121,330,4900,56700,277.8,4409
