ms,event,rssi,addr,mfd
19,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
115,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
223,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
331,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
438,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
570,ADV,-32,e0:5a:1b:15:b2:ee,MF0001
648,ADV,-42,e0:5a:1b:15:b2:ee,MF0002
750,ADV,-34,e0:5a:1b:15:b2:ee,MF0003
858,ADV,-31,e0:5a:1b:15:b2:ee,MF0004
970,ADV,-40,e0:5a:1b:15:b2:ee,MF0005
1064,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
1494,ADV,-40,e0:5a:1b:15:b2:ee,MF000B
1589,ADV,-34,e0:5a:1b:15:b2:ee,MF000C
1699,ADV,-32,e0:5a:1b:15:b2:ee,MF000D
1797,ADV,-41,e0:5a:1b:15:b2:ee,MF000E
1920,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
2034,ADV,-31,e0:5a:1b:15:b2:ee,MF0010
2115,ADV,-40,e0:5a:1b:15:b2:ee,MF0011
2219,ADV,-33,e0:5a:1b:15:b2:ee,MF0012
2327,ADV,-31,e0:5a:1b:15:b2:ee,MF0013
2432,ADV,-40,e0:5a:1b:15:b2:ee,MF0014
2531,ADV,-33,e0:5a:1b:15:b2:ee,MF0015
2641,ADV,-32,e0:5a:1b:15:b2:ee,MF0016
2748,ADV,-40,e0:5a:1b:15:b2:ee,MF0017
2849,ADV,-33,e0:5a:1b:15:b2:ee,MF0018
2954,ADV,-31,e0:5a:1b:15:b2:ee,MF0019
3067,ADV,-40,e0:5a:1b:15:b2:ee,MF001A
3168,ADV,-34,e0:5a:1b:15:b2:ee,MF001B
3589,ADV,-40,e0:5a:1b:15:b2:ee,MF0020
3694,ADV,-33,e0:5a:1b:15:b2:ee,MF0021
3790,ADV,-31,e0:5a:1b:15:b2:ee,MF0022
3891,ADV,-39,e0:5a:1b:15:b2:ee,MF0023
3988,ADV,-33,e0:5a:1b:15:b2:ee,MF0024
4095,ADV,-31,e0:5a:1b:15:b2:ee,MF0025
4205,ADV,-40,e0:5a:1b:15:b2:ee,MF0026
4309,ADV,-33,e0:5a:1b:15:b2:ee,MF0027
4412,ADV,-31,e0:5a:1b:15:b2:ee,MF0028
4525,ADV,-39,e0:5a:1b:15:b2:ee,MF0029
4622,ADV,-33,e0:5a:1b:15:b2:ee,MF002A
4738,ADV,-31,e0:5a:1b:15:b2:ee,MF002B
4825,ADV,-39,e0:5a:1b:15:b2:ee,MF002C
4929,ADV,-34,e0:5a:1b:15:b2:ee,MF002D
5036,ADV,-32,e0:5a:1b:15:b2:ee,MF002E
5139,ADV,-40,e0:5a:1b:15:b2:ee,MF002F
5247,ADV,-34,e0:5a:1b:15:b2:ee,MF0030
5343,ADV,-31,e0:5a:1b:15:b2:ee,MF0031
5566,ADV,-33,e0:5a:1b:15:b2:ee,MF0033
5670,ADV,-32,e0:5a:1b:15:b2:ee,MF0034
6090,ADV,-33,e0:5a:1b:15:b2:ee,MF0039
6200,ADV,-32,e0:5a:1b:15:b2:ee,MF003A
6301,ADV,-40,e0:5a:1b:15:b2:ee,MF003B
6404,ADV,-33,e0:5a:1b:15:b2:ee,MF003C
6507,ADV,-31,e0:5a:1b:15:b2:ee,MF003D
6616,ADV,-40,e0:5a:1b:15:b2:ee,MF003E
6728,ADV,-33,e0:5a:1b:15:b2:ee,MF003F
6822,ADV,-32,e0:5a:1b:15:b2:ee,MF0040
7038,ADV,-33,e0:5a:1b:15:b2:ee,MF0042
7136,ADV,-32,e0:5a:1b:15:b2:ee,MF0043
7245,ADV,-41,e0:5a:1b:15:b2:ee,MF0044
7351,ADV,-34,e0:5a:1b:15:b2:ee,MF0045
7470,ADV,-32,e0:5a:1b:15:b2:ee,MF0046
7568,ADV,-40,e0:5a:1b:15:b2:ee,MF0047
7670,ADV,-34,e0:5a:1b:15:b2:ee,MF0048
7984,ADV,-32,e0:5a:1b:15:b2:ee,MF004C
8090,ADV,-40,e0:5a:1b:15:b2:ee,MF004D
8197,ADV,-33,e0:5a:1b:15:b2:ee,MF004E
8296,ADV,-32,e0:5a:1b:15:b2:ee,MF004F
8400,ADV,-40,e0:5a:1b:15:b2:ee,MF0050
8501,ADV,-33,e0:5a:1b:15:b2:ee,MF0051
8610,ADV,-32,e0:5a:1b:15:b2:ee,MF0052
8712,ADV,-40,e0:5a:1b:15:b2:ee,MF0053
8816,ADV,-33,e0:5a:1b:15:b2:ee,MF0054
8920,ADV,-32,e0:5a:1b:15:b2:ee,MF0055
9030,ADV,-41,e0:5a:1b:15:b2:ee,MF0056
9133,ADV,-33,e0:5a:1b:15:b2:ee,MF0057
9240,ADV,-32,e0:5a:1b:15:b2:ee,MF0058
9346,ADV,-40,e0:5a:1b:15:b2:ee,MF0059
9446,ADV,-33,e0:5a:1b:15:b2:ee,MF005A
9553,ADV,-32,e0:5a:1b:15:b2:ee,MF005B
9660,ADV,-40,e0:5a:1b:15:b2:ee,MF005C
9769,ADV,-34,e0:5a:1b:15:b2:ee,MF005D
9867,ADV,-32,e0:5a:1b:15:b2:ee,MF005E
10189,ADV,-41,e0:5a:1b:15:b2:ee,MF0062
10292,ADV,-33,e0:5a:1b:15:b2:ee,MF0063
10400,ADV,-31,e0:5a:1b:15:b2:ee,MF0064
10509,ADV,-40,e0:5a:1b:15:b2:ee,MF0065
10608,ADV,-33,e0:5a:1b:15:b2:ee,MF0066
10717,ADV,-32,e0:5a:1b:15:b2:ee,MF0067
10845,ADV,-40,e0:5a:1b:15:b2:ee,MF0068
10931,ADV,-33,e0:5a:1b:15:b2:ee,MF0069
11055,ADV,-39,e0:5a:1b:15:b2:ee,MF006A
11146,ADV,-41,e0:5a:1b:15:b2:ee,MF006B
11370,ADV,-32,e0:5a:1b:15:b2:ee,MF006D
11465,ADV,-41,e0:5a:1b:15:b2:ee,MF006E
11570,ADV,-33,e0:5a:1b:15:b2:ee,MF006F
11794,ADV,-33,e0:5a:1b:15:b2:ee,MF0072
11901,ADV,-32,e0:5a:1b:15:b2:ee,MF0073
11990,ADV,-41,e0:5a:1b:15:b2:ee,MF0074
12096,ADV,-33,e0:5a:1b:15:b2:ee,MF0075
12198,ADV,-32,e0:5a:1b:15:b2:ee,MF0076
12312,ADV,-40,e0:5a:1b:15:b2:ee,MF0077
12418,ADV,-33,e0:5a:1b:15:b2:ee,MF0078
12536,ADV,-31,e0:5a:1b:15:b2:ee,MF0079
12617,ADV,-41,e0:5a:1b:15:b2:ee,MF007A
12722,ADV,-33,e0:5a:1b:15:b2:ee,MF007B
12823,ADV,-32,e0:5a:1b:15:b2:ee,MF007C
12935,ADV,-40,e0:5a:1b:15:b2:ee,MF007D
13037,ADV,-33,e0:5a:1b:15:b2:ee,MF007E
13151,ADV,-32,e0:5a:1b:15:b2:ee,MF007F
13270,ADV,-40,e0:5a:1b:15:b2:ee,MF0080
13370,ADV,-33,e0:5a:1b:15:b2:ee,MF0081
13461,ADV,-32,e0:5a:1b:15:b2:ee,MF0082
13567,ADV,-41,e0:5a:1b:15:b2:ee,MF0083
13668,ADV,-33,e0:5a:1b:15:b2:ee,MF0084
13900,ADV,-33,e0:5a:1b:15:b2:ee,MF0087
13994,ADV,-32,e0:5a:1b:15:b2:ee,MF0088
14099,ADV,-41,e0:5a:1b:15:b2:ee,MF0089
14211,ADV,-33,e0:5a:1b:15:b2:ee,MF008A
14306,ADV,-32,e0:5a:1b:15:b2:ee,MF008B
14414,ADV,-40,e0:5a:1b:15:b2:ee,MF008C
14518,ADV,-33,e0:5a:1b:15:b2:ee,MF008D
14630,ADV,-32,e0:5a:1b:15:b2:ee,MF008E
14731,ADV,-40,e0:5a:1b:15:b2:ee,MF008F
14829,ADV,-33,e0:5a:1b:15:b2:ee,MF0090
14938,ADV,-32,e0:5a:1b:15:b2:ee,MF0091
15041,ADV,-40,e0:5a:1b:15:b2:ee,MF0092
15144,ADV,-34,e0:5a:1b:15:b2:ee,MF0093
15259,ADV,-32,e0:5a:1b:15:b2:ee,MF0094
15361,ADV,-40,e0:5a:1b:15:b2:ee,MF0095
15458,ADV,-33,e0:5a:1b:15:b2:ee,MF0096
15568,ADV,-32,e0:5a:1b:15:b2:ee,MF0097
15888,ADV,-40,e0:5a:1b:15:b2:ee,MF009B
15992,ADV,-33,e0:5a:1b:15:b2:ee,MF009C
16087,ADV,-31,e0:5a:1b:15:b2:ee,MF009D
16191,ADV,-40,e0:5a:1b:15:b2:ee,MF009E
16322,ADV,-32,e0:5a:1b:15:b2:ee,MF009F
16401,ADV,-32,e0:5a:1b:15:b2:ee,MF00A0
16499,ADV,-41,e0:5a:1b:15:b2:ee,MF00A1
16626,ADV,-33,e0:5a:1b:15:b2:ee,MF00A2
16709,ADV,-31,e0:5a:1b:15:b2:ee,MF00A3
16829,ADV,-40,e0:5a:1b:15:b2:ee,MF00A4
16941,ADV,-33,e0:5a:1b:15:b2:ee,MF00A5
17028,ADV,-32,e0:5a:1b:15:b2:ee,MF00A6
17146,ADV,-40,e0:5a:1b:15:b2:ee,MF00A7
17239,ADV,-33,e0:5a:1b:15:b2:ee,MF00A8
17335,ADV,-32,e0:5a:1b:15:b2:ee,MF00A9
17456,ADV,-40,e0:5a:1b:15:b2:ee,MF00AA
17548,ADV,-33,e0:5a:1b:15:b2:ee,MF00AB
17655,ADV,-32,e0:5a:1b:15:b2:ee,MF00AC
17765,ADV,-40,e0:5a:1b:15:b2:ee,MF00AD
17865,ADV,-33,e0:5a:1b:15:b2:ee,MF00AE
