scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,avg_energy_uJ_event,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,safe_ucb,12641.314161681925,0.001,1.0,27439.448304459453
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,ucb,12641.314161681925,0.001,1.0,27439.448304459453
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,fixed_ccs,17910.733320284795,0.134,13.0,5296858.60690733
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,oracle,12613.874713377465,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,safe_ucb,12744.504841216707,0.001,1.0,27279.579048119485
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,ucb,12744.504841216707,0.001,1.0,27279.579048119485
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,fixed_ccs,18029.632867239376,0.105,12.0,5312407.605070787
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,oracle,12717.225262168588,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,safe_ucb,12841.547118048486,0.0,0.0,26919.5186094027
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,ucb,12841.547118048486,0.0,0.0,26919.5186094027
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,fixed_ccs,18141.6892995394,0.113,11.0,5327061.700100319
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,oracle,12814.627599439083,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,safe_ucb,12702.94717970518,0.0,0.0,27218.833472227678
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,ucb,12702.94717970518,0.0,0.0,27218.833472227678
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,fixed_ccs,17981.892777201403,0.116,9.0,5306164.430968452
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,oracle,12675.72834623295,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,safe_ucb,12694.52374581424,0.001,1.0,27689.08519170247
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,ucb,12694.52374581424,0.001,1.0,27689.08519170247
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,fixed_ccs,17971.6610444994,0.108,13.0,5304826.383876864
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,oracle,12666.834660622537,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,safe_ucb,12660.688401821028,0.0,0.0,27544.678167868406
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,ucb,12660.688401821028,0.0,0.0,27544.678167868406
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,fixed_ccs,17932.901336021907,0.132,15.0,5299757.612368748
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,oracle,12633.14372365316,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,safe_ucb,12564.385960428413,0.0,0.0,27398.630462387577
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,ucb,12564.385960428413,0.0,0.0,27398.630462387577
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,fixed_ccs,17822.278298409426,0.099,4.0,5285290.968443399
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,oracle,12536.987329966025,0.0,0.0,0.0
