env_id,action_ms,mu_c_uJ_event,sigma_c_uJ_event,pout_1s,pout_2s
E1_scan90_stress_v5,100,5656.485714285715,2191.778151260504,0.003546,0.003546
E1_scan90_stress_v5,500,12623.724999999982,2004.9333333333332,0.030851,0.030851
E1_scan90_stress_v5,1000,17922.065573770476,2306.573770491803,0.056915,0.053369
E1_scan90_stress_v5,2000,34681.58064516132,2146.161290322581,0.4398935,0.129078
E1_uccs_d4b_scan70,100,5656.485714285715,2191.778151260504,0.02439,0.02439
E1_uccs_d4b_scan70,500,12623.724999999982,2004.9333333333332,0.22764233333333336,0.113821
E1_uccs_d4b_scan90,100,5656.485714285715,2191.778151260504,0.081301,0.06504066666666666
E1_uccs_d4b_scan90,500,12623.724999999982,2004.9333333333332,0.130081,0.089431
E2_fixed_v01,500,12623.724999999982,2004.9333333333332,0.0,0.0
E2_fixed_v01,1000,17922.065573770476,2306.573770491803,0.11111111111111112,0.04444444444444444
E2_fixed_v01,2000,34681.58064516132,2146.161290322581,0.5555555555555555,0.17777777777777776
