scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,reward_mode,cost_unit,avg_cost,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,safe_ucb,per_60s,mJ_per_60s,1512.6412276841158,0.001,1.0,-1020.6595411752351
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,ucb,per_60s,mJ_per_60s,1092.9002627237874,0.135,14.0,-420761.62450150354
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,fixed_ccs,per_60s,mJ_per_60s,1092.549481742229,0.134,13.0,-421112.4054830619
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,0,oracle,per_60s,mJ_per_60s,1513.661887225291,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,safe_ucb,per_60s,mJ_per_60s,1525.383688168564,0.001,1.0,-712.5636939480901
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,ucb,per_60s,mJ_per_60s,1078.708106275092,0.535,52.0,-447388.1455874203
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,fixed_ccs,per_60s,mJ_per_60s,1099.85744616422,0.105,12.0,-426238.80569829233
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,1,oracle,per_60s,mJ_per_60s,1526.0962518625122,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,safe_ucb,per_60s,mJ_per_60s,1537.0069817983247,0.0,0.0,-807.9904029360041
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,ucb,per_60s,mJ_per_60s,1084.1951528230165,0.509,19.0,-453619.8193782442
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,fixed_ccs,per_60s,mJ_per_60s,1106.74480983783,0.113,11.0,-431070.1623634307
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,2,oracle,per_60s,mJ_per_60s,1537.8149722012608,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,safe_ucb,per_60s,mJ_per_60s,1520.419259907001,0.0,0.0,-684.393560057506
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,ucb,per_60s,mJ_per_60s,1077.4376176624419,0.573,55.0,-443666.03580461675
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,fixed_ccs,per_60s,mJ_per_60s,1096.9231803201835,0.116,9.0,-424180.47314687516
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,3,oracle,per_60s,mJ_per_60s,1521.1036534670586,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,safe_ucb,per_60s,mJ_per_60s,1518.967450806264,0.001,1.0,-1066.1809614205267
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,ucb,per_60s,mJ_per_60s,1077.1548965280806,0.571,52.0,-442878.735239604
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,fixed_ccs,per_60s,mJ_per_60s,1096.2943037560883,0.108,13.0,-423739.32801159634
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,4,oracle,per_60s,mJ_per_60s,1520.0336317676845,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,safe_ucb,per_60s,mJ_per_60s,1515.0816988639851,0.0,0.0,-898.4914837258402
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,ucb,per_60s,mJ_per_60s,1075.8658762314317,0.549,42.0,-440114.31411627936
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,fixed_ccs,per_60s,mJ_per_60s,1093.912002243461,0.132,15.0,-422068.18810425
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,5,oracle,per_60s,mJ_per_60s,1515.9801903477112,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,safe_ucb,per_60s,mJ_per_60s,1503.4473618293039,0.0,0.0,-964.0107879573479
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,ucb,per_60s,mJ_per_60s,1072.6492455240382,0.542,44.0,-431762.12709322316
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,fixed_ccs,per_60s,mJ_per_60s,1087.1127398086505,0.099,4.0,-417298.6328086108
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,6,oracle,per_60s,mJ_per_60s,1504.4113726172613,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,7,safe_ucb,per_60s,mJ_per_60s,1511.6169058158382,0.001,1.0,-1080.1902931272052
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,7,ucb,per_60s,mJ_per_60s,1075.2327014012346,0.587,53.0,-437464.39470773074
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,7,fixed_ccs,per_60s,mJ_per_60s,1091.9824516318479,0.103,16.0,-420714.6444771176
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,7,oracle,per_60s,mJ_per_60s,1512.6970961089653,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,8,safe_ucb,per_60s,mJ_per_60s,1516.576248224691,0.0,0.0,-1357.2501661074348
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,8,ucb,per_60s,mJ_per_60s,1076.5224988921682,0.535,51.0,-441410.9994986302
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,8,fixed_ccs,per_60s,mJ_per_60s,1095.0600066731656,0.113,10.0,-422873.49171763286
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,8,oracle,per_60s,mJ_per_60s,1517.9334983907984,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,9,safe_ucb,per_60s,mJ_per_60s,1508.9234767181106,0.002,2.0,-517.3479772435967
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,9,ucb,per_60s,mJ_per_60s,1074.3619612784055,0.574,61.0,-435078.8634169486
