scenario_id,method,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps,reward_mode,cost_unit
E2_actions_500_1000_2000_cold,fixed_ccs,1093.5709150228722,4.958449996469031,0.11279,0.009993224977680902,11.47,2.999848481022151,-421828.9218051698,3478.259835613417,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_cold,oracle,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_cold,safe_ucb,1514.527942436511,8.451431596375024,0.0006900000000000001,0.0006307763374436203,0.69,0.6307763374436202,-871.8943915311107,184.53497702761112,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_cold,ucb,1078.8024358667174,7.036084903771253,0.48156,0.16131857683578552,46.0,16.941968688151416,-436597.4009613246,8816.021098051326,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_in_domain,fixed_ccs,1093.5709150228722,4.958449996469031,0.11279,0.009993224977680902,11.47,2.999848481022151,-421828.9218051698,3478.259835613417,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_in_domain,oracle,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_in_domain,safe_ucb_warm,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_in_domain,ucb,1078.8024358667174,7.036084903771253,0.48156,0.16131857683578552,46.0,16.941968688151416,-436597.4009613246,8816.021098051326,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_shift_from_E1,fixed_ccs,1093.5709150228722,4.958449996469031,0.11279,0.009993224977680902,11.47,2.999848481022151,-421828.9218051698,3478.259835613417,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_shift_from_E1,oracle,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_shift_from_E1,safe_ucb_warm,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,100,per_60s,mJ_per_60s
E2_actions_500_1000_2000_warm_shift_from_E1,ucb,1078.8024358667174,7.036084903771253,0.48156,0.16131857683578552,46.0,16.941968688151416,-436597.4009613246,8816.021098051326,100,per_60s,mJ_per_60s
scan70_actions_100_500_cold,fixed_ccs,1515.3998368280422,8.436709832082496,0.22878,0.014118960673684537,23.02,4.325120422215625,-1853198.24854797,37179.002981322395,100,per_60s,mJ_per_60s
scan70_actions_100_500_cold,oracle,3368.598085376012,45.61571281340492,0.0251,0.004569331228832934,2.56,1.5197022568565688,0.0,0.0,100,per_60s,mJ_per_60s
scan70_actions_100_500_cold,safe_ucb,3366.661299233861,45.67921179568057,0.02537,0.004563037708732323,2.83,1.608405949059409,-1936.786142150904,938.8345102927794,100,per_60s,mJ_per_60s
scan70_actions_100_500_cold,ucb,1517.498322528814,8.426508756266765,0.22855,0.014123821127171051,22.79,4.274176629315391,-1851099.762847198,37243.404511266795,100,per_60s,mJ_per_60s
scan70_actions_100_500_warm_from_scan90,fixed_ccs,1515.3998368280422,8.436709832082496,0.22878,0.014118960673684537,23.02,4.325120422215625,-1853198.24854797,37179.002981322395,100,per_60s,mJ_per_60s
scan70_actions_100_500_warm_from_scan90,oracle,3368.598085376012,45.61571281340492,0.0251,0.004569331228832934,2.56,1.5197022568565688,0.0,0.0,100,per_60s,mJ_per_60s
scan70_actions_100_500_warm_from_scan90,safe_ucb_warm,3368.598085376012,45.61571281340492,0.0251,0.004569331228832934,2.56,1.5197022568565688,0.0,0.0,100,per_60s,mJ_per_60s
scan70_actions_100_500_warm_from_scan90,ucb,1517.498322528814,8.426508756266765,0.22855,0.014123821127171051,22.79,4.274176629315391,-1851099.762847198,37243.404511266795,100,per_60s,mJ_per_60s
