scenario_id,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,actions,actions_used,tau_s,epsilon,rep,method,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,avg_cost,violation_rate,violations_first_100,violations_last_100,violations_after_switch,after_switch_k,violations_first_after_switch_k,safe_set_empty_rate,safe_set_size_mean,filter_margin,filter_prior_weight,filter_reset_on_switch,distinct_actions_pulled,regret_vs_oracle,pull_100,pull_500,pull_1000,pull_2000
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,0,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3354.0883752327386,0.004,0.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2261538.893490509,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,0,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1095.5001116247277,0.071,7.0,10.0,,50,,,,,,,3,2950.6298824986443,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,0,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1077.8744343739727,0.455,55.0,34.0,,50,,,,,,,4,-14675.047368256375,1,1,1,997
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,0,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1092.549481742229,0.071,7.0,10.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,0,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1092.549481742229,0.071,7.0,10.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,0,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3359.2013167848067,0.004,0.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2266651.8350425772,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,1,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3423.2305690009066,0.004,0.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2323373.1228366867,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,1,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1101.8946962492344,0.059,7.0,3.0,,50,,,,,,,3,2037.2500850143842,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,1,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1080.511834535605,0.424,43.0,45.0,,50,,,,,,,4,-19345.61162861483,1,1,4,994
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,1,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1099.85744616422,0.059,7.0,3.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,1,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1099.85744616422,0.059,7.0,3.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,1,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3426.431601765295,0.004,0.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2326574.155601075,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,2,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3486.7296848611463,0.005,0.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2379984.8750233166,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,2,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1108.8359434794331,0.057,4.0,4.0,,50,,,,,,,3,2091.13364160317,1,4,995,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,2,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1082.8855921185334,0.436,33.0,35.0,,50,,,,,,,4,-23859.217719296692,1,2,1,996
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,2,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1106.74480983783,0.057,4.0,4.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,2,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1106.74480983783,0.057,4.0,4.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,2,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3489.792531814135,0.005,0.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2383047.7219763054,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,3,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3396.4935908983634,0.001,0.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2299570.41057818,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,3,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1100.056996603595,0.061,3.0,7.0,,50,,,,,,,3,3133.816283411579,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,3,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1080.1955726428837,0.432,39.0,47.0,,50,,,,,,,4,-16727.607677299762,1,1,3,995
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,3,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1096.9231803201835,0.061,3.0,7.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,3,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1096.9231803201835,0.061,3.0,7.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,3,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3399.4375556107575,0.001,0.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2302514.3752905736,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,4,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3387.8536860077897,0.002,0.0,0.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2291559.3822517013,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,4,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1099.2974172142697,0.061,8.0,6.0,,50,,,,,,,3,3003.1134581814986,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,4,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1079.7896135909805,0.441,43.0,45.0,,50,,,,,,,4,-16504.690165107837,1,1,1,997
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,4,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1096.2943037560883,0.061,8.0,6.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,4,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1096.2943037560883,0.061,8.0,6.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,4,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3393.652148323529,0.002,0.0,0.0,,50,,0.023,0.977,0.0,1.0,0,1,2297357.8445674414,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,5,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3367.080439437201,0.006,1.0,0.0,,50,,0.041123370110330994,0.958876629889669,,,,3,2273168.43719374,998,1,1,0
