scenario_id,method,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,after_switch_k,actions,actions_used,tau_s,epsilon,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,filter_margin,filter_prior_weight,filter_reset_on_switch,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,violations_last_100_mean,violations_last_100_std,violations_after_switch_mean,violations_after_switch_std,violations_first_after_switch_k_mean,violations_first_after_switch_k_std,safe_set_empty_rate_mean,safe_set_empty_rate_std,safe_set_size_mean_mean,safe_set_size_mean_std,distinct_actions_pulled_mean,distinct_actions_pulled_std,pull_100_mean,pull_1000_mean,pull_2000_mean,pull_500_mean,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps
E1_actions_100_500_1000_2000_cold,filter_ucb,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1096.4745925279299,4.998541743675601,0.05771,0.007722844244986639,6.0,2.300636714679067,5.5,2.4924127290882647,,,,,,,,,3.0,0.0,1.1,997.81,0.0,1.09,2903.677505057696,1016.3702182210328,100
E1_actions_100_500_1000_2000_cold,filter_ucb_online_w1_m0_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,1.0,0,3368.598085376012,45.61571281340492,0.0038,0.0017978662999019789,0.37,0.69128777501037,0.41,0.6976873775321415,,,,,0.02633,0.008957875604937555,0.97367,0.008957875604937564,1.0,0.0,1000.0,0.0,0.0,0.0,2275027.1703531398,40657.2628169358,100
E1_actions_100_500_1000_2000_cold,fixed_ccs,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1093.5709150228722,4.958449996469031,0.05775,0.007716406501275663,6.04,2.3308211584605267,5.5,2.4924127290882647,,,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E1_actions_100_500_1000_2000_cold,oracle,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1093.5709150228722,4.958449996469031,0.05775,0.007716406501275663,6.04,2.3308211584605267,5.5,2.4924127290882647,,,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,100
E1_actions_100_500_1000_2000_cold,safe_ucb,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,3364.3718997443343,45.74493978326367,0.00386,0.001775364523673713,0.43,0.7142842712828139,0.41,0.6976873775321415,,,,,0.027422266800401204,0.009159750812041866,0.9725777331995988,0.009159750812041862,3.0,0.0,998.0,1.0,0.0,1.0,2270800.9847214622,40789.35965071413,100
E1_actions_100_500_1000_2000_cold,ucb,E1_scan90_stress_v5,,,,,50,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1082.9007323614067,8.0055832326425,0.33912,0.16875343797470566,32.41,16.049856036359916,33.76,17.360188985611927,,,,,,,,,4.0,0.0,1.08,262.28,735.61,1.03,-10670.182661465707,8336.33506717092,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1094.06546221833,4.95634994130069,0.08483,0.009490085203606828,6.03,2.337463876456142,10.81,3.237079991085619,55.51,7.156963127760352,5.75,2.0713290516970106,,,,,2.0,0.0,0.0,998.82,0.0,1.18,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0.01_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,0.2,0,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.07996,0.048521143990444146,0.9200400000000001,0.048521143990444146,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0.01_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,0.2,1,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.08051,0.04993237750430399,0.91949,0.049932377504303974,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0.02_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,0.2,0,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.10593999999999999,0.06676883383523462,0.8940600000000001,0.06676883383523463,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
