method,w,m,reset,cost_start_mean,cost_mid_mean,viol_first_start_mean,viol_first_mid_mean,viol_after_start_mean,viol_after_mid_mean,vr_start_mean,vr_mid_mean,viol_first_start_p95,viol_first_mid_p95,viol_after_start_p95,viol_after_mid_p95,vr_start_p95,vr_mid_p95,cost_worst_mean,viol_first_worst_mean,viol_after_worst_mean,vr_worst_mean,viol_first_worst_p95,viol_after_worst_p95,vr_worst_p95
filter_ucb_online_w0.2_m0.01_r0,0.2,0.01,0,1426.2240464870483,1149.1899099063612,3.65,4.98,24.47,47.71,0.02447,0.07539,6.0,9.0,79.69999999999996,65.05,0.07969999999999997,0.099,1426.2240464870483,4.98,47.71,0.07539,9.0,79.69999999999996,0.099
filter_ucb_online_w0.2_m0.01_r1,0.2,0.01,1,1426.2240464870483,1171.397023957753,3.65,5.32,24.47,41.6,0.02447,0.06928,6.0,9.0,79.69999999999996,57.0,0.07969999999999997,0.089,1426.2240464870483,5.32,41.6,0.06928,9.0,79.69999999999996,0.089
filter_ucb_online_w0.2_m0.02_r0,0.2,0.02,0,1469.8039973079829,1164.4675179842798,3.47,4.82,12.7,44.43,0.0127,0.07182,6.0,9.0,43.05,64.0,0.04304999999999999,0.092,1469.8039973079829,4.82,44.43,0.07182,9.0,64.0,0.092
filter_ucb_online_w0.2_m0.02_r1,0.2,0.02,1,1469.8039973079829,1223.8273045591611,3.47,5.2,12.7,29.74,0.0127,0.05713,6.0,9.0,43.05,51.0,0.04304999999999999,0.08005,1469.8039973079829,5.2,29.74,0.05713,9.0,51.0,0.08005
filter_ucb_online_w0.2_m0.03_r0,0.2,0.03,0,1487.6624095433904,1246.0940550929035,3.07,3.79,7.63,30.65,0.00763,0.0561399999999999,6.0,8.0,22.0,55.05,0.022,0.081,1487.6624095433904,3.79,30.65,0.0561399999999999,8.0,55.05,0.081
filter_ucb_online_w0.2_m0.03_r1,0.2,0.03,1,1487.6624095433904,1297.9248477096626,3.07,4.78,7.63,17.74,0.00763,0.04323,6.0,8.0,22.0,42.05,0.022,0.07005,1487.6624095433904,4.78,17.74,0.04323,8.0,42.05,0.07005
filter_ucb_online_w0.2_m0_r0,0.2,0.0,0,1353.5040550534277,1140.0838803065242,3.88,5.06,43.59,49.14,0.04359,0.07712,7.0,9.0,108.1,67.0,0.10809999999999999,0.10005,1353.5040550534277,5.06,49.14,0.07712,9.0,108.1,0.10809999999999999
filter_ucb_online_w0.2_m0_r1,0.2,0.0,1,1353.5040550534277,1143.3242488764447,3.88,5.38,43.59,48.41,0.04359,0.07639,7.0,9.0,108.1,63.0,0.10809999999999999,0.09605,1353.5040550534277,5.38,48.41,0.07639,9.0,108.1,0.10809999999999999
filter_ucb_online_w0.5_m0.01_r0,0.5,0.01,0,1425.466920783923,1140.7095468289212,3.76,5.11,24.75,48.87,0.02475,0.07681,6.0,9.0,79.69999999999996,65.05,0.07969999999999997,0.099,1425.466920783923,5.11,48.87,0.07681,9.0,79.69999999999996,0.099
filter_ucb_online_w0.5_m0.01_r1,0.5,0.01,1,1425.466920783923,1140.5324404596158,3.76,5.38,24.75,48.88,0.02475,0.07682,6.0,9.0,79.69999999999996,64.0,0.07969999999999997,0.09409999999999999,1425.466920783923,5.38,48.88,0.07682,9.0,79.69999999999996,0.09409999999999999
filter_ucb_online_w0.5_m0.02_r0,0.5,0.02,0,1468.9583731976234,1164.412719044245,3.57,4.82,12.95,44.45,0.01295,0.07184,6.0,9.0,43.05,64.0,0.04304999999999999,0.092,1468.9583731976234,4.82,44.45,0.07184,9.0,64.0,0.092
