trial_id,mode,adv_count,rx_count,rx_unique,pdr,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,E_total_mJ,E_per_adv_uJ,avg_power_mW,duration_ms,rx_path,txsd_path,truth_path
003,FIXED_100,6345,5265,5265,0.829787,0.049,0.07375,0.0,0.0,0.0,127354.383,20071.6,200.68987508332245,634583.0,data/1210_modeC2prime_fixed/RX/rx_trial_003.csv,data/1210_modeC2prime_fixed/TX/trial_010_on.csv,data/1210_modeC2prime_fixed/truth/subject01.csv
004,FIXED_500,1270,5324,1269,0.999213,0.08275,0.1865,0.0,0.0,0.0,126498.572,99605.2,199.38241506055618,634452.0,data/1210_modeC2prime_fixed/RX/rx_trial_004.csv,data/1210_modeC2prime_fixed/TX/trial_011_on.csv,data/1210_modeC2prime_fixed/truth/subject01.csv
005,FIXED_1000,635,5291,636,1.001575,0.1925,0.32975,0.0,0.0,0.0,126204.183,198746.7,198.929383985612,634417.0,data/1210_modeC2prime_fixed/RX/rx_trial_005.csv,data/1210_modeC2prime_fixed/TX/trial_012_on.csv,data/1210_modeC2prime_fixed/truth/subject01.csv
006,FIXED_2000,317,5234,317,1.0,0.55625,1.7905,0.25,0.0,0.0,125767.512,396742.9,198.5628294776196,633389.0,data/1210_modeC2prime_fixed/RX/rx_trial_006.csv,data/1210_modeC2prime_fixed/TX/trial_013_on.csv,data/1210_modeC2prime_fixed/truth/subject01.csv
007,FIXED_100,6344,5306,5306,0.836381,10.182333,100.0237,0.166667,0.166667,0.166667,129175.165,20361.8,203.59859565614852,634460.0,data/1210_modeC2prime_fixed/RX/rx_trial_007.csv,data/1210_modeC2prime_fixed/TX/trial_014_on.csv,data/1210_modeC2prime_fixed/truth/subject02.csv
008,FIXED_500,1269,5303,1268,0.999212,10.159167,100.0601,0.166667,0.166667,0.166667,125663.088,99025.3,198.10427412947246,634328.0,data/1210_modeC2prime_fixed/RX/rx_trial_008.csv,data/1210_modeC2prime_fixed/TX/trial_015_on.csv,data/1210_modeC2prime_fixed/truth/subject02.csv
009,FIXED_1000,635,5277,636,1.001575,10.164,100.04255,0.166667,0.166667,0.166667,125765.029,198055.2,198.27498360386946,634296.0,data/1210_modeC2prime_fixed/RX/rx_trial_009.csv,data/1210_modeC2prime_fixed/TX/trial_016_on.csv,data/1210_modeC2prime_fixed/truth/subject02.csv
010,FIXED_2000,317,5303,317,1.0,10.293167,99.8222,0.166667,0.166667,0.166667,125695.758,396516.6,198.48934248383767,633262.0,data/1210_modeC2prime_fixed/RX/rx_trial_010.csv,data/1210_modeC2prime_fixed/TX/trial_017_on.csv,data/1210_modeC2prime_fixed/truth/subject02.csv
011,FIXED_100,6343,5243,5243,0.82658,0.03975,0.15325,0.0,0.0,0.0,131887.628,20792.6,207.9157728129749,634332.0,data/1210_modeC2prime_fixed/RX/rx_trial_011.csv,data/1210_modeC2prime_fixed/TX/trial_018_on.csv,data/1210_modeC2prime_fixed/truth/subject03.csv
012,FIXED_500,1269,5201,1270,1.000788,0.0705,0.29175,0.0,0.0,0.0,126020.568,99307.0,198.70855474157912,634198.0,data/1210_modeC2prime_fixed/RX/rx_trial_012.csv,data/1210_modeC2prime_fixed/TX/trial_019_on.csv,data/1210_modeC2prime_fixed/truth/subject03.csv
013,FIXED_1000,636,5175,635,0.998428,0.0835,0.1095,0.0,0.0,0.0,125845.608,197870.5,198.44331750146648,634164.0,data/1210_modeC2prime_fixed/RX/rx_trial_013.csv,data/1210_modeC2prime_fixed/TX/trial_020_on.csv,data/1210_modeC2prime_fixed/truth/subject03.csv
014,FIXED_2000,317,5216,318,1.003155,0.722,1.02625,0.0,0.0,0.0,125813.845,396889.1,198.7175520312606,633129.0,data/1210_modeC2prime_fixed/RX/rx_trial_014.csv,data/1210_modeC2prime_fixed/TX/trial_021_on.csv,data/1210_modeC2prime_fixed/truth/subject03.csv
