session,interval_ms,pdr_unique_mean_scan50,pdr_unique_mean_scan90,pdr_unique_mean_delta,pout_1s_mean_scan50,pout_1s_mean_scan90,pout_1s_mean_delta,tl_mean_s_mean_scan50,tl_mean_s_mean_scan90,tl_mean_s_mean_delta,tl_p95_s_mean_scan50,tl_p95_s_mean_scan90,tl_p95_s_mean_delta,E_per_adv_uJ_mean_scan50,E_per_adv_uJ_mean_scan90,E_per_adv_uJ_mean_delta,avg_power_mW_mean_scan50,avg_power_mW_mean_scan90,avg_power_mW_mean_delta
S1,100,0.0,0.800189,0.800189,0.0,0.1,0.1,0.0,12.020067,12.020067,0.0,133.23755,133.23755,0.0,20076.9,20076.9,0.0,200.7673133513955,200.7673133513955
S1,500,0.500787,1.0,0.499213,0.05,0.05,0.0,6.164233,6.114117,-0.05011600000000005,42.80245,42.0585,-0.7439499999999981,99954.6,101334.7,1380.0999999999913,200.0276258067769,202.67522421772227,2.6475984109453634
S1,1000,0.500787,1.0,0.499213,0.216667,0.066667,-0.15,7.95885,8.390517,0.43166699999999913,49.61385,49.5388,-0.0750499999999974,199327.4,200939.4,1612.0,199.44990624162872,200.9551999369035,1.505293695274787
S1,2000,0.8817035,1.0,0.11829650000000003,0.8916665,0.066667,-0.8249995,33.253275,7.74665,-25.506625000000003,130.9739,49.5853,-81.3886,361619.75,400149.4,38529.65000000002,180.97215732624943,200.41421114000687,19.44205381375744
S1   # old 100ms (pdr_u≈0.20),100,0.200095,0.0,-0.200095,0.05,0.0,-0.05,6.1111,0.0,-6.1111,42.4226,0.0,-42.4226,20059.0,0.0,-20059.0,200.57808418591608,0.0,-200.57808418591608
S1   # retake 100ms (scan duty↑,100,0.829864,0.0,-0.829864,0.066667,0.0,-0.066667,8.37875,0.0,-8.37875,49.5042,0.0,-49.5042,20205.6,0.0,-20205.6,202.0492147059148,0.0,-202.0492147059148
S4,100,0.199968,0.814166,0.6141979999999999,0.085106,0.304965,0.21985899999999997,4.033489,13.572234,9.538744999999999,19.6578,88.8787,69.2209,20023.9,20031.3,7.399999999997817,200.21496446223827,200.28257005181428,0.06760558957600438
S4,500,0.500787,1.0,0.499213,0.056738,0.255319,0.198581,2.033085,10.286142,8.253057,8.8936,69.7413,60.847699999999996,100768.6,100001.5,-767.1000000000058,201.6760431982325,200.04756736119546,-1.6284758370370298
S4,1000,0.500787,1.0,0.499213,0.255319,0.177305,-0.07801400000000003,8.836241,6.840617,-1.9956239999999994,65.6606,56.0104,-9.650200000000005,198948.3,200484.1,1535.8000000000175,199.09037628418383,200.53753603089783,1.447159746713993
S4,2000,0.858491,1.0,0.141509,0.673759,0.191489,-0.48227,16.592624,9.218681,-7.373943000000001,111.53,77.1431,-34.3869,359182.1,399423.9,40241.80000000005,180.36553660450772,200.08969774163523,19.72416113712751
