trial_id,session,interval_ms,mode,pdr_raw,pdr_unique,pout_1s,pout_2s,pout_3s,tl_mean_s,tl_p95_s,tl_clamp_high_rate,E_per_adv_uJ,avg_power_mW,rx_dup_factor,tl_time_offset_ms,tl_time_offset_n
018,S1   # old 100ms (pdr_u≈0.20),100,FIXED_100,0.822278,0.200095,0.9,0.9,0.9,96.393217,285.925,0.0,20059.0,200.57808418591608,4.109449,-253543.0,1270
019,S1,500,FIXED_500,1.0,0.500787,0.933333,0.916667,0.916667,98.421967,239.42265,0.0,99954.6,200.0276258067769,8.273585,-158318.0,635
020,S1,1000,FIXED_1000,1.0,0.500787,0.933333,0.916667,0.9,98.5728,239.41585,0.0,199327.4,199.44990624162872,16.462264,-158415.0,317
022,S4,100,FIXED_100,0.804444,0.199968,0.93617,0.929078,0.907801,88.976681,272.58,0.0,20023.9,200.21496446223827,4.022853,-253766.0,1269
023,S4,500,FIXED_500,1.0,0.500787,0.950355,0.929078,0.921986,66.244553,217.29,0.0,100768.6,201.6760431982325,8.111635,-158251.0,635
024,S4,1000,FIXED_1000,1.0,0.500787,0.93617,0.914894,0.914894,72.955823,219.47,0.0,198948.3,199.09037628418383,16.342767,-158330.0,317
025,S4,2000,FIXED_2000,0.858491,0.858491,0.695035,0.375887,0.312057,15.826631,111.732,0.0,359182.1,180.36553660450772,1.000000,202.0,273
030,S1,2000,FIXED_2000,0.876972,0.876972,0.633333,0.183333,0.133333,12.2699,89.504775,0.0,361504.6,180.91179920466152,1.000000,-344.5,278
031,S1,2000,FIXED_2000,0.886435,0.886435,0.966667,0.966667,0.916667,53.697992,171.79525,0.0,361734.9,181.0325154478373,1.000000,-320.5,280
040,S1   # retake 100ms (scan duty↑,100,FIXED_100,0.829864,0.829864,0.0,0.0,0.0,0.072567,0.1869,0.0,20205.6,202.0492147059148,1.000000,1047.0,5263
