ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D1_SCAN90, buf_size=512
# condition_label=F100
79,ADV,-53,29019,F100,e0:5a:1b:15:c4:ca,29019_F100
168,ADV,-49,29119,F100,e0:5a:1b:15:c4:ca,29119_F100
400,ADV,-51,29319,F100,e0:5a:1b:15:c4:ca,29319_F100
489,ADV,-55,29519,F100,e0:5a:1b:15:c4:ca,29519_F100
701,ADV,-49,29719,F100,e0:5a:1b:15:c4:ca,29719_F100
805,ADV,-50,29819,F100,e0:5a:1b:15:c4:ca,29819_F100
1034,ADV,-52,30019,F100,e0:5a:1b:15:c4:ca,30019_F100
1118,ADV,-49,30119,F100,e0:5a:1b:15:c4:ca,30119_F100
1224,ADV,-51,30219,F100,e0:5a:1b:15:c4:ca,30219_F100
1359,ADV,-52,30319,F100,e0:5a:1b:15:c4:ca,30319_F100
1427,ADV,-51,30419,F100,e0:5a:1b:15:c4:ca,30419_F100
1531,ADV,-51,30519,F100,e0:5a:1b:15:c4:ca,30519_F100
1634,ADV,-49,30619,F100,e0:5a:1b:15:c4:ca,30619_F100
1750,ADV,-51,30719,F100,e0:5a:1b:15:c4:ca,30719_F100
1844,ADV,-51,30819,F100,e0:5a:1b:15:c4:ca,30819_F100
1959,ADV,-54,30919,F100,e0:5a:1b:15:c4:ca,30919_F100
2054,ADV,-50,31019,F100,e0:5a:1b:15:c4:ca,31019_F100
2175,ADV,-49,31119,F100,e0:5a:1b:15:c4:ca,31119_F100
2273,ADV,-52,31219,F100,e0:5a:1b:15:c4:ca,31219_F100
2375,ADV,-53,31319,F100,e0:5a:1b:15:c4:ca,31319_F100
2477,ADV,-50,31419,F100,e0:5a:1b:15:c4:ca,31419_F100
2583,ADV,-49,31519,F100,e0:5a:1b:15:c4:ca,31519_F100
2687,ADV,-52,31619,F100,e0:5a:1b:15:c4:ca,31619_F100
2793,ADV,-51,31819,F100,e0:5a:1b:15:c4:ca,31819_F100
3101,ADV,-49,32119,F100,e0:5a:1b:15:c4:ca,32119_F100
3212,ADV,-51,32219,F100,e0:5a:1b:15:c4:ca,32219_F100
3528,ADV,-49,32519,F100,e0:5a:1b:15:c4:ca,32519_F100
3739,ADV,-52,32719,F100,e0:5a:1b:15:c4:ca,32719_F100
3850,ADV,-52,32819,F100,e0:5a:1b:15:c4:ca,32819_F100
4058,ADV,-47,33019,F100,e0:5a:1b:15:c4:ca,33019_F100
4163,ADV,-50,33119,F100,e0:5a:1b:15:c4:ca,33119_F100
4259,ADV,-48,33219,F100,e0:5a:1b:15:c4:ca,33219_F100
4357,ADV,-52,33319,F100,e0:5a:1b:15:c4:ca,33319_F100
4463,ADV,-47,33419,F100,e0:5a:1b:15:c4:ca,33419_F100
4567,ADV,-45,33519,F100,e0:5a:1b:15:c4:ca,33519_F100
4669,ADV,-104,33619,F100,e0:5a:1b:15:c4:ca,33619_F100
4776,ADV,-57,33719,F100,e0:5a:1b:15:c4:ca,33719_F100
4880,ADV,-53,33819,F100,e0:5a:1b:15:c4:ca,33819_F100
4988,ADV,-47,33919,F100,e0:5a:1b:15:c4:ca,33919_F100
5098,ADV,-49,34119,F100,e0:5a:1b:15:c4:ca,34119_F100
5218,ADV,-50,34219,F100,e0:5a:1b:15:c4:ca,34219_F100
5311,ADV,-54,34319,F100,e0:5a:1b:15:c4:ca,34319_F100
5424,ADV,-46,34419,F100,e0:5a:1b:15:c4:ca,34419_F100
5526,ADV,-46,34519,F100,e0:5a:1b:15:c4:ca,34519_F100
5642,ADV,-49,34619,F100,e0:5a:1b:15:c4:ca,34619_F100
5747,ADV,-55,34719,F100,e0:5a:1b:15:c4:ca,34719_F100
5844,ADV,-50,34819,F100,e0:5a:1b:15:c4:ca,34819_F100
5954,ADV,-43,34919,F100,e0:5a:1b:15:c4:ca,34919_F100
6058,ADV,-47,35019,F100,e0:5a:1b:15:c4:ca,35019_F100
6169,ADV,-47,35119,F100,e0:5a:1b:15:c4:ca,35119_F100
6259,ADV,-42,35219,F100,e0:5a:1b:15:c4:ca,35219_F100
6366,ADV,-42,35319,F100,e0:5a:1b:15:c4:ca,35319_F100
6466,ADV,-42,35419,F100,e0:5a:1b:15:c4:ca,35419_F100
6574,ADV,-49,35519,F100,e0:5a:1b:15:c4:ca,35519_F100
6779,ADV,-49,35719,F100,e0:5a:1b:15:c4:ca,35719_F100
6889,ADV,-45,35919,F100,e0:5a:1b:15:c4:ca,35919_F100
