ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D1_SCAN90, cond_id=3, interval_ms=0, tag=policy, subject=uccs_d1_scan90
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02
12,3248,56300,182.9
21,3248,54800,178.0
31,3248,56300,182.9
41,3248,54800,178.0
51,3248,56300,182.9
61,3248,54800,178.0
71,3248,55800,181.2
81,3248,55300,179.6
91,3248,55700,180.9
101,3248,55400,179.9
111,3248,55300,179.6
121,3248,56000,181.9
131,3244,55100,178.7
141,3248,56300,182.9
151,3248,54800,178.0
161,3248,56300,182.9
171,3244,54800,177.8
181,3248,56300,182.9
191,3248,54800,178.0
201,3248,56300,182.9
211,3248,54800,178.0
221,3248,55900,181.6
231,3248,55300,179.6
241,3248,55700,180.9
251,3248,55400,179.9
261,3248,55500,180.3
271,3248,55900,181.6
281,3248,55200,179.3
291,3248,56200,182.5
301,3248,54700,177.7
311,3248,56300,182.9
321,3248,54700,177.7
331,3248,56300,182.9
341,3236,69600,225.2
351,3248,56300,182.9
361,3248,54700,177.7
371,3248,56100,182.2
381,3244,55200,179.1
391,3248,55700,180.9
401,3244,73900,239.7
411,3248,55700,180.9
421,3248,55600,180.6
431,3248,55500,180.3
441,3248,56200,182.5
451,3248,54800,178.0
461,3248,56300,182.9
471,3248,54800,178.0
481,3248,56300,182.9
491,3248,54700,177.7
501,3248,56300,182.9
511,3248,54800,178.0
521,3248,56300,182.9
531,3248,55100,179.0
541,3248,55700,180.9
551,3248,55300,179.6
561,3248,55700,180.9
571,3248,55400,179.9
581,3248,55700,180.9
591,3248,56300,182.9
601,3248,54800,178.0
611,3248,56300,182.9
621,3248,54800,178.0
631,3248,56300,182.9
641,3248,54800,178.0
651,3248,56300,182.9
661,3248,54700,177.7
671,3248,56300,182.9
681,3248,54800,178.0
691,3248,55700,180.9
701,3248,55400,179.9
711,3248,55600,180.6
721,3248,55400,179.9
731,3248,54900,178.3
741,3248,56300,182.9
751,3244,54800,177.8
761,3248,56300,182.9
771,3248,54700,177.7
781,3248,56300,182.9
791,3244,54700,177.4
801,3248,56300,182.9
811,3244,54800,177.8
821,3248,56300,182.9
831,3248,54800,178.0
841,3240,58100,188.2
851,3120,155100,483.9
861,3248,55700,180.9
871,3244,55400,179.7
881,3248,55000,178.6
891,3248,56300,182.9
901,3248,54900,178.3
911,3248,56300,182.9
921,3248,54800,178.0
931,3248,56400,183.2
941,3248,54800,178.0
951,3248,56300,182.9
961,3128,134500,420.7
971,3248,56300,182.9
981,3248,54800,178.0
991,3248,55800,181.2
1001,3248,55400,179.9
1011,3248,55700,180.9
1021,3248,55400,179.9
1031,3248,55100,179.0
1041,3248,56900,184.8
1051,3244,55000,178.4
1061,3248,56300,182.9
1071,3108,134500,418.0
1081,3248,56300,182.9
1091,3244,54800,177.8
1101,3248,56300,182.9
1111,3248,54800,178.0
1121,3248,56300,182.9
1131,3244,54700,177.4
1141,3248,73900,240.0
1151,3248,55400,179.9
1161,3248,55700,180.9
1171,3248,55400,179.9
1181,3248,55400,179.9
1191,3248,56100,182.2
1201,3248,55100,179.0
1211,3248,56400,183.2
1221,3248,54800,178.0
1231,3248,56300,182.9
1241,3244,54800,177.8
1251,3248,56300,182.9
1261,3248,54800,178.0
1271,3248,56400,183.2
1281,3148,144800,455.8
1291,3248,56000,181.9
1301,3244,55400,179.7
1311,3248,55700,180.9
1321,3248,55400,179.9
1331,3248,55500,180.3
1341,3248,56000,181.9
1351,3244,55200,179.1
1361,3248,56400,183.2
1371,3248,54700,177.7
1381,3248,56300,182.9
1391,3148,142800,449.5
1401,3248,56400,183.2
1411,3248,54700,177.7
1421,3248,56300,182.9
1431,3248,54800,178.0
1441,3248,80400,261.1
1451,3224,158200,510.0
1461,3248,55700,180.9
1471,3248,55400,179.9
1481,3248,55700,180.9
1491,3248,55700,180.9
1501,3248,55400,179.9
1511,3248,56300,182.9
