ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D1_SCAN90, cond_id=1, interval_ms=100, tag=fixed100, subject=uccs_d1_scan90
12,3228,55600,179.5
21,3228,55300,178.5
31,3228,55500,179.2
41,3228,55400,178.8
51,3116,223100,695.2
61,3232,56100,181.3
71,3228,54600,176.2
81,3228,56200,181.4
91,3228,54600,176.2
101,3232,56200,181.6
111,3228,54600,176.2
121,3232,56200,181.6
131,3228,54700,176.6
141,3232,56200,181.6
151,3228,54600,176.2
161,3116,57100,177.9
171,3228,55200,178.2
181,3228,55600,179.5
191,3232,55300,178.7
201,3232,54900,177.4
211,3232,56000,181.0
221,3228,54700,176.6
231,3232,56200,181.6
241,3232,54700,176.8
251,3232,56200,181.6
261,3004,138600,416.4
271,3236,56300,182.2
281,3232,54600,176.5
291,3236,56200,181.9
301,3236,54700,177.0
311,3236,55700,180.2
321,3236,55200,178.6
331,3236,55600,179.9
341,3236,55300,179.0
351,3232,55100,178.1
361,3104,143000,443.9
371,3228,54600,176.2
381,3208,55700,178.7
391,3124,54400,169.9
401,3144,55500,174.5
411,3112,54300,169.0
421,3092,55900,172.8
431,3096,54600,169.0
441,3096,55900,173.1
451,3092,54400,168.2
461,3108,55700,173.1
471,2816,150300,423.2
481,2936,152700,448.3
491,2904,149400,433.9
501,2960,126700,375.0
511,2968,127100,377.2
521,2928,126700,371.0
531,2940,126600,372.2
541,2944,126500,372.4
551,2920,126700,370.0
561,3000,127300,381.9
571,2944,127100,374.2
