ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=4, tag=s4_fixed100, subject=uccs_d2_scan90_d2b
12,3212,54600,175.4
21,3216,56200,180.7
31,3212,54700,175.7
41,3212,55700,178.9
51,3212,55100,177.0
61,3212,55500,178.3
71,3212,55200,177.3
81,3212,55100,177.0
91,3212,55900,179.6
101,3212,54600,175.4
111,3216,56100,180.4
121,3212,54600,175.4
131,3216,56200,180.7
141,3212,54600,175.4
151,3216,56200,180.7
161,3212,54600,175.4
171,3212,56200,180.5
181,3212,54600,175.4
191,3064,141100,432.3
201,3212,55000,176.7
211,3212,55600,178.6
221,3212,55300,177.6
231,3212,55500,178.3
241,3212,55500,178.3
251,3212,54800,176.0
261,3212,56200,180.5
271,3212,54600,175.4
281,3216,56100,180.4
291,3212,54600,175.4
301,3216,56200,180.7
311,3212,54600,175.4
321,3216,56100,180.4
331,3212,54600,175.4
341,3216,56200,180.7
351,3212,54700,175.7
361,3212,55600,178.6
371,3212,55200,177.3
381,3216,55500,178.5
391,3212,55300,177.6
401,3212,54900,176.3
411,3212,56000,179.9
421,3212,54700,175.7
431,3216,56100,180.4
441,3212,54600,175.4
451,3216,56100,180.4
461,3212,54600,175.4
471,3212,56200,180.5
481,3212,54600,175.4
491,3212,56200,180.5
501,3212,54600,175.4
511,3216,55800,179.5
521,3212,55100,177.0
531,3212,55600,178.6
541,3212,55200,177.3
551,3216,55300,177.8
561,3212,55700,178.9
571,3212,54700,175.7
581,3212,56200,180.5
591,3212,54700,175.7
601,3216,56100,180.4
611,3212,54600,175.4
621,3216,56200,180.7
631,3212,54600,175.4
641,3212,56200,180.5
651,3212,54600,175.4
661,3212,56100,180.2
671,3212,55000,176.7
681,3216,55600,178.8
691,3212,55200,177.3
701,3064,178300,546.3
711,3212,55300,177.6
721,3212,54800,176.0
731,3212,56100,180.2
741,3212,54700,175.7
751,3216,56200,180.7
761,3212,54600,175.4
771,3212,56200,180.5
781,3212,54700,175.7
791,3212,56200,180.5
801,3212,54700,175.7
811,3212,56200,180.5
821,3212,54600,175.4
831,3212,55700,178.9
841,3212,55100,177.0
851,3212,55600,178.6
861,3212,55300,177.6
871,3212,55100,177.0
881,3212,55900,179.6
891,3212,54700,175.7
901,3216,56100,180.4
911,3212,54700,175.7
921,3216,56200,180.7
931,3212,54600,175.4
941,3216,56200,180.7
951,3212,54700,175.7
961,3216,56200,180.7
971,3212,54600,175.4
981,3216,55900,179.8
991,3212,55000,176.7
1001,3212,55600,178.6
1011,3212,55200,177.3
1021,3212,55500,178.3
1031,3212,55400,177.9
1041,3212,54700,175.7
1051,3212,56100,180.2
1061,3212,54600,175.4
1071,3212,56200,180.5
1081,3212,54600,175.4
1091,3216,56200,180.7
1101,3212,54600,175.4
1111,3216,56200,180.7
1121,3212,54600,175.4
1131,3212,56100,180.2
1141,3212,54600,175.4
1151,3212,55700,178.9
1161,3212,55200,177.3
1171,3212,55500,178.3
1181,3212,55200,177.3
1191,3200,73700,235.8
1201,3080,138200,425.7
1211,3212,54700,175.7
1221,3212,56200,180.5
1231,3212,54700,175.7
1241,3216,56300,181.1
1251,3212,54700,175.7
1261,3216,56200,180.7
1271,3212,54700,175.7
1281,3216,56100,180.4
1291,3212,54700,175.7
1301,3212,56400,181.2
1311,3212,55200,177.3
1321,3212,55600,178.6
1331,3212,55200,177.3
1341,3212,55400,177.9
1351,3212,55700,178.9
1361,3212,54700,175.7
1371,3212,56200,180.5
1381,3212,54600,175.4
1391,3180,56500,179.7
1401,3212,54600,175.4
1411,3040,69700,211.9
1421,3212,54700,175.7
1431,3216,56200,180.7
1441,3212,54600,175.4
1451,3216,56200,180.7
1461,3212,54800,176.0
1471,3212,55700,178.9
1481,3212,55200,177.3
1491,3172,150100,476.1
1501,3212,55300,177.6
1511,3156,154400,487.3
1521,3216,56100,180.4
1531,3212,54700,175.7
1541,3212,56200,180.5
1551,3212,54700,175.7
1561,3216,56200,180.7
1571,3212,54700,175.7
1581,3216,56200,180.7
1591,3212,72600,233.2
1601,3216,56200,180.7
1611,3212,54600,175.4
1621,3216,55700,179.1
1631,3212,55200,177.3
1641,3212,55600,178.6
1651,3212,55300,177.6
1661,3216,55200,177.5
1671,3212,55800,179.2
1681,3212,54700,175.7
1691,3216,59200,190.4
1701,3212,54700,175.7
1711,3216,56200,180.7
1721,3212,54600,175.4
1731,3216,56300,181.1
1741,3212,54600,175.4
1751,3216,56200,180.7
1761,3212,54600,175.4
1771,3216,56000,180.1
1781,3212,55000,176.7
1791,3216,55600,178.8
1801,3212,55300,177.6
1811,3212,57700,185.3
1821,3212,55500,178.3
1831,3212,54800,176.0
1842,3212,56200,180.5
1851,3212,54700,175.7
1861,3216,56200,180.7
1871,3212,54700,175.7
1881,3216,56200,180.7
1891,3212,54700,175.7
1901,3216,56200,180.7
1911,3212,54600,175.4
1921,3080,168200,518.1
1931,3212,54800,176.0
1941,3216,55700,179.1
1951,3212,55200,177.3
1961,3216,55600,178.8
1971,3212,55300,177.6
1981,3212,54800,176.0
1991,3212,56100,180.2
2001,3212,54600,175.4
2011,3212,56200,180.5
2021,3212,54700,175.7
2031,3024,76900,232.5
2041,3212,54700,175.7
2051,3216,56100,180.4
2061,3216,54600,175.6
2071,3212,56200,180.5
2081,3212,54700,175.7
2091,3212,55700,178.9
2101,3212,55200,177.3
2111,3212,55600,178.6
2121,3216,55300,177.8
2131,3212,54900,176.3
2141,2960,109200,323.2
2151,3212,54700,175.7
2161,3216,56100,180.4
2171,3212,54600,175.4
2181,3216,56200,180.7
2191,3212,54600,175.4
2201,3216,56200,180.7
2211,3212,54700,175.7
2221,3212,56200,180.5
2231,3212,54600,175.4
2241,3068,142100,436.0
2251,3212,55200,177.3
2261,3212,55600,178.6
2271,3212,55300,177.6
2281,3212,55000,176.7
2291,3216,56000,180.1
2301,3212,54700,175.7
2311,3216,56200,180.7
2321,3212,54600,175.4
2331,3216,56200,180.7
2341,3212,54700,175.7
2351,3080,206500,636.0
2361,3212,54700,175.7
2371,3212,56200,180.5
2381,3212,54600,175.4
2391,3212,55800,179.2
2401,3084,60800,187.5
2411,3212,55700,178.9
2421,3212,55300,177.6
2431,3212,55300,177.6
2441,3212,55800,179.2
2451,3072,141200,433.8
2461,3216,56200,180.7
2471,3212,54600,175.4
2481,3216,56300,181.1
2491,3212,54700,175.7
2501,3056,84800,259.1
2511,3212,54700,175.7
2521,3216,56200,180.7
2531,3212,54700,175.7
2541,3216,55900,179.8
2551,3208,66200,212.4
2561,3216,55700,179.1
2571,3212,55300,177.6
2581,3212,55400,177.9
2591,3212,55700,178.9
2601,3212,75800,243.5
2611,3212,56100,180.2
2621,3212,54700,175.7
2631,3216,56200,180.7
2641,3212,54700,175.7
2651,3212,56200,180.5
2661,3212,54800,176.0
2671,3216,56300,181.1
2681,3212,54600,175.4
2691,3216,56000,180.1
2701,3212,55000,176.7
2711,3216,55600,178.8
2721,3212,55300,177.6
2731,3212,55600,178.6
2741,3212,55500,178.3
2751,3212,54700,175.7
2761,3212,95500,306.7
2771,3212,54600,175.4
2781,3216,56300,181.1
2791,3212,54700,175.7
2801,3216,56200,180.7
2811,3212,54700,175.7
2821,3216,56200,180.7
2831,3212,54600,175.4
2841,3212,56200,180.5
2851,3212,54900,176.3
2861,3216,55600,178.8
2871,3084,130100,401.2
2881,3216,55600,178.8
2891,3212,55400,177.9
2901,3212,54800,176.0
2911,3216,56100,180.4
2921,3212,54600,175.4
2931,3216,56200,180.7
2941,3212,54700,175.7
2951,3216,56100,180.4
2961,3212,54600,175.4
2971,3216,136700,439.6
2981,3212,54700,175.7
2991,3216,56200,180.7
3001,3212,54800,176.0
3011,3212,55700,178.9
3021,3212,55200,177.3
3031,3216,55500,178.5
3041,3212,55300,177.6
3051,3212,54900,176.3
3061,3216,56000,180.1
3071,3212,56900,182.8
3081,3216,56200,180.7
3091,3212,54600,175.4
3101,3216,56200,180.7
3111,3212,54600,175.4
3121,3216,56100,180.4
3131,3212,54600,175.4
3141,3216,56200,180.7
3151,3212,54700,175.7
3161,3216,55700,179.1
3171,3212,55200,177.3
3181,2996,147300,441.3
3191,3212,55200,177.3
3201,3212,54900,176.3
3211,3216,56000,180.1
3221,3212,54600,175.4
3231,3216,56200,180.7
3241,3212,54700,175.7
3251,3216,56100,180.4
3261,3212,54600,175.4
3271,3216,56200,180.7
3281,3212,54600,175.4
3291,3080,208100,640.9
3301,3212,54700,175.7
3311,3216,55800,179.5
3321,3212,55200,177.3
3331,3216,55600,178.8
3341,3216,55300,177.8
3351,3212,55200,177.3
3361,3216,55900,179.8
3371,3212,54700,175.7
3381,3216,56300,181.1
3391,3064,140400,430.2
3401,3216,56100,180.4
3411,3212,54800,176.0
3421,3216,56200,180.7
3431,3212,54700,175.7
3441,3216,56200,180.7
3451,3212,54700,175.7
3461,3216,55800,179.5
3471,3212,55200,177.3
3481,3212,55600,178.6
3491,3212,55300,177.6
3501,3100,56200,174.2
3511,3128,129800,406.0
3521,3212,54700,175.7
3531,3216,56200,180.7
3541,3212,54600,175.4
3551,3216,56200,180.7
3561,3212,54600,175.4
3571,3216,56200,180.7
3581,3212,54700,175.7
3591,3216,56300,181.1
3601,3212,54700,175.7
3611,3188,56500,180.1
3622,3212,55300,177.6
3631,3216,55600,178.8
3641,3212,55200,177.3
3651,3216,55500,178.5
3661,3216,55600,178.8
3671,3212,54800,176.0
3681,3216,56200,180.7
3691,3212,54700,175.7
3701,3216,56200,180.7
3711,3064,236900,725.9
3721,3216,56300,181.1
3731,3212,54700,175.7
3741,3212,56200,180.5
3751,3212,54700,175.7
3761,3216,56100,180.4
3771,3212,55000,176.7
3781,3212,55700,178.9
3791,3212,55300,177.6
3801,3212,55600,178.6
3811,3060,137200,419.8
3821,3212,54900,176.3
3831,3216,56100,180.4
3841,3212,54700,175.7
3851,3212,56200,180.5
3861,3212,54700,175.7
3871,3216,56200,180.7
3881,3212,54700,175.7
3891,3216,56200,180.7
3901,3216,54600,175.6
3911,3068,142200,436.3
3921,3212,54800,176.0
3931,3216,55600,178.8
3941,3212,55300,177.6
3951,3212,55600,178.6
3961,3212,55300,177.6
3971,3212,54900,176.3
3981,3216,56100,180.4
3991,3216,54700,175.9
4001,3216,56200,180.7
4011,3212,54700,175.7
4021,3072,137100,421.2
4031,3212,54700,175.7
4041,3216,56200,180.7
4051,3212,54600,175.4
4061,3216,56200,180.7
4071,3212,54700,175.7
4081,3212,55700,178.9
4091,3212,55200,177.3
4101,3212,55600,178.6
4111,3212,55300,177.6
4121,2968,135100,401.0
4131,3212,56000,179.9
4141,3212,54700,175.7
4151,3216,56200,180.7
4161,3212,54700,175.7
4171,3216,56200,180.7
4181,3212,54700,175.7
4191,3216,56200,180.7
4201,3212,54600,175.4
4211,3216,56200,180.7
4221,3068,143900,441.5
4231,3212,55800,179.2
4241,3212,55200,177.3
4251,3212,55700,178.9
4261,3212,55200,177.3
4271,3212,55100,177.0
4281,3216,56000,180.1
4291,3212,54700,175.7
4301,3216,56200,180.7
4311,3212,54600,175.4
4321,3216,56200,180.7
4331,2972,134100,398.5
4341,3216,56200,180.7
4351,3212,54700,175.7
4361,3216,56200,180.7
4371,3212,54700,175.7
4381,3216,55800,179.5
4391,3212,55100,177.0
4401,3216,55600,178.8
4411,3216,55200,177.5
4421,3184,65100,207.3
4431,2972,135900,403.9
4441,3212,54800,176.0
4451,3216,56100,180.4
4461,3212,54700,175.7
4471,3216,56200,180.7
4481,3212,54600,175.4
4491,3216,56300,181.1
4501,3212,54600,175.4
4511,3216,56200,180.7
4521,3212,54700,175.7
4531,3216,55900,179.8
4541,3212,55000,176.7
4551,3212,55600,178.6
4561,3212,55300,177.6
4571,3216,55500,178.5
4581,3216,55700,179.1
4591,3212,54700,175.7
4601,3216,56100,180.4
4611,3212,54600,175.4
4621,3216,56200,180.7
4631,3212,54600,175.4
4641,3216,56200,180.7
4651,3212,54700,175.7
4661,3216,56200,180.7
4671,3212,54700,175.7
4681,3216,56000,180.1
4691,3212,55000,176.7
4701,3216,55600,178.8
4711,3212,55200,177.3
4721,3216,55600,178.8
4731,3212,55500,178.3
4741,3212,54800,176.0
4751,3212,56100,180.2
4761,3212,54700,175.7
4771,3212,56200,180.5
4781,3212,54700,175.7
4791,3216,56300,181.1
4801,3212,54600,175.4
4811,3216,56200,180.7
4821,3212,54600,175.4
4831,3216,56200,180.7
4841,3212,54900,176.3
4851,3216,55600,178.8
4861,3212,55200,177.3
4871,3216,55500,178.5
4881,3212,55300,177.6
4891,3216,54900,176.6
4901,3212,56100,180.2
4911,3212,54600,175.4
4921,3112,116300,361.9
4931,3212,54700,175.7
4941,3072,206400,634.1
4951,3212,54600,175.4
4961,3216,56200,180.7
4971,3212,54600,175.4
4981,3216,56200,180.7
4991,3212,54700,175.7
5001,3216,55700,179.1
5011,3212,55300,177.6
5021,3212,55600,178.6
5031,3212,55300,177.6
5041,3212,54900,176.3
5051,3216,56100,180.4
5061,3216,54700,175.9
5071,3212,56200,180.5
5081,3212,54600,175.4
5091,3216,56200,180.7
5101,3212,54600,175.4
5111,3216,56200,180.7
5121,3212,54700,175.7
5131,3216,56200,180.7
5141,3212,54600,175.4
5151,3216,55700,179.1
5161,3212,55100,177.0
5171,3216,55600,178.8
5181,3216,55300,177.8
5191,3212,55100,177.0
5201,3216,56000,180.1
5211,3212,54700,175.7
5221,3216,56200,180.7
5231,3212,54600,175.4
5241,3216,56200,180.7
5251,3212,54700,175.7
5261,3216,56200,180.7
5271,3212,54600,175.4
5281,3212,56200,180.5
5291,3212,54700,175.7
5301,3216,55700,179.1
5311,3212,55100,177.0
5321,3216,55500,178.5
5331,3212,55300,177.6
5341,3212,55100,177.0
5351,3212,55900,179.6
5361,3212,54700,175.7
5371,3216,56200,180.7
5381,3212,54600,175.4
5392,3216,56200,180.7
5401,3212,54600,175.4
5411,3216,56200,180.7
5421,3212,76400,245.4
5431,3044,144700,440.5
5441,3212,54700,175.7
5451,3216,55800,179.5
5461,3216,55100,177.2
5471,3216,55600,178.8
5481,3212,55300,177.6
5491,3212,55300,177.6
5501,3216,55700,179.1
5511,3212,54800,176.0
5521,3216,58800,189.1
5531,3212,54600,175.4
5541,3080,168000,517.4
5551,3212,54700,175.7
5561,3216,56200,180.7
5571,3212,54600,175.4
5581,3212,56200,180.5
5591,3212,54600,175.4
5601,3216,56000,180.1
5611,3212,55000,176.7
5621,3216,55600,178.8
5631,3212,55200,177.3
5641,3212,55500,178.3
5651,3016,135900,409.9
5661,3212,54800,176.0
5671,3216,56200,180.7
5681,3212,54700,175.7
5691,3216,56200,180.7
5701,3212,54700,175.7
5711,3216,56200,180.7
5721,3212,54700,175.7
5731,3216,56200,180.7
5741,3216,54600,175.6
5751,3068,143400,440.0
5761,3212,55000,176.7
5771,3216,55600,178.8
5781,3212,55200,177.3
5791,3216,55600,178.8
5801,3216,55300,177.8
5811,3212,54800,176.0
5821,3216,56100,180.4
5831,3212,54700,175.7
5841,3216,56200,180.7
5851,3212,56900,182.8
5861,3196,56600,180.9
5871,3212,54700,175.7
5881,3216,56200,180.7
5891,3212,54600,175.4
5901,3216,56200,180.7
5911,3212,54800,176.0
5921,3212,55700,178.9
5931,3212,55200,177.3
5941,3216,55600,178.8
5951,3212,55300,177.6
5961,3096,55700,172.4
5971,3216,56000,180.1
5981,3212,54700,175.7
5991,3216,56200,180.7
6001,3212,54600,175.4
6011,3216,56200,180.7
6021,3216,54700,175.9
6031,3216,56200,180.7
6041,3212,54700,175.7
6051,3216,56200,180.7
6061,3212,54700,175.7
6071,3216,55700,179.1
6081,3216,55200,177.5
6091,3212,55600,178.6
6101,3212,55300,177.6
6111,3216,55000,176.9
6121,3216,56000,180.1
6131,3212,54700,175.7
6141,3216,56100,180.4
6151,3212,54600,175.4
6161,3216,56200,180.7
6171,3072,176100,541.0
6181,3216,56200,180.7
6191,3212,54600,175.4
6201,3216,56200,180.7
6211,3216,54600,175.6
6221,3212,55700,178.9
6231,3068,64000,196.4
6241,3216,55600,178.8
6251,3216,55300,177.8
6261,3216,55200,177.5
6271,3052,143300,437.4
6281,3212,54700,175.7
6291,3216,56200,180.7
6301,3212,54700,175.7
6311,3216,56300,181.1
6321,3216,54600,175.6
6331,3064,96600,296.0
6341,3212,54700,175.7
6351,3216,56300,181.1
6361,3212,54700,175.7
6371,3216,55900,179.8
6381,2956,145400,429.8
6391,3212,55600,178.6
6401,3212,55300,177.6
6411,3212,55400,177.9
6421,3212,55800,179.2
6431,3212,68700,220.7
6441,3216,56200,180.7
6451,3212,54700,175.7
6461,3216,56200,180.7
6471,3212,54700,175.7
6481,3068,146300,448.8
6491,3212,54700,175.7
6501,3216,56200,180.7
6511,3212,54700,175.7
6521,3216,56000,180.1
6531,3212,55000,176.7
6541,3216,55600,178.8
6551,3212,55200,177.3
6561,3216,55500,178.5
6571,3216,55600,178.8
6581,3216,54800,176.2
6591,3080,138800,427.5
6601,3212,54700,175.7
6611,3216,56200,180.7
6621,3212,54600,175.4
6631,3216,56200,180.7
6641,3212,54700,175.7
6651,3216,56200,180.7
6661,3212,54700,175.7
6671,3216,56200,180.7
6681,3212,54900,176.3
6691,3204,145500,466.2
6701,3212,55200,177.3
6711,3212,55600,178.6
6721,3212,55400,177.9
6731,3212,54800,176.0
6741,3216,56200,180.7
6751,3212,54700,175.7
6761,3216,56200,180.7
6771,3212,54700,175.7
6781,3216,56200,180.7
6791,3212,54700,175.7
6801,3028,76200,230.7
6811,3212,54700,175.7
6821,3216,56200,180.7
6831,3212,54800,176.0
6841,3216,55600,178.8
6851,3212,55200,177.3
6861,3216,55500,178.5
6871,3216,55200,177.5
6881,3212,54900,176.3
6891,3216,56000,180.1
6901,2968,155900,462.7
6911,3216,56300,181.1
6921,3212,54600,175.4
6931,3216,56200,180.7
6941,3212,54700,175.7
6951,3216,56200,180.7
6961,3212,54700,175.7
6971,3212,56200,180.5
6981,3212,54700,175.7
6991,3212,55600,178.6
7001,3212,55200,177.3
7011,3072,205900,632.5
7021,3216,55200,177.5
7031,3212,55000,176.7
7041,3212,56000,179.9
7051,3212,54700,175.7
7061,3212,56200,180.5
7071,3212,54700,175.7
7081,3216,56200,180.7
7091,3212,54700,175.7
7101,3216,56200,180.7
7111,3212,54700,175.7
7121,3080,206900,637.3
7131,3212,54700,175.7
7141,3216,55800,179.5
7151,3212,55200,177.3
7161,3216,55600,178.8
7172,3212,55900,179.6
7181,3216,55100,177.2
7191,3212,55900,179.6
7201,3212,54700,175.7
7211,3216,56200,180.7
7221,2968,133200,395.3
7231,3216,56300,181.1
7241,3212,85300,274.0
7251,3216,56200,180.7
7261,3212,54700,175.7
