ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D2B_SCAN90, buf_size=512
# condition_label=F4-01-100
20,ADV,-36,8,F4-01-100,e0:5a:1b:15:c4:ca,8_F4-01-100
130,ADV,-38,9,F4-01-100,e0:5a:1b:15:c4:ca,9_F4-01-100
447,ADV,-36,12,F4-01-100,e0:5a:1b:15:c4:ca,12_F4-01-100
651,ADV,-39,14,F4-00-100,e0:5a:1b:15:c4:ca,14_F4-00-100
758,ADV,-46,15,F4-00-100,e0:5a:1b:15:c4:ca,15_F4-00-100
864,ADV,-46,16,F4-00-100,e0:5a:1b:15:c4:ca,16_F4-00-100
967,ADV,-36,17,F4-00-100,e0:5a:1b:15:c4:ca,17_F4-00-100
1064,ADV,-38,18,F4-00-100,e0:5a:1b:15:c4:ca,18_F4-00-100
1166,ADV,-38,19,F4-00-100,e0:5a:1b:15:c4:ca,19_F4-00-100
1278,ADV,-45,20,F4-00-100,e0:5a:1b:15:c4:ca,20_F4-00-100
1486,ADV,-36,22,F4-00-100,e0:5a:1b:15:c4:ca,22_F4-00-100
1585,ADV,-39,23,F4-00-100,e0:5a:1b:15:c4:ca,23_F4-00-100
1698,ADV,-47,24,F4-00-100,e0:5a:1b:15:c4:ca,24_F4-00-100
1797,ADV,-47,25,F4-00-100,e0:5a:1b:15:c4:ca,25_F4-00-100
1901,ADV,-36,26,F4-00-100,e0:5a:1b:15:c4:ca,26_F4-00-100
2107,ADV,-38,28,F4-00-100,e0:5a:1b:15:c4:ca,28_F4-00-100
2212,ADV,-46,30,F4-00-100,e0:5a:1b:15:c4:ca,30_F4-00-100
2416,ADV,-37,32,F4-00-100,e0:5a:1b:15:c4:ca,32_F4-00-100
2521,ADV,-38,33,F4-00-100,e0:5a:1b:15:c4:ca,33_F4-00-100
2623,ADV,-38,34,F4-00-100,e0:5a:1b:15:c4:ca,34_F4-00-100
2734,ADV,-47,35,F4-00-100,e0:5a:1b:15:c4:ca,35_F4-00-100
2832,ADV,-36,36,F4-00-100,e0:5a:1b:15:c4:ca,36_F4-00-100
2946,ADV,-36,37,F4-00-100,e0:5a:1b:15:c4:ca,37_F4-00-100
3052,ADV,-35,38,F4-00-100,e0:5a:1b:15:c4:ca,38_F4-00-100
3159,ADV,-46,39,F4-00-100,e0:5a:1b:15:c4:ca,39_F4-00-100
3362,ADV,-36,41,F4-00-100,e0:5a:1b:15:c4:ca,41_F4-00-100
3474,ADV,-38,42,F4-00-100,e0:5a:1b:15:c4:ca,42_F4-00-100
3675,ADV,-47,44,F4-00-100,e0:5a:1b:15:c4:ca,44_F4-00-100
3779,ADV,-36,45,F4-00-100,e0:5a:1b:15:c4:ca,45_F4-00-100
3887,ADV,-36,46,F4-00-100,e0:5a:1b:15:c4:ca,46_F4-00-100
3996,ADV,-39,47,F4-00-100,e0:5a:1b:15:c4:ca,47_F4-00-100
4099,ADV,-45,48,F4-00-100,e0:5a:1b:15:c4:ca,48_F4-00-100
4207,ADV,-46,49,F4-00-100,e0:5a:1b:15:c4:ca,49_F4-00-100
4309,ADV,-36,50,F4-00-100,e0:5a:1b:15:c4:ca,50_F4-00-100
4421,ADV,-38,51,F4-00-100,e0:5a:1b:15:c4:ca,51_F4-00-100
4518,ADV,-39,52,F4-00-100,e0:5a:1b:15:c4:ca,52_F4-00-100
4620,ADV,-45,53,F4-00-100,e0:5a:1b:15:c4:ca,53_F4-00-100
4724,ADV,-36,54,F4-00-100,e0:5a:1b:15:c4:ca,54_F4-00-100
4835,ADV,-36,55,F4-00-100,e0:5a:1b:15:c4:ca,55_F4-00-100
4932,ADV,-39,56,F4-00-100,e0:5a:1b:15:c4:ca,56_F4-00-100
5144,ADV,-46,59,F4-00-100,e0:5a:1b:15:c4:ca,59_F4-00-100
5240,ADV,-36,60,F4-00-100,e0:5a:1b:15:c4:ca,60_F4-00-100
5345,ADV,-36,61,F4-00-100,e0:5a:1b:15:c4:ca,61_F4-00-100
5452,ADV,-39,62,F4-00-100,e0:5a:1b:15:c4:ca,62_F4-00-100
5556,ADV,-47,63,F4-00-100,e0:5a:1b:15:c4:ca,63_F4-00-100
5666,ADV,-45,64,F4-00-100,e0:5a:1b:15:c4:ca,64_F4-00-100
5767,ADV,-36,65,F4-00-100,e0:5a:1b:15:c4:ca,65_F4-00-100
5869,ADV,-38,66,F4-00-100,e0:5a:1b:15:c4:ca,66_F4-00-100
5974,ADV,-39,67,F4-00-100,e0:5a:1b:15:c4:ca,67_F4-00-100
