ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=6, tag=s4_policy, subject=uccs_d2_scan90_d2b
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard_ms=100
12,3260,54700,178.3
21,3260,55700,181.6
31,3264,55400,180.8
41,3260,55700,181.6
51,3260,55300,180.3
61,3264,55400,180.8
71,3264,56000,182.8
81,3260,54800,178.6
91,3264,56300,183.8
101,3260,54700,178.3
111,3264,56400,184.1
121,3260,54700,178.3
131,3264,56300,183.8
141,3260,54800,178.6
151,3264,56300,183.8
161,3260,54700,178.3
171,3264,56300,183.8
181,3264,55000,179.5
191,3140,139400,437.7
201,3260,55400,180.6
211,3260,55700,181.6
221,3260,55400,180.6
231,3264,54800,178.9
241,3264,56300,183.8
251,3260,54800,178.6
261,3260,56300,183.5
271,3260,54700,178.3
281,3264,56300,183.8
291,3260,54800,178.6
301,3260,56400,183.9
311,3260,54800,178.6
321,3260,56300,183.5
331,3260,54800,178.6
341,3260,55800,181.9
351,3260,55400,180.6
361,3264,55700,181.8
371,3264,55400,180.8
381,3264,55500,181.2
391,3260,56000,182.6
401,3260,54700,178.3
411,3264,56300,183.8
421,3260,54800,178.6
431,3260,56300,183.5
441,3264,54700,178.5
451,3264,56300,183.8
461,3264,54700,178.5
471,3264,56300,183.8
481,3260,54800,178.6
491,3260,56300,183.5
501,3260,54900,179.0
511,3264,55700,181.8
521,3264,55300,180.5
531,3260,55700,181.6
541,3260,55400,180.6
551,3260,54800,178.6
561,3264,56300,183.8
571,3260,54700,178.3
581,3264,56300,183.8
591,3264,54800,178.9
601,3264,56300,183.8
611,3260,54700,178.3
621,3264,56300,183.8
631,3260,54700,178.3
641,3260,56300,183.5
651,3260,54700,178.3
661,3264,55800,182.1
671,3260,55300,180.3
681,3260,55700,181.6
691,3260,55300,180.3
701,3132,134900,422.5
711,3260,55800,181.9
721,3260,54800,178.6
731,3260,56300,183.5
741,3260,54700,178.3
751,3260,56300,183.5
761,3260,54700,178.3
771,3264,56300,183.8
781,3260,54700,178.3
791,3264,56300,183.8
801,3260,54700,178.3
811,3260,56300,183.5
821,3260,54800,178.6
831,3260,55700,181.6
841,3260,55400,180.6
851,3264,55600,181.5
861,3260,55400,180.6
871,3260,54900,179.0
881,3260,56300,183.5
891,3260,54700,178.3
901,3264,56200,183.4
911,3260,54700,178.3
921,3264,56300,183.8
931,3260,54700,178.3
941,3264,56300,183.8
951,3260,54700,178.3
961,3260,56300,183.5
971,3260,54700,178.3
981,3264,55800,182.1
991,3260,55300,180.3
1001,3264,55600,181.5
1011,3264,55400,180.8
1021,3264,55600,181.5
1031,3260,55700,181.6
1041,3260,54700,178.3
1051,3264,56300,183.8
1061,3260,54700,178.3
1071,3260,56300,183.5
1081,3260,54700,178.3
1091,3264,56300,183.8
1101,3260,54700,178.3
1111,3264,56300,183.8
1121,3260,54700,178.3
1131,3264,56300,183.8
1141,3260,54800,178.6
1151,3264,55600,181.5
1161,3260,55300,180.3
1171,3260,55700,181.6
1181,3260,128800,419.9
1191,3260,54900,179.0
1201,3188,143200,456.5
1211,3260,54700,178.3
1221,3264,56300,183.8
1231,3260,54700,178.3
1241,3260,56300,183.5
1251,3260,54700,178.3
1261,3264,56300,183.8
