ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=7, tag=unk, subject=uccs_d2_scan90_d2b
11,3260,55100,179.6
20,3256,69000,224.7
30,3260,55200,180.0
40,3260,54800,178.6
50,3260,54700,178.3
60,3260,55400,180.6
70,3260,54100,176.4
80,3260,55700,181.6
90,3260,54200,176.7
100,3260,55800,181.9
110,3260,54200,176.7
120,3260,55800,181.9
130,3260,54200,176.7
140,3260,55800,181.9
150,3260,54200,176.7
160,3260,55700,181.6
170,3260,54200,176.7
180,3260,55300,180.3
190,3260,54700,178.3
200,3260,55100,179.6
210,3260,54800,178.6
220,3260,55100,179.6
230,3260,54800,178.6
240,3260,54200,176.7
250,3260,55700,181.6
260,3260,54100,176.4
270,3260,55700,181.6
280,3260,54200,176.7
290,3260,55700,181.6
300,3260,54200,176.7
310,3260,55700,181.6
320,3260,54200,176.7
330,3260,55800,181.9
340,3256,54200,176.5
350,3260,55700,181.6
360,3260,54200,176.7
370,3260,55200,180.0
380,3260,54800,178.6
390,3260,55100,179.6
400,3260,54800,178.6
410,3264,55000,179.5
420,3260,55100,179.6
430,3260,54200,176.7
440,3260,55700,181.6
450,3260,54200,176.7
460,3260,55800,181.9
470,3260,54200,176.7
480,3260,55700,181.6
490,3260,54200,176.7
500,3260,55700,181.6
510,3260,67100,218.7
520,3260,55700,181.6
530,3184,149100,474.7
540,3260,55700,181.6
550,3260,54400,177.3
560,3260,55200,180.0
570,3260,54800,178.6
580,3260,55100,179.6
590,3260,54800,178.6
600,3260,54500,177.7
610,3260,55600,181.3
620,3260,54200,176.7
630,3260,55700,181.6
640,3260,54200,176.7
650,3260,55700,181.6
660,3260,54200,176.7
670,3260,55700,181.6
680,3260,54200,176.7
690,3260,55800,181.9
700,3260,54200,176.7
710,3260,55800,181.9
720,3260,54200,176.7
730,3260,55200,180.0
740,3260,54700,178.3
750,3260,55100,179.6
760,3260,54700,178.3
770,3260,55100,179.6
780,3260,54900,179.0
790,3260,54200,176.7
800,3260,55700,181.6
810,3260,54200,176.7
820,3260,55700,181.6
830,3256,54200,176.5
840,3260,55700,181.6
850,3260,54200,176.7
860,3260,55700,181.6
870,3260,54200,176.7
880,3260,55700,181.6
890,3260,54100,176.4
900,3260,55700,181.6
910,3260,54100,176.4
920,3260,55100,179.6
930,3260,54800,178.6
940,3260,55100,179.6
950,3260,54800,178.6
960,3260,54900,179.0
970,3260,55300,180.3
980,3260,54100,176.4
990,3260,55800,181.9
1000,3260,54200,176.7
1010,3192,107300,342.5
1020,3128,139400,436.0
1030,3260,55700,181.6
1040,3260,54100,176.4
1050,3260,55800,181.9
1060,3260,54200,176.7
1070,3260,55700,181.6
