ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D2B_SCAN90, buf_size=512
# condition_label=F4-03-500
197,ADV,-42,1795,F4-03-500,e0:5a:1b:15:c4:ca,1795_F4-03-500
701,ADV,-42,5,P4-01-500,e0:5a:1b:15:c4:ca,5_P4-01-500
1208,ADV,-42,10,P4-01-500,e0:5a:1b:15:c4:ca,10_P4-01-500
1807,ADV,-36,16,P4-00-100,e0:5a:1b:15:c4:ca,16_P4-00-100
2126,ADV,-42,19,P4-00-100,e0:5a:1b:15:c4:ca,19_P4-00-100
2222,ADV,-36,20,P4-00-100,e0:5a:1b:15:c4:ca,20_P4-00-100
2326,ADV,-36,21,P4-00-100,e0:5a:1b:15:c4:ca,21_P4-00-100
2430,ADV,-34,22,P4-00-100,e0:5a:1b:15:c4:ca,22_P4-00-100
2537,ADV,-43,23,P4-00-100,e0:5a:1b:15:c4:ca,23_P4-00-100
2640,ADV,-42,24,P4-00-100,e0:5a:1b:15:c4:ca,24_P4-00-100
2743,ADV,-39,25,P4-00-100,e0:5a:1b:15:c4:ca,25_P4-00-100
2846,ADV,-34,26,P4-00-100,e0:5a:1b:15:c4:ca,26_P4-00-100
2952,ADV,-34,27,P4-00-100,e0:5a:1b:15:c4:ca,27_P4-00-100
3053,ADV,-42,28,P4-00-100,e0:5a:1b:15:c4:ca,28_P4-00-100
3155,ADV,-37,29,P4-00-100,e0:5a:1b:15:c4:ca,29_P4-00-100
3255,ADV,-36,30,P4-00-100,e0:5a:1b:15:c4:ca,30_P4-00-100
3357,ADV,-34,31,P4-00-100,e0:5a:1b:15:c4:ca,31_P4-00-100
3571,ADV,-42,33,P4-00-100,e0:5a:1b:15:c4:ca,33_P4-00-100
3667,ADV,-35,34,P4-00-100,e0:5a:1b:15:c4:ca,34_P4-00-100
3769,ADV,-36,35,P4-00-100,e0:5a:1b:15:c4:ca,35_P4-00-100
3873,ADV,-34,36,P4-00-100,e0:5a:1b:15:c4:ca,36_P4-00-100
3979,ADV,-43,37,P4-00-100,e0:5a:1b:15:c4:ca,37_P4-00-100
4084,ADV,-42,38,P4-00-100,e0:5a:1b:15:c4:ca,38_P4-00-100
4186,ADV,-36,39,P4-00-100,e0:5a:1b:15:c4:ca,39_P4-00-100
4290,ADV,-34,40,P4-00-100,e0:5a:1b:15:c4:ca,40_P4-00-100
4397,ADV,-34,41,P4-00-100,e0:5a:1b:15:c4:ca,41_P4-00-100
4607,ADV,-36,43,P4-00-100,e0:5a:1b:15:c4:ca,43_P4-00-100
4715,ADV,-36,44,P4-00-100,e0:5a:1b:15:c4:ca,44_P4-00-100
4817,ADV,-34,45,P4-00-100,e0:5a:1b:15:c4:ca,45_P4-00-100
4924,ADV,-42,47,P4-00-100,e0:5a:1b:15:c4:ca,47_P4-00-100
5030,ADV,-42,48,P4-00-100,e0:5a:1b:15:c4:ca,48_P4-00-100
5133,ADV,-36,49,P4-00-100,e0:5a:1b:15:c4:ca,49_P4-00-100
5240,ADV,-33,50,P4-00-100,e0:5a:1b:15:c4:ca,50_P4-00-100
5341,ADV,-34,51,P4-00-100,e0:5a:1b:15:c4:ca,51_P4-00-100
5453,ADV,-43,52,P4-00-100,e0:5a:1b:15:c4:ca,52_P4-00-100
5643,ADV,-36,54,P4-00-100,e0:5a:1b:15:c4:ca,54_P4-00-100
5758,ADV,-34,55,P4-00-100,e0:5a:1b:15:c4:ca,55_P4-00-100
5967,ADV,-43,57,P4-00-100,e0:5a:1b:15:c4:ca,57_P4-00-100
6043,ADV,-36,58,P4-00-500,e0:5a:1b:15:c4:ca,58_P4-00-500
