ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=2, tag=s1_fixed500, subject=uccs_d2_scan90_d2b
12,3060,140200,429.0
21,3216,55200,177.5
31,3216,56200,180.7
41,3216,54700,175.9
51,3220,56300,181.3
61,3216,54700,175.9
71,3220,56200,181.0
81,3196,71100,227.2
91,3220,56300,181.3
101,3216,54700,175.9
111,3216,56100,180.4
121,3216,55100,177.2
131,3216,55700,179.1
141,3216,55300,177.8
151,3216,55700,179.1
161,3216,55400,178.2
171,3216,55600,178.8
181,3216,57800,185.9
191,3216,54800,176.2
201,3216,56300,181.1
211,3216,54700,175.9
221,3072,143200,439.9
231,3216,54700,175.9
241,3216,56300,181.1
251,3216,54700,175.9
261,3216,56200,180.7
271,3216,54700,175.9
281,3220,55800,179.7
291,3216,55200,177.5
301,3216,55700,179.1
311,3220,55300,178.1
321,3216,55600,178.8
331,2968,126800,376.3
341,3216,55000,176.9
351,3216,56300,181.1
361,3216,54700,175.9
371,3216,56300,181.1
381,3212,54700,175.7
391,3220,56200,181.0
401,3212,54700,175.7
411,3216,56200,180.7
421,3216,54700,175.9
431,3216,56000,180.1
441,3216,55300,177.8
451,3216,55700,179.1
461,3216,55300,177.8
471,3216,55600,178.8
481,3216,55600,178.8
491,3216,55400,178.2
501,3220,56200,181.0
511,3216,54800,176.2
521,3216,56200,180.7
531,3216,54700,175.9
541,3080,140100,431.5
551,3216,54700,175.9
561,3220,56300,181.3
571,3216,54700,175.9
581,3216,56300,181.1
591,3216,54900,176.6
601,3216,55700,179.1
611,3216,55300,177.8
621,3216,55600,178.8
631,3216,55400,178.2
641,3216,55600,178.8
651,2968,125800,373.4
661,3216,54900,176.6
671,3216,56300,181.1
681,3216,54700,175.9
691,3220,56200,181.0
701,3216,54700,175.9
711,3220,56300,181.3
721,3216,54700,175.9
731,3216,56300,181.1
741,3216,54700,175.9
751,3068,59100,181.3
761,3216,55200,177.5
771,3216,55600,178.8
781,3216,55300,177.8
791,3216,55700,179.1
801,3216,55900,179.8
811,3216,55200,177.5
821,3216,56200,180.7
831,3216,54700,175.9
841,3220,56300,181.3
851,3072,143200,439.9
861,3216,56300,181.1
871,3216,54600,175.6
881,3216,56300,181.1
891,3052,69100,210.9
901,3216,56200,180.7
911,3216,55000,176.9
921,3216,55700,179.1
931,3216,55300,177.8
941,3216,55600,178.8
951,3216,55300,177.8
961,3216,56000,180.1
971,3216,56100,180.4
981,3216,54800,176.2
991,3120,123000,383.8
1001,3216,54700,175.9
1011,3216,56300,181.1
1021,3216,54700,175.9
1031,3216,56200,180.7
1041,3216,54700,175.9
1051,3220,56300,181.3
1061,2972,147100,437.2
1071,3216,55800,179.5
1081,3216,55200,177.5
1091,3208,80000,256.6
1101,3216,55300,177.8
1111,3216,55600,178.8
1121,3216,56000,180.1
1131,3216,55000,176.9
1141,3220,56200,181.0
1151,3216,54800,176.2
1161,3076,203800,626.9
1171,3216,54800,176.2
1181,3220,56300,181.3
1191,3216,54700,175.9
1201,3220,56300,181.3
