ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=6, tag=s4_policy, subject=uccs_d2_scan90_d2b
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard_ms=100
12,3216,54500,175.3
21,3220,56000,180.3
31,3216,54500,175.3
41,3220,56000,180.3
51,3216,54900,176.6
61,3216,55600,178.8
71,3220,55000,177.1
81,3220,55400,178.4
91,3220,55200,177.7
101,3216,55300,177.8
111,3216,55900,179.8
121,3220,54600,175.8
131,3220,55900,180.0
141,3216,54400,175.0
151,3220,56000,180.3
161,3216,54400,175.0
171,3220,56000,180.3
181,3076,141300,434.6
191,3220,56000,180.3
201,3216,54500,175.3
211,3220,56000,180.3
221,3216,54900,176.6
231,3216,55600,178.8
241,3220,55100,177.4
251,3220,55400,178.4
261,3220,55300,178.1
271,3220,55300,178.1
281,3220,56000,180.3
291,3220,54500,175.5
301,3220,56000,180.3
311,3216,54400,175.0
321,3220,56000,180.3
331,3216,54400,175.0
341,3220,56000,180.3
351,3216,54500,175.3
361,3220,56100,180.6
371,3220,54500,175.5
381,3220,56000,180.3
391,3220,54900,176.8
401,3220,55600,179.0
411,3216,55100,177.2
421,3220,55400,178.4
431,3216,55300,177.8
441,3220,55200,177.7
451,3220,56000,180.3
461,3216,54600,175.6
471,3220,56000,180.3
481,3216,54500,175.3
491,3220,56000,180.3
501,3216,54500,175.3
511,3220,56000,180.3
521,3216,54500,175.3
531,3220,56000,180.3
541,3216,54500,175.3
551,3220,56000,180.3
561,3216,54900,176.6
571,3216,55500,178.5
581,3216,55100,177.2
591,3220,55400,178.4
601,3216,55300,177.8
611,3220,55200,177.7
621,3220,55900,180.0
631,3216,54600,175.6
641,3220,56000,180.3
651,3216,54500,175.3
661,3220,56000,180.3
671,3216,54500,175.3
681,3220,56000,180.3
691,3212,54700,175.7
701,3220,56000,180.3
711,3216,54500,175.3
721,3220,56000,180.3
731,3216,54900,176.6
741,3220,55500,178.7
751,3216,55000,176.9
761,3216,55400,178.2
771,3220,55400,178.4
781,3220,55100,177.4
791,3220,55900,180.0
801,3220,54500,175.5
811,3220,55900,180.0
821,3216,54400,175.0
831,3220,56000,180.3
841,3216,54500,175.3
851,3220,56000,180.3
861,3216,54400,175.0
871,3220,56000,180.3
881,3216,54400,175.0
891,3220,56000,180.3
901,3216,55000,176.9
911,3220,55500,178.7
921,3220,55000,177.1
931,3216,55400,178.2
941,3216,55400,178.2
951,3220,55100,177.4
961,3216,56000,180.1
971,3216,54500,175.3
981,3220,56000,180.3
991,3216,54400,175.0
1001,3216,56000,180.1
1011,3216,54500,175.3
1021,3220,56000,180.3
1031,3216,54500,175.3
1041,3220,56000,180.3
1051,3216,54500,175.3
1061,3220,56000,180.3
1071,3216,55000,176.9
1081,3220,55500,178.7
1091,3216,55100,177.2
1101,3220,55400,178.4
1111,3220,55500,178.7
1121,3216,55000,176.9
1131,3220,55900,180.0
1141,3216,54500,175.3
1151,3220,56000,180.3
1161,3216,54400,175.0
1171,3124,126200,394.2
1181,3216,54500,175.3
1191,3216,65400,210.3
1201,3216,54500,175.3
1211,3220,56000,180.3
1221,3216,54400,175.0
1231,3220,56000,180.3
1241,3216,55000,176.9
1251,3216,55500,178.5
1261,3216,55100,177.2
