ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=7, tag=unk, subject=uccs_d2_scan90_d2b
12,3220,55400,178.4
21,3216,55100,177.2
31,3220,55400,178.4
41,3216,55200,177.5
51,3216,54600,175.6
61,3220,55900,180.0
71,3216,54500,175.3
81,3220,56000,180.3
91,3216,54500,175.3
101,3220,56000,180.3
111,3216,54500,175.3
121,3220,56100,180.6
131,3216,54500,175.3
141,3220,56000,180.3
151,3216,54900,176.6
161,3220,55700,179.4
171,3216,55000,176.9
181,3076,142900,439.6
191,3216,55100,177.2
201,3220,55400,178.4
211,3216,55400,178.2
221,3216,54600,175.6
231,3216,56000,180.1
241,3216,54500,175.3
251,3220,56000,180.3
261,3216,54500,175.3
271,3220,56100,180.6
281,3216,54500,175.3
291,3220,56000,180.3
301,3216,54500,175.3
311,3220,56000,180.3
321,3216,54500,175.3
331,3220,55600,179.0
341,3216,55000,176.9
351,3220,55400,178.4
361,3216,55100,177.2
371,3220,55100,177.4
381,3216,55600,178.8
391,3216,54500,175.3
401,3220,56000,180.3
411,3220,54500,175.5
421,3220,56000,180.3
431,3216,54500,175.3
441,3220,56000,180.3
451,3216,54400,175.0
461,3220,56000,180.3
471,3216,54500,175.3
481,3220,56100,180.6
491,3216,54700,175.9
501,3220,55500,178.7
511,3216,55000,176.9
521,3216,55500,178.5
531,3216,55100,177.2
541,3216,54800,176.2
551,3220,55800,179.7
561,3216,54500,175.3
571,3220,55900,180.0
581,3216,54500,175.3
591,3220,56000,180.3
601,3216,54500,175.3
611,3220,56100,180.6
621,3216,54500,175.3
631,3220,56000,180.3
641,3220,54700,176.1
651,3220,55900,180.0
661,3220,54800,176.5
671,3208,55600,178.4
681,3216,55100,177.2
691,3092,209700,648.4
701,3220,55100,177.4
711,3216,54800,176.2
721,3220,56000,180.3
731,3216,54500,175.3
741,3220,56100,180.6
751,3216,54500,175.3
761,3220,56100,180.6
771,3216,54500,175.3
781,3220,56000,180.3
791,3216,54500,175.3
801,3220,56100,180.6
811,3216,54900,176.6
821,3220,55700,179.4
831,3216,54900,176.6
841,3220,55500,178.7
851,3216,55100,177.2
861,3220,55400,178.4
871,3220,55400,178.4
881,3216,54600,175.6
891,3220,56000,180.3
901,3216,54500,175.3
911,3220,56100,180.6
