ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D2_SCAN90, buf_size=512
# condition_label=F500
473,ADV,-63,940,F500,e0:5a:1b:15:c4:ca,940_F500
979,ADV,-46,1440,F500,e0:5a:1b:15:c4:ca,1440_F500
1476,ADV,-46,1940,F500,e0:5a:1b:15:c4:ca,1940_F500
1975,ADV,-46,2440,F500,e0:5a:1b:15:c4:ca,2440_F500
2476,ADV,-46,2940,F500,e0:5a:1b:15:c4:ca,2940_F500
2992,ADV,-44,3440,F500,e0:5a:1b:15:c4:ca,3440_F500
3493,ADV,-45,3940,F500,e0:5a:1b:15:c4:ca,3940_F500
3990,ADV,-46,4440,F500,e0:5a:1b:15:c4:ca,4440_F500
4498,ADV,-48,4940,F500,e0:5a:1b:15:c4:ca,4940_F500
5011,ADV,-48,5440,F500,e0:5a:1b:15:c4:ca,5440_F500
6016,ADV,-48,6440,F500,e0:5a:1b:15:c4:ca,6440_F500
