ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D1_SCAN90, cond_id=2, interval_ms=500, tag=fixed500, subject=uccs_d1_scan90
11,3292,-2600,-8.6
20,3292,-2600,-8.6
30,3292,-2600,-8.6
40,3292,-2700,-8.9
50,3292,-2700,-8.9
60,3292,-2600,-8.6
70,3292,-2600,-8.6
80,3292,-2600,-8.6
90,3292,-2700,-8.9
100,3292,-2600,-8.6
110,3292,-2700,-8.9
120,3292,-2600,-8.6
130,3292,-2600,-8.6
140,3292,-2600,-8.6
150,3292,-2600,-8.6
160,3292,-2700,-8.9
170,3292,-2600,-8.6
180,3292,-2700,-8.9
190,3292,-2600,-8.6
200,3292,-2600,-8.6
210,3292,-2700,-8.9
220,3292,-2600,-8.6
230,3292,-2600,-8.6
240,3292,-2600,-8.6
250,3292,-2700,-8.9
260,3292,-2700,-8.9
270,3292,-2600,-8.6
280,3292,-2700,-8.9
290,3292,-2600,-8.6
300,3292,-2600,-8.6
310,3292,-2700,-8.9
320,3292,-2700,-8.9
330,3292,-2600,-8.6
340,3296,-2700,-8.9
350,3292,-2600,-8.6
360,3292,-2700,-8.9
370,3292,-2600,-8.6
380,3292,-2600,-8.6
390,3292,-2600,-8.6
400,3292,-2600,-8.6
410,3292,-2600,-8.6
420,3292,-2600,-8.6
430,3292,-2600,-8.6
440,3292,-2600,-8.6
450,3292,-2600,-8.6
460,3292,-2700,-8.9
470,3292,-2600,-8.6
480,3292,-2600,-8.6
490,3292,-2700,-8.9
500,3292,-2600,-8.6
510,3292,-2600,-8.6
520,3292,-2700,-8.9
530,3292,-2600,-8.6
540,3292,-2600,-8.6
550,3292,-2700,-8.9
560,3292,-2600,-8.6
570,3292,-2700,-8.9
580,3292,-2600,-8.6
590,3292,-2700,-8.9
600,3292,-2700,-8.9
610,3292,-2600,-8.6
620,3292,-2600,-8.6
630,3292,-2700,-8.9
640,3292,-2700,-8.9
650,3292,-2600,-8.6
660,3292,-2600,-8.6
670,3292,-2600,-8.6
680,3292,-2700,-8.9
690,3292,-2600,-8.6
700,3292,-2600,-8.6
710,3292,-2600,-8.6
720,3292,-2600,-8.6
730,3292,-2600,-8.6
740,3292,-2600,-8.6
750,3292,-2600,-8.6
760,3292,-2600,-8.6
770,3292,-2700,-8.9
780,3292,-2600,-8.6
790,3292,-2600,-8.6
800,3292,-2600,-8.6
810,3292,-2700,-8.9
820,3292,-2600,-8.6
830,3292,-2600,-8.6
840,3292,-2600,-8.6
850,3292,-2700,-8.9
860,3292,-2600,-8.6
870,3292,-2700,-8.9
880,3292,-2600,-8.6
890,3292,-2600,-8.6
900,3292,-2600,-8.6
910,3292,-2600,-8.6
920,3292,-2700,-8.9
930,3292,-2700,-8.9
940,3292,-2600,-8.6
950,3292,-2600,-8.6
960,3292,-2700,-8.9
970,3292,-2600,-8.6
980,3296,-2600,-8.6
990,3292,-2600,-8.6
1000,3292,-2700,-8.9
1010,3292,-2600,-8.6
1020,3292,-2700,-8.9
1030,3292,-2600,-8.6
1040,3292,-2600,-8.6
1050,3292,-2600,-8.6
1060,3292,-2600,-8.6
1070,3292,-2600,-8.6
1080,3292,-2600,-8.6
1090,3292,-2600,-8.6
1100,3292,-2700,-8.9
1110,3292,-2600,-8.6
1120,3292,-2600,-8.6
1130,3292,-2600,-8.6
1140,3292,-2600,-8.6
1150,3292,-2600,-8.6
1160,3292,-2700,-8.9
1170,3292,-2600,-8.6
1180,3292,-2600,-8.6
1190,3292,-2700,-8.9
1200,3292,-2600,-8.6
1210,3292,-2600,-8.6
1220,3292,-2600,-8.6
1230,3292,-2700,-8.9
1240,3292,-2700,-8.9
1250,3292,-2600,-8.6
1260,3292,-2600,-8.6
1270,3292,-2700,-8.9
1280,3292,-2600,-8.6
1290,3292,-2600,-8.6
1300,3292,-2600,-8.6
1310,3292,-2600,-8.6
1320,3292,-2700,-8.9
1330,3292,-2600,-8.6
1340,3292,-2700,-8.9
1350,3292,-2600,-8.6
1360,3292,-2600,-8.6
1370,3292,-2600,-8.6
1380,3292,-2700,-8.9
1390,3292,-2600,-8.6
1400,3296,-2700,-8.9
1410,3292,-2600,-8.6
1420,3292,-2600,-8.6
1430,3292,-2700,-8.9
1440,3292,-2600,-8.6
1450,3292,-2700,-8.9
1460,3292,-2600,-8.6
1470,3292,-2600,-8.6
1480,3292,-2600,-8.6
1490,3292,-2600,-8.6
1500,3292,-2700,-8.9
1510,3292,-2600,-8.6
1520,3292,-2700,-8.9
1530,3292,-2600,-8.6
1540,3292,-2600,-8.6
1550,3292,-2600,-8.6
1560,3292,-2700,-8.9
1570,3292,-2600,-8.6
1580,3292,-2600,-8.6
1590,3292,-2600,-8.6
1600,3292,-2600,-8.6
1610,3292,-2700,-8.9
1620,3292,-2700,-8.9
1630,3292,-2600,-8.6
1640,3296,-2700,-8.9
