ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2_SCAN90, cond_id=0, tag=unk, subject=uccs_d2_scan90
12,3300,3200,10.6
21,3304,3200,10.6
31,3300,3200,10.6
41,3300,3200,10.6
51,3300,3200,10.6
61,3300,3200,10.6
71,3300,3200,10.6
81,3300,3200,10.6
91,3300,3200,10.6
101,3300,3200,10.6
111,3300,3200,10.6
121,3300,3200,10.6
131,3300,3200,10.6
141,3300,3200,10.6
151,3300,3200,10.6
161,3300,3200,10.6
171,3300,3200,10.6
181,3300,3200,10.6
191,3300,3200,10.6
201,3300,3300,10.9
211,3300,3100,10.2
221,3300,3200,10.6
231,3300,3200,10.6
241,3300,3200,10.6
251,3300,3100,10.2
261,3300,3200,10.6
271,3300,3200,10.6
281,3300,3200,10.6
291,3300,3200,10.6
301,3300,3200,10.6
311,3300,3200,10.6
321,3300,3200,10.6
331,3300,3200,10.6
341,3300,3200,10.6
351,3300,3200,10.6
361,3300,3200,10.6
371,3300,3200,10.6
381,3300,3200,10.6
391,3300,3200,10.6
401,3300,3200,10.6
411,3300,3200,10.6
421,3300,3100,10.2
431,3300,3200,10.6
441,3300,3200,10.6
451,3300,3200,10.6
461,3300,3200,10.6
471,3300,3200,10.6
481,3300,3200,10.6
491,3300,3300,10.9
501,3300,3200,10.6
511,3300,3200,10.6
521,3300,3300,10.9
531,3300,3200,10.6
541,3300,3200,10.6
551,3300,3200,10.6
561,3300,3200,10.6
571,3300,3200,10.6
581,3300,3200,10.6
591,3300,3200,10.6
601,3300,3200,10.6
611,3300,3200,10.6
621,3300,3300,10.9
631,3300,3200,10.6
641,3300,3200,10.6
651,3300,3100,10.2
661,3300,3200,10.6
671,3300,3200,10.6
681,3300,3200,10.6
691,3300,3100,10.2
701,3300,3200,10.6
711,3300,3200,10.6
721,3300,3200,10.6
731,3300,3200,10.6
741,3300,3200,10.6
751,3300,3200,10.6
761,3300,3200,10.6
771,3300,3200,10.6
781,3300,3200,10.6
791,3300,3200,10.6
801,3300,3200,10.6
811,3300,3300,10.9
821,3300,3200,10.6
831,3300,3200,10.6
841,3300,3100,10.2
851,3300,3200,10.6
861,3300,3200,10.6
871,3300,3100,10.2
881,3300,3200,10.6
891,3304,3200,10.6
901,3300,3200,10.6
911,3300,3100,10.2
921,3300,3200,10.6
931,3300,3100,10.2
941,3300,3300,10.9
951,3300,3200,10.6
961,3300,3300,10.9
971,3300,3200,10.6
981,3300,3200,10.6
991,3300,3100,10.2
1001,3300,3100,10.2
1011,3300,3200,10.6
1021,3300,3200,10.6
1031,3304,3200,10.6
1041,3300,3100,10.2
1051,3300,3200,10.6
