ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2_SCAN90, cond_id=5, tag=s4_fixed500, subject=uccs_d2_scan90
12,3232,54700,176.8
21,3236,56200,181.9
31,3232,54700,176.8
41,3232,56200,181.6
51,3232,55000,177.8
61,3232,56000,181.0
71,3232,55100,178.1
81,3232,55600,179.7
91,3232,55300,178.7
101,3232,55600,179.7
111,3232,55500,179.4
121,3232,54800,177.1
131,3232,56200,181.6
141,3232,54700,176.8
151,3232,56200,181.6
161,3120,202600,632.1
171,3236,56300,182.2
181,3232,54700,176.8
191,3232,56300,182.0
201,3232,54700,176.8
211,3232,56200,181.6
221,3232,55200,178.4
231,3232,55700,180.0
241,3232,55300,178.7
251,3232,55700,180.0
261,3232,55300,178.7
271,3232,55100,178.1
281,3232,56000,181.0
291,3232,54700,176.8
301,3232,56300,182.0
311,3232,54700,176.8
321,3232,56200,181.6
331,3232,54700,176.8
341,3232,56200,181.6
351,3232,54700,176.8
361,3236,56300,182.2
371,3232,54900,177.4
381,3232,56100,181.3
391,3228,55000,177.5
401,3232,55700,180.0
411,3232,55300,178.7
421,3232,55600,179.7
431,3232,55400,179.1
441,3232,54800,177.1
451,3232,56100,181.3
461,3232,54700,176.8
471,3236,56200,181.9
481,3232,54700,176.8
491,3232,56300,182.0
501,3232,54700,176.8
511,3232,56200,181.6
521,3232,54700,176.8
531,3232,56200,181.6
541,3232,55200,178.4
551,3232,55700,180.0
561,3232,55200,178.4
571,3232,55600,179.7
581,3232,55200,178.4
591,3232,55200,178.4
601,3228,55900,180.4
611,3232,54600,176.5
621,3232,56100,181.3
631,3232,54600,176.5
641,3236,56200,181.9
651,3232,54700,176.8
661,3232,72400,234.0
671,3232,54700,176.8
681,3232,56300,182.0
691,3232,54800,177.1
701,3232,56200,181.6
711,3232,55000,177.8
721,3232,55600,179.7
731,3232,55200,178.4
741,3232,55600,179.7
751,3232,55300,178.7
761,3232,54900,177.4
771,3232,56100,181.3
781,3232,54700,176.8
791,3232,56200,181.6
801,3232,54600,176.5
811,3232,56300,182.0
821,3232,54700,176.8
831,3236,56200,181.9
841,3232,54700,176.8
851,3232,56200,181.6
861,3232,55100,178.1
871,3232,55800,180.3
881,3232,55200,178.4
891,3232,55600,179.7
901,3232,55300,178.7
911,3232,55400,179.1
921,3232,55800,180.3
931,3232,54800,177.1
941,3232,56100,181.3
951,3232,54600,176.5
961,3232,56200,181.6
971,3232,54700,176.8
981,3232,56200,181.6
991,3232,54600,176.5
1001,3236,56200,181.9
1011,3232,54700,176.8
1021,3232,56200,181.6
1031,3232,55200,178.4
1041,3232,55700,180.0
1051,3232,55300,178.7
1061,3232,55600,179.7
1071,3232,55300,178.7
1081,3232,54900,177.4
1091,3232,56100,181.3
1101,3232,54700,176.8
1111,3232,56200,181.6
1121,3232,54800,177.1
1131,3232,56300,182.0
1141,3232,54700,176.8
1151,3232,56300,182.0
1161,3232,54700,176.8
1171,3232,84000,271.5
1181,3232,55100,178.1
1191,3232,55900,180.7
1201,3232,55200,178.4
1211,3232,55600,179.7
1221,3232,55300,178.7
1231,3232,55600,179.7
1241,3232,55700,180.0
1251,3232,54800,177.1
1261,3232,56100,181.3
1271,3232,54700,176.8
1281,3236,56200,181.9
1291,3232,54600,176.5
1301,3236,56300,182.2
1311,3232,54700,176.8
1321,3236,56300,182.2
1331,3232,54700,176.8
1341,3232,56200,181.6
1351,3232,55200,178.4
1361,3232,55700,180.0
1371,3232,55300,178.7
1381,3232,55600,179.7
1391,3232,55300,178.7
1401,3232,54900,177.4
1411,3232,56000,181.0
1421,3232,54700,176.8
1431,3232,56200,181.6
1441,3232,54700,176.8
1451,3236,56300,182.2
1461,3232,54600,176.5
1471,3232,56200,181.6
1481,3232,54700,176.8
1491,3232,56300,182.0
1501,3232,55000,177.8
1511,3236,56000,181.2
1521,3232,55100,178.1
1531,3232,55600,179.7
1541,3232,55300,178.7
1551,3232,55600,179.7
1561,3232,55500,179.4
1571,3232,54800,177.1
1581,3232,56200,181.6
1591,3232,54700,176.8
1601,3236,56200,181.9
1611,3232,54700,176.8
1621,3232,56200,181.6
1631,3232,54700,176.8
1641,3232,56200,181.6
1651,3128,60200,188.3
1661,3232,56200,181.6
1671,3232,55200,178.4
1681,3124,135200,422.4
1691,3232,55300,178.7
1701,3232,55700,180.0
1711,3232,55300,178.7
1721,3236,55100,178.3
1731,3232,56000,181.0
1741,3232,54800,177.1
1751,3232,56200,181.6
1761,3232,54600,176.5
1771,3232,56200,181.6
1781,3232,54700,176.8
1791,3232,56300,182.0
1801,3232,54700,176.8
1811,3232,56200,181.6
1821,3232,54900,177.4
1831,3232,56000,181.0
1842,3232,55200,178.4
1851,3232,55600,179.7
1861,3232,55200,178.4
1871,3232,55600,179.7
1881,3232,55400,179.1
1891,3232,54800,177.1
1901,3232,56200,181.6
1911,3232,54600,176.5
1921,3236,56200,181.9
1931,3232,54600,176.5
1941,3236,56300,182.2
1951,3232,54600,176.5
1961,3232,56300,182.0
1971,3232,54700,176.8
1981,3232,56300,182.0
1991,3232,55200,178.4
2001,3232,55700,180.0
2011,3232,55200,178.4
2021,3232,55600,179.7
2031,3232,55300,178.7
2041,3232,54900,177.4
2051,3232,56100,181.3
2061,3232,54700,176.8
2071,3232,56200,181.6
2081,3232,54700,176.8
2091,3232,56200,181.6
2101,3232,54700,176.8
2111,3232,56200,181.6
2121,3232,54700,176.8
2131,3232,56200,181.6
2141,3232,55200,178.4
2151,3216,56000,180.1
2161,3232,55200,178.4
2171,3232,55600,179.7
2181,3232,55300,178.7
2191,3232,55100,178.1
2201,3232,56000,181.0
2211,3232,54700,176.8
2221,3232,56200,181.6
2231,3232,54700,176.8
2241,3236,56200,181.9
2251,3232,54700,176.8
2261,3232,56200,181.6
2271,3232,54700,176.8
2281,3236,56300,182.2
2291,3232,55000,177.8
2301,3232,55900,180.7
2311,3232,55100,178.1
2321,3232,55600,179.7
2331,3232,55300,178.7
2341,3232,55500,179.4
2351,3232,55600,179.7
2361,3232,54700,176.8
2371,3232,56200,181.6
2381,3232,54600,176.5
2391,3232,56200,181.6
2401,3232,54600,176.5
2411,3232,56200,181.6
2421,3232,54600,176.5
2431,3236,56200,181.9
2441,3232,54700,176.8
2451,3232,56200,181.6
2461,3232,54900,177.4
2471,3232,55700,180.0
2481,3232,55300,178.7
2491,3232,55600,179.7
2501,3232,55400,179.1
2511,3232,54800,177.1
2521,3232,56100,181.3
2531,3232,54700,176.8
2541,3232,56200,181.6
2551,3232,54700,176.8
2561,3232,56200,181.6
2571,3232,54600,176.5
2581,3232,56200,181.6
2591,3232,54700,176.8
2601,3232,56200,181.6
2611,3232,55200,178.4
2621,3232,55800,180.3
2631,3232,55200,178.4
2641,3232,55600,179.7
2651,3192,55300,176.5
2661,3232,55000,177.8
2671,3232,56100,181.3
2681,3232,54700,176.8
2691,3112,152500,474.6
2701,3232,54700,176.8
2711,3232,56300,182.0
2721,3232,54800,177.1
2731,3232,56300,182.0
2741,3228,54600,176.2
2751,3236,56200,181.9
2761,3232,55100,178.1
2771,3232,55800,180.3
2781,3232,55200,178.4
2791,3232,55600,179.7
2801,3232,55300,178.7
2811,3232,55400,179.1
2821,3232,55800,180.3
2831,3232,54700,176.8
2841,3236,56200,181.9
2851,3232,54700,176.8
2861,3232,56200,181.6
2871,3232,54700,176.8
2881,3232,56200,181.6
2891,3232,54700,176.8
2901,3232,56200,181.6
2911,3232,54900,177.4
2921,3236,56100,181.5
2931,3232,55100,178.1
2941,3232,55600,179.7
2951,3236,55200,178.6
2961,3232,55600,179.7
2971,3232,55400,179.1
2981,3232,54800,177.1
2991,3236,56200,181.9
3001,3232,54700,176.8
3011,3236,56200,181.9
3021,3228,54700,176.6
3031,3232,56300,182.0
3041,3232,54700,176.8
3051,3236,56200,181.9
3061,3232,54600,176.5
3071,3232,56300,182.0
3081,3232,54700,176.8
3091,3232,55600,179.7
3101,3232,55200,178.4
3111,3232,55600,179.7
3121,3232,55300,178.7
3131,3232,54900,177.4
3141,3232,56100,181.3
3151,3232,54700,176.8
3161,3232,56200,181.6
3171,3232,54700,176.8
3181,3236,56200,181.9
3191,3232,54700,176.8
3201,3012,131900,397.3
3211,3232,54700,176.8
3221,3236,56200,181.9
3231,3232,55100,178.1
3241,3232,55800,180.3
3251,3232,55200,178.4
3261,3232,55600,179.7
3271,3232,55400,179.1
3281,3232,55200,178.4
3291,3232,56000,181.0
3301,3232,54800,177.1
3311,3232,56300,182.0
3321,3232,54700,176.8
3331,3232,56200,181.6
3341,3232,54700,176.8
3351,3232,56200,181.6
3361,3232,54600,176.5
3371,3232,56200,181.6
3381,3232,55000,177.8
3391,3232,56000,181.0
3401,3232,55200,178.4
3411,3232,55600,179.7
3421,3232,55300,178.7
3431,3232,55600,179.7
3441,3232,55600,179.7
3451,3232,54700,176.8
3461,3232,56200,181.6
3471,3232,54700,176.8
3481,3232,56200,181.6
3491,3232,54700,176.8
3501,3236,56200,181.9
3511,3232,54700,176.8
3521,3232,56300,182.0
3531,3232,54700,176.8
3541,3232,56300,182.0
3551,3232,54900,177.4
3561,3232,55600,179.7
3571,3232,55300,178.7
3581,3232,55600,179.7
3591,3232,55300,178.7
3601,3232,54800,177.1
3611,3232,56200,181.6
3622,3232,54700,176.8
3631,3232,56200,181.6
3641,3232,54600,176.5
3651,3232,56200,181.6
3661,3232,54700,176.8
3671,3236,56300,182.2
3681,3232,54600,176.5
3691,3232,56300,182.0
3701,3020,133200,402.3
3711,3232,55700,180.0
3721,3232,55200,178.4
3731,3232,55700,180.0
3741,3232,55300,178.7
3751,3232,55100,178.1
3761,3232,56100,181.3
3771,3232,54700,176.8
3781,3236,56300,182.2
3791,3232,54700,176.8
3801,3232,56200,181.6
3811,3232,54700,176.8
3821,3232,56200,181.6
3831,3232,54700,176.8
3841,3232,56200,181.6
3851,3232,55000,177.8
3861,3232,55800,180.3
3871,3232,55100,178.1
3881,3236,55600,179.9
3891,3232,55300,178.7
3901,3232,55400,179.1
3911,3232,55800,180.3
3921,3232,54700,176.8
3931,3232,56200,181.6
3941,3232,54700,176.8
3951,3232,56200,181.6
3961,3232,54700,176.8
3971,3232,56200,181.6
3981,3232,54600,176.5
3991,3232,56200,181.6
4001,3232,54800,177.1
4011,3232,56100,181.3
4021,3232,55000,177.8
4031,3232,55600,179.7
4041,3232,55200,178.4
4051,3232,55600,179.7
4061,3232,55400,179.1
4071,3232,54800,177.1
4081,3236,56100,181.5
4091,3232,54600,176.5
4101,3232,56200,181.6
4111,3232,54700,176.8
4121,3232,56300,182.0
4131,3232,54700,176.8
4141,3232,56300,182.0
4151,3232,54700,176.8
4161,3232,56200,181.6
4171,3232,55300,178.7
4181,3232,55700,180.0
4191,3232,55200,178.4
4201,3112,145000,451.2
4211,3232,55300,178.7
4221,3232,55000,177.8
4231,3232,56100,181.3
4241,3232,54700,176.8
4251,3236,56300,182.2
4261,3228,54700,176.6
4271,3232,56200,181.6
4281,3232,54700,176.8
4291,3236,56200,181.9
4301,3232,54600,176.5
4311,3232,56200,181.6
4321,3232,55100,178.1
4331,3232,55800,180.3
4341,3232,55300,178.7
4351,3232,55700,180.0
4361,3232,55400,179.1
4371,3232,55200,178.4
