ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D2_SCAN90, buf_size=512
# condition_label=F1-09-100
109,ADV,-27,13,F1-09-100,e0:5a:1b:15:c4:ca,13_F1-09-100
211,ADV,-28,14,F1-09-100,e0:5a:1b:15:c4:ca,14_F1-09-100
315,ADV,-23,15,F1-09-100,e0:5a:1b:15:c4:ca,15_F1-09-100
528,ADV,-21,17,F1-09-100,e0:5a:1b:15:c4:ca,17_F1-09-100
638,ADV,-28,18,F1-09-100,e0:5a:1b:15:c4:ca,18_F1-09-100
837,ADV,-22,20,F1-09-100,e0:5a:1b:15:c4:ca,20_F1-09-100
938,ADV,-21,21,F1-09-100,e0:5a:1b:15:c4:ca,21_F1-09-100
1045,ADV,-21,22,F1-09-100,e0:5a:1b:15:c4:ca,22_F1-09-100
1155,ADV,-28,23,F1-09-100,e0:5a:1b:15:c4:ca,23_F1-09-100
1248,ADV,-22,24,F1-09-100,e0:5a:1b:15:c4:ca,24_F1-09-100
1354,ADV,-22,25,F1-09-100,e0:5a:1b:15:c4:ca,25_F1-09-100
1461,ADV,-21,26,F1-09-100,e0:5a:1b:15:c4:ca,26_F1-09-100
1582,ADV,-28,27,F1-09-100,e0:5a:1b:15:c4:ca,27_F1-09-100
1675,ADV,-28,29,F1-09-100,e0:5a:1b:15:c4:ca,29_F1-09-100
1769,ADV,-22,30,F1-09-100,e0:5a:1b:15:c4:ca,30_F1-09-100
1876,ADV,-22,31,F1-09-100,e0:5a:1b:15:c4:ca,31_F1-09-100
1982,ADV,-21,32,F1-09-100,e0:5a:1b:15:c4:ca,32_F1-09-100
2107,ADV,-28,33,F1-09-100,e0:5a:1b:15:c4:ca,33_F1-09-100
2194,ADV,-22,34,F1-09-100,e0:5a:1b:15:c4:ca,34_F1-09-100
2303,ADV,-22,35,F1-09-100,e0:5a:1b:15:c4:ca,35_F1-09-100
2511,ADV,-28,37,F1-09-100,e0:5a:1b:15:c4:ca,37_F1-09-100
